gobj_id_dec,gobj_id_hex,pointer_bank,anim_sequence,frame_entries,loop_or_reset,terminates_FE,max_components_per_frame,unique_component_count,graphics_banks,component_ids_sample,parse_notes
44,$002C,$86,$868815,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $D3,
45,$002D,$86,$868832,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $D4,
46,$002E,$86,$86884F,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $D5,
47,$002F,$86,$86886C,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $F4,
48,$0030,$86,$868889,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $DF,
49,$0031,$86,$8688A6,10,True,False,3,11,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A,
50,$0032,$86,$8688C3,10,True,False,4,12,88,$80 $81 $82 $83 $84 $85 $86 $87 $88 $89 $8A $F3,
51,$0033,$86,$8688E0,2,True,False,4,4,88,$8C $8F $94 $DF,
52,$0034,$86,$8688E5,5,True,False,2,4,88,$2E $C0 $C8 $C9,
53,$0035,$86,$8688F3,5,True,False,2,5,88,$04 $3A $C1 $C2 $CA,
54,$0036,$86,$868901,5,True,False,2,5,88,$36 $3E $C3 $CB $CC,
55,$0037,$86,$86890F,5,True,False,2,5,88,$C4 $C5 $C6 $CD $CE,
56,$0038,$86,$86891D,5,True,False,2,5,88,$D2 $D3 $D4 $DB $DC,
57,$0039,$86,$86892B,5,True,False,5,10,88,$01 $25 $2D $D5 $D6 $D7 $DD $DE $DF $EE,
58,$003A,$86,$868939,5,True,False,4,8,88,$05 $16 $39 $E0 $E1 $E5 $E8 $E9,
59,$003B,$86,$868947,5,True,False,5,9,88,$01 $35 $3D $E2 $E3 $E4 $EA $EB $EC,
60,$003C,$86,$868955,3,True,False,5,5,88,$03 $24 $2C $F8 $F9,
61,$003D,$86,$86895D,3,True,False,4,4,88,$05 $30 $38 $F2,
62,$003E,$86,$868965,3,True,False,5,5,88,$34 $37 $3C $F0 $F1,
63,$003F,$86,$86896D,5,True,False,2,5,88,$D0 $D1 $D8 $D9 $DA,
64,$0040,$86,$86897B,2,True,False,3,3,88,$F3 $FB $FC,
65,$0041,$86,$868980,2,True,False,5,5,88,$01 $25 $2D $D7 $DF,
66,$0042,$86,$868985,2,True,False,4,4,88,$05 $16 $39 $E5,
67,$0043,$86,$86898A,2,True,False,5,5,88,$01 $35 $3D $E4 $EC,
68,$0044,$86,$86898F,6,True,False,4,16,88,$00 $01 $02 $03 $04 $05 $06 $07 $08 $09 $0A $0B $0C $0D $0E $0F,
69,$0045,$86,$8689A0,6,True,False,4,16,88,$10 $11 $12 $13 $14 $15 $16 $17 $18 $19 $1A $1B $1C $1D $1E $1F,
70,$0046,$86,$8689B1,6,True,False,4,16,88,$20 $21 $22 $23 $24 $25 $26 $27 $28 $29 $2A $2B $2C $2D $2E $2F,
71,$0047,$86,$8689C2,6,True,False,3,9,88,$30 $31 $32 $33 $38 $39 $3A $3B $3F,
72,$0048,$86,$8689D3,6,True,False,3,10,88,$34 $35 $36 $3C $3D $3E $40 $41 $48 $49,
73,$0049,$86,$8689E4,6,True,False,4,16,88,$43 $44 $45 $46 $47 $4B $4C $4D $4E $4F $50 $51 $52 $58 $59 $5A,
74,$004A,$86,$8689F5,6,True,False,4,10,88,$53 $54 $55 $56 $57 $5B $5C $5D $5E $5F,
75,$004B,$86,$868A06,6,True,False,5,16,88,$60 $61 $62 $63 $64 $65 $66 $67 $68 $69 $6A $6B $6C $6D $6E $6F,
76,$004C,$86,$868A17,6,True,False,4,16,88,$70 $71 $72 $73 $74 $75 $76 $77 $78 $79 $7A $7B $7C $7D $7E $7F,
77,$004D,$86,$868A28,6,True,False,3,10,88,$80 $81 $82 $83 $86 $88 $89 $8A $8B $8F,
78,$004E,$86,$868A39,6,True,False,5,13,88,$84 $85 $8C $8D $8F $90 $91 $92 $93 $98 $99 $9A $9B,
79,$004F,$86,$868A4A,6,True,False,5,15,88,$94 $95 $96 $97 $9C $9D $9E $9F $A0 $A1 $A2 $A3 $A8 $A9 $AA,
80,$0050,$86,$868A5B,9,True,False,4,10,88,$A4 $A5 $A6 $A7 $AB $AC $AD $AE $AF $B0,
81,$0051,$86,$868A75,9,True,False,3,9,88,$B1 $B2 $B3 $B4 $B8 $B9 $BA $BB $BC,
82,$0052,$86,$868A8F,9,True,False,4,9,88,$B5 $B6 $B7 $BD $BE $BF $C1 $C8 $C9,
83,$0053,$86,$868AA9,9,True,False,4,9,88,$C2 $C3 $C4 $C5 $CA $CB $CC $CD $CE,
84,$0054,$86,$868AC3,9,True,False,4,9,88,$C6 $C7 $CF $D0 $D1 $D2 $D8 $D9 $DA,
85,$0055,$86,$868ADD,9,True,False,3,7,88,$D3 $D4 $D5 $D6 $DB $DC $DD,
86,$0056,$86,$868AF7,6,True,False,5,16,88,$00 $01 $08 $09 $E0 $E1 $E2 $E3 $E4 $E5 $E8 $E9 $EA $EB $EC $ED,
87,$0057,$86,$868B08,10,True,False,5,10,88,$DE $DF $E6 $E7 $F0 $F1 $F2 $F8 $F9 $FA,
88,$0058,$86,$868B25,3,True,False,4,6,88,$F0 $F1 $F2 $F8 $F9 $FA,
89,$0059,$86,$868B2D,4,True,False,4,6,88,$F0 $F1 $F2 $F8 $F9 $FA,
90,$005A,$86,$868B38,10,True,False,4,10,88,$DE $DF $E6 $E7 $EE $EF $F3 $F4 $FB $FC,
91,$005B,$86,$868B55,10,True,False,5,11,88,$D7 $DE $DF $E6 $E7 $F5 $F6 $F7 $FD $FE $FF,
92,$005C,$86,$868B72,3,True,False,3,6,88,$EE $EF $F3 $F4 $FB $FC,
93,$005D,$86,$868B7A,3,True,False,4,7,88,$D7 $F5 $F6 $F7 $FD $FE $FF,
94,$005E,$86,$868B82,4,True,False,3,6,88,$EE $EF $F3 $F4 $FB $FC,
95,$005F,$86,$868B8D,3,True,False,3,3,88,$D7 $F5 $FD,
96,$0060,$86,$868B95,9,True,False,3,11,88,$02 $04 $05 $06 $07 $0A $0B $0C $0D $0E $0F,
97,$0061,$86,$868BAF,9,True,False,3,8,88,$10 $12 $13 $18 $19 $1A $1B $1C,
98,$0062,$86,$868BC9,9,True,False,4,10,88,$14 $15 $16 $17 $1D $1E $1F $20 $21 $28,
99,$0063,$86,$868BE3,3,True,False,2,4,88,$35 $36 $3D $3E,
100,$0064,$86,$868BEB,8,True,False,3,6,88,$03 $24 $2C $70 $73 $79,
101,$0065,$86,$868C02,8,True,False,3,6,88,$05 $30 $38 $72 $73 $7A,
102,$0066,$86,$868C19,8,True,False,3,4,88,$32 $34 $37 $3C,
103,$0067,$86,$868C30,10,True,False,8,25,88,$07 $0B $19 $22 $23 $24 $25 $26 $27 $29 $2A $2B $2C $2D $2E $2F,
104,$0068,$86,$868C4D,7,True,False,6,19,88,$40 $41 $42 $43 $44 $45 $46 $47 $48 $49 $4A $4B $4C $4D $4E $4F,
105,$0069,$86,$868C61,7,True,False,6,18,88,$52 $53 $54 $55 $56 $57 $59 $5A $5B $5C $5D $5E $5F $60 $61 $68,
106,$006A,$86,$868C75,7,True,False,7,21,88,$62 $63 $64 $65 $66 $67 $6A $6B $6C $6D $6E $6F $70 $71 $72 $73,
107,$006B,$86,$868C89,7,True,False,6,18,88,$74 $75 $76 $77 $7C $7D $7E $80 $81 $82 $83 $84 $85 $88 $89 $8A,
108,$006C,$86,$868C9D,7,True,False,5,17,88,$86 $87 $8D $8E $8F $90 $91 $92 $93 $94 $95 $98 $99 $9A $9B $9C,
109,$006D,$86,$868CB1,7,True,False,8,26,88,$96 $97 $9E $9F $A0 $A1 $A2 $A3 $A4 $A5 $A6 $A7 $A8 $A9 $AA $AB,
110,$006E,$86,$868CC5,7,True,False,6,20,88,$B4 $B5 $B6 $B7 $BA $BB $BC $BD $BE $C0 $C1 $C2 $C3 $C8 $C9 $CA,
111,$006F,$86,$868CD9,7,True,False,6,19,88,$C4 $C5 $C6 $C7 $CC $CD $CE $CF $D3 $D4 $D5 $D8 $D9 $DA $DB $DC,
112,$0070,$86,$868CED,7,True,False,9,26,88,$D6 $D7 $DE $DF $E2 $E3 $E4 $E5 $E6 $E7 $E8 $E9 $EA $EB $EC $ED,
113,$0071,$86,$868D01,11,True,False,4,14,88,$00 $01 $02 $03 $04 $05 $06 $08 $09 $0A $0B $0C $0D $0E,
114,$0072,$86,$868D21,2,True,False,3,3,88,$3C $3D $3E,
115,$0073,$86,$868D26,4,True,False,5,14,88,$1F $22 $23 $24 $25 $26 $2A $2B $2C $2D $2E $30 $31 $39,
116,$0074,$86,$868D31,8,True,False,5,8,88,$25 $26 $27 $2D $2E $2F $31 $38,
117,$0075,$86,$868D48,5,True,False,6,14,88,$1F $22 $23 $25 $27 $2A $2B $2D $2F $32 $38 $3C $3D $3E,
118,$0076,$86,$868D56,5,True,False,6,14,88,$1F $22 $23 $25 $26 $2A $2B $2D $2E $31 $34 $3C $3D $3E,
119,$0077,$86,$868D64,5,True,False,6,14,88,$1F $22 $23 $25 $27 $2A $2B $2D $2F $35 $38 $3C $3D $3E,
120,$0078,$86,$868D72,2,True,False,5,5,88,$25 $26 $2D $2E $31,
121,$0079,$86,$868D77,14,True,False,3,7,88,$40 $42 $44 $48 $49 $4A $4B,
122,$007A,$86,$868DA0,9,True,False,3,7,88,$45 $46 $47 $4D $4E $50 $58,
123,$007B,$86,$868DBA,7,True,False,3,11,88,$45 $4D $4F $50 $51 $52 $53 $58 $59 $5A $5B,
124,$007C,$86,$868DCE,13,True,False,3,19,88,$50 $51 $52 $54 $55 $56 $57 $58 $5A $5C $5D $5E $5F $60 $61 $62,
125,$007D,$86,$868DF4,7,True,False,4,15,88,$63 $64 $65 $66 $67 $6B $6C $6D $6E $6F $70 $71 $78 $79 $7A,
126,$007E,$86,$868E08,16,True,False,3,13,88,$46 $4E $72 $73 $74 $75 $76 $77 $7B $7C $7D $7E $7F,
127,$007F,$86,$868E37,3,True,False,1,2,88,$80 $82,
128,$0080,$86,$868E3F,3,True,False,1,2,88,$83 $84,
129,$0081,$86,$868E47,3,True,False,1,2,88,$85 $86,
130,$0082,$86,$868E4F,3,True,False,1,1,88,$87,
131,$0083,$86,$868E57,3,True,False,1,1,88,$88,
132,$0084,$86,$868E5F,8,True,False,3,13,88,$85 $8D $8F $90 $91 $92 $93 $94 $98 $99 $9A $9B $9C,
133,$0085,$86,$868E76,3,True,False,1,2,88,$89 $8A,
134,$0086,$86,$868E7E,9,True,False,3,12,88,$8D $90 $91 $94 $95 $96 $97 $98 $99 $9C $9E $9F,
135,$0087,$86,$868E98,13,True,False,2,10,88,$00 $08 $C0 $C1 $C2 $C3 $C8 $C9 $CA $CB,
136,$0088,$86,$868EBE,17,True,False,4,9,88,$C1 $C4 $C5 $C6 $C9 $CC $CD $CE $CF,
137,$0089,$86,$868EF0,14,True,False,3,10,88,$D2 $D3 $D4 $D5 $D6 $D9 $DA $DB $DC $DD,
138,$008A,$86,$868F19,4,True,False,3,5,88,$04 $0C $D0 $D1 $D8,
139,$008B,$86,$868F24,4,True,False,2,4,88,$D7 $DF $E0 $E8,
140,$008C,$86,$868F2F,17,True,False,3,8,88,$E1 $E2 $E3 $E4 $E9 $EA $EB $EC,
141,$008D,$86,$868F61,4,True,False,2,4,88,$E5 $E6 $ED $EE,
142,$008E,$86,$868F6C,4,True,False,2,4,88,$D7 $DF $E7 $EF,
143,$008F,$86,$868F77,4,True,False,4,10,88,$9D $A2 $A3 $A4 $A5 $A9 $AA $AB $AC $AD,
144,$0090,$86,$868F82,4,True,False,4,10,88,$A7 $AF $B0 $B1 $B2 $B3 $B8 $B9 $BA $BB,
145,$0091,$86,$868F8D,6,True,False,4,15,88,$05 $06 $07 $0D $0E $0F $10 $11 $12 $18 $19 $9D $A2 $A9 $AA,
146,$0092,$86,$868F9E,6,True,False,5,19,88,$13 $14 $15 $16 $17 $1A $1B $1C $1D $1E $1F $20 $21 $A6 $A7 $AE,
147,$0093,$86,$868FAF,2,True,False,3,3,88,$A0 $A1 $A8,
148,$0094,$86,$868FB4,2,True,False,3,3,88,$A6 $AE $B8,
149,$0095,$86,$868FB9,4,True,False,5,14,88,$00 $01 $02 $03 $04 $08 $09 $0A $0B $0C $B6 $B7 $BE $BF,
150,$0096,$86,$868FC4,6,True,False,8,26,88,$00 $01 $04 $08 $09 $22 $23 $24 $25 $26 $27 $28 $29 $2A $2B $2C,
151,$0097,$86,$868FD5,2,True,False,4,4,88,$B4 $B5 $BC $BD,
152,$0098,$86,$868FDA,4,True,False,3,5,88,$32 $33 $34 $35 $36,
153,$0099,$86,$868FE5,4,True,False,3,6,88,$37 $38 $39 $3A $3B $3C,
154,$009A,$86,$868FF0,3,True,False,3,3,88,$8C $8F $94,
155,$009B,$86,$868FF8,3,True,False,4,4,88,$80 $8C $8F $94,
156,$009C,$86,$869000,3,True,False,4,4,88,$81 $8C $8F $94,
157,$009D,$86,$869008,3,True,False,4,4,88,$82 $8C $8F $94,
158,$009E,$86,$869010,3,True,False,4,4,88,$83 $8C $8F $94,
159,$009F,$86,$869018,3,True,False,4,4,88,$84 $8C $8F $94,
160,$00A0,$86,$869020,3,True,False,4,4,88,$85 $8C $8F $94,
161,$00A1,$86,$869028,3,True,False,4,4,88,$86 $8C $8F $94,
162,$00A2,$86,$869030,3,True,False,4,4,88,$87 $8C $8F $94,
163,$00A3,$86,$869038,3,True,False,4,3,88,$8C $8F $94,
164,$00A4,$86,$869040,3,True,False,4,4,88,$8C $8E $8F $94,
165,$00A5,$86,$869048,3,True,False,4,4,88,$8C $8D $8F $94,
166,$00A6,$86,$869050,3,True,False,4,3,88,$8C $8F $94,
167,$00A7,$86,$869058,3,True,False,4,4,88,$8B $8C $8F $94,
168,$00A8,$86,$869060,3,True,False,4,4,88,$8A $8C $8F $94,
169,$00A9,$86,$869068,3,True,False,4,4,88,$89 $8C $8F $94,
170,$00AA,$86,$869070,3,True,False,4,4,88,$88 $8C $8F $94,
171,$00AB,$86,$869078,3,True,False,4,4,88,$8C $8F $90 $94,
172,$00AC,$86,$869080,3,True,False,4,4,88,$8C $8F $91 $94,
173,$00AD,$86,$869088,3,True,False,4,4,88,$8C $8F $92 $94,
174,$00AE,$86,$869090,3,True,False,4,4,88,$8C $8F $93 $94,
175,$00AF,$86,$869098,3,True,False,4,3,88,$8C $8F $94,
176,$00B0,$86,$8690A0,3,True,False,4,4,88,$8C $8F $94 $95,
177,$00B1,$86,$8690A8,3,True,False,4,4,88,$8C $8F $94 $96,
178,$00B2,$86,$8690B0,3,True,False,4,4,88,$8C $8F $94 $97,
179,$00B3,$86,$8690B8,3,True,False,4,4,88,$8C $8F $94 $98,
180,$00B4,$86,$8690C0,3,True,False,4,4,88,$8C $8F $94 $99,
181,$00B5,$86,$8690C8,9,True,False,6,6,88,$8C $8F $94 $AC $AD $AE,
182,$00B6,$86,$8690E2,16,True,False,10,25,88,$07 $0F $10 $11 $12 $13 $14 $15 $16 $17 $18 $19 $1A $1B $1C $1D,
183,$00B7,$86,$869111,10,False,True,1,5,88,$68 $69 $6A $6B $B8,
184,$00B8,$86,$869131,12,False,True,6,15,88,$66 $67 $70 $71 $72 $73 $74 $75 $78 $79 $7A $7B $7C $7D $B8,
185,$00B9,$86,$869157,3,True,False,1,2,88,$4E $4F,
186,$00BA,$86,$86915F,12,False,True,1,3,88,$4E $4F $B8,
187,$00BB,$86,$869185,2,True,False,1,1,88,$47,
188,$00BC,$86,$86918A,2,True,False,1,1,88,$B8,
189,$00BD,$86,$86918F,2,True,False,1,1,88,$76,
190,$00BE,$86,$869194,2,True,False,1,1,88,$77,
191,$00BF,$86,$869199,15,False,True,1,3,88,$A2 $A3 $B8,
192,$00C0,$86,$8691C8,9,False,True,1,3,88,$A4 $A5 $B8,
193,$00C1,$86,$8691E5,8,False,True,1,2,88,$A6 $B8,
194,$00C2,$86,$8691FF,8,False,True,1,2,88,$A7 $B8,
195,$00C3,$86,$869219,2,True,False,1,1,88,$A6,
196,$00C4,$86,$86921E,8,False,True,1,2,88,$AF $B8,
197,$00C5,$86,$869238,8,False,True,1,2,88,$B8 $F6,
198,$00C6,$86,$869252,8,False,True,1,2,88,$B8 $F7,
199,$00C7,$86,$86926C,2,True,False,1,1,88,$46,
200,$00C8,$86,$869271,4,False,True,4,10,88,$50 $51 $52 $53 $54 $55 $5A $5B $5C $5D,
201,$00C9,$86,$86927F,4,False,True,6,12,88,$50 $51 $52 $53 $54 $55 $58 $59 $5A $5B $5C $5D,
202,$00CA,$86,$86928D,4,False,True,2,4,88,$60 $61 $62 $63,
203,$00CB,$86,$86929B,3,False,True,4,5,88,$56 $57 $5E $5F $B8,
204,$00CC,$86,$8692A6,2,True,False,1,1,88,$80,
205,$00CD,$86,$8692AB,2,True,False,1,1,88,$81,
206,$00CE,$86,$8692B0,2,True,False,1,1,88,$82,
207,$00CF,$86,$8692B5,2,True,False,1,1,88,$83,
208,$00D0,$86,$8692BA,2,True,False,1,1,88,$84,
209,$00D1,$86,$8692BF,2,True,False,1,1,88,$85,
210,$00D2,$86,$8692C4,2,True,False,1,1,88,$86,
211,$00D3,$86,$8692C9,2,True,False,1,1,88,$87,
212,$00D4,$86,$8692CE,2,True,False,1,1,88,$88,
213,$00D5,$86,$8692D3,2,True,False,1,1,88,$89,
214,$00D6,$86,$8692D8,2,True,False,1,1,88,$8A,
215,$00D7,$86,$8692DD,2,True,False,1,1,88,$8B,
216,$00D8,$86,$8692E2,2,True,False,1,1,88,$8C,
217,$00D9,$86,$8692E7,2,True,False,1,1,88,$8D,
218,$00DA,$86,$8692EC,2,True,False,1,1,88,$8E,
219,$00DB,$86,$8692F1,2,True,False,1,1,88,$8F,
220,$00DC,$86,$8692F6,2,True,False,1,1,88,$90,
221,$00DD,$86,$8692FB,2,True,False,1,1,88,$91,
222,$00DE,$86,$869300,2,True,False,1,1,88,$92,
223,$00DF,$86,$869305,2,True,False,1,1,88,$93,
224,$00E0,$86,$86930A,2,True,False,1,1,88,$94,
225,$00E1,$86,$86930F,2,True,False,1,1,88,$95,
226,$00E2,$86,$869314,2,True,False,1,1,88,$96,
227,$00E3,$86,$869319,2,True,False,1,1,88,$97,
228,$00E4,$86,$86931E,2,True,False,1,1,88,$98,
229,$00E5,$86,$869323,2,True,False,1,1,88,$99,
230,$00E6,$86,$869328,2,True,False,1,1,88,$EB,
231,$00E7,$86,$86932D,2,True,False,1,1,88,$9B,
232,$00E8,$86,$869332,2,True,False,1,1,88,$9C,
233,$00E9,$86,$869337,2,True,False,1,1,88,$9D,
234,$00EA,$86,$86933C,2,True,False,1,1,88,$9E,
235,$00EB,$86,$869341,2,True,False,1,1,88,$9F,
236,$00EC,$86,$869346,2,True,False,1,1,88,$C0,
237,$00ED,$86,$86934B,2,True,False,1,1,88,$C1,
238,$00EE,$86,$869350,2,True,False,1,1,88,$C2,
239,$00EF,$86,$869355,2,True,False,1,1,88,$C3,
240,$00F0,$86,$86935A,2,True,False,1,1,88,$C4,
241,$00F1,$86,$86935F,2,True,False,1,1,88,$C5,
242,$00F2,$86,$869364,2,True,False,1,1,88,$C6,
243,$00F3,$86,$869369,2,True,False,1,1,88,$C7,
244,$00F4,$86,$86936E,2,True,False,1,1,88,$D0,
245,$00F5,$86,$869373,2,True,False,1,1,88,$D1,
246,$00F6,$86,$869378,2,True,False,1,1,88,$D2,
247,$00F7,$86,$86937D,2,True,False,1,1,88,$D3,
248,$00F8,$86,$869382,2,True,False,1,1,88,$D4,
249,$00F9,$86,$869387,2,True,False,1,1,88,$D5,
250,$00FA,$86,$86938C,2,True,False,1,1,88,$D6,
251,$00FB,$86,$869391,2,True,False,1,1,88,$D7,
252,$00FC,$86,$869396,7,False,True,1,2,88,$B8 $C8,
253,$00FD,$86,$8693AD,7,False,True,1,2,88,$B8 $C9,
254,$00FE,$86,$8693C4,7,False,True,1,2,88,$B8 $CA,
255,$00FF,$86,$8693DB,7,False,True,1,2,88,$B8 $CB,
256,$0100,$86,$8693F2,7,False,True,1,2,88,$B8 $CC,
257,$0101,$86,$869409,7,False,True,1,2,88,$B8 $CD,
258,$0102,$86,$869420,7,False,True,1,2,88,$B8 $CE,
259,$0103,$86,$869437,7,False,True,1,2,88,$B8 $CF,
260,$0104,$86,$86944E,7,False,True,1,2,88,$B8 $D8,
261,$0105,$86,$869465,7,False,True,1,2,88,$B8 $D9,
262,$0106,$86,$86947C,7,False,True,1,2,88,$B8 $DA,
263,$0107,$86,$869493,7,False,True,1,2,88,$B8 $DB,
264,$0108,$86,$8694AA,7,False,True,1,2,88,$B8 $DC,
265,$0109,$86,$8694C1,7,False,True,1,2,88,$B8 $DD,
266,$010A,$86,$8694D8,7,False,True,1,2,88,$B8 $DE,
267,$010B,$86,$8694EF,2,True,False,1,1,88,$E0,
268,$010C,$86,$8694F4,2,True,False,1,1,88,$E1,
269,$010D,$86,$8694F9,2,True,False,1,1,88,$E2,
270,$010E,$86,$8694FE,2,True,False,1,1,88,$E3,
271,$010F,$86,$869503,2,True,False,1,1,88,$E4,
272,$0110,$86,$869508,2,True,False,1,1,88,$E5,
273,$0111,$86,$86950D,2,True,False,1,1,88,$E6,
274,$0112,$86,$869512,2,True,False,1,1,88,$E7,
275,$0113,$86,$869517,7,False,True,1,2,88,$B8 $E8,
276,$0114,$86,$86952E,7,False,True,1,2,88,$B8 $E9,
277,$0115,$86,$869545,7,False,True,1,2,88,$B8 $EA,
278,$0116,$86,$86955C,2,True,False,1,1,88,$DF,
279,$0117,$86,$869561,2,True,False,1,1,88,$ED,
280,$0118,$86,$869566,2,True,False,1,1,88,$FD,
281,$0119,$86,$86956B,8,False,True,1,2,88,$B8 $EE,
282,$011A,$86,$869585,8,False,True,1,2,88,$B8 $ED,
283,$011B,$86,$86959F,5,True,False,1,1,88,$9E,
284,$011C,$86,$8695AD,5,True,False,1,2,88,$9E $B8,
285,$011D,$86,$8695BB,5,True,False,1,1,88,$9E,
286,$011E,$86,$8695C9,4,True,False,1,1,88,$9E,
287,$011F,$86,$8695D4,4,True,False,1,1,88,$9E,
288,$0120,$86,$8695DF,4,True,False,1,1,88,$9E,
289,$0121,$86,$8695EA,2,True,False,1,1,88,$9E,
290,$0122,$86,$8695EF,9,True,False,1,1,88,$9E,
291,$0123,$86,$869609,5,True,False,1,1,88,$9C,
292,$0124,$86,$869617,5,True,False,1,2,88,$9C $B8,
293,$0125,$86,$869625,5,True,False,1,1,88,$9C,
294,$0126,$86,$869633,4,True,False,1,1,88,$9C,
295,$0127,$86,$86963E,4,True,False,1,1,88,$9C,
296,$0128,$86,$869649,4,True,False,1,1,88,$9C,
297,$0129,$86,$869654,2,True,False,1,1,88,$9C,
298,$012A,$86,$869659,9,True,False,1,1,88,$9C,
299,$012B,$86,$869673,5,True,False,1,1,88,$9D,
300,$012C,$86,$869681,5,True,False,1,1,88,$9D,
301,$012D,$86,$86968F,5,True,False,1,1,88,$9D,
302,$012E,$86,$86969D,4,True,False,1,1,88,$9D,
303,$012F,$86,$8696A8,4,True,False,1,1,88,$9D,
304,$0130,$86,$8696B3,4,True,False,1,1,88,$9D,
