map_id_hex,map_id_dec,label,definition_address,table_comment,graphic_preset,screen_config_or_flag,unknown_0181,unknown_0182,tilemap_count,charactermap_count,dl_asset_count,dl_assets,tilemap_pngs
0B,11,MapEggFestival,80ACBD,,00,0060,04,04,3,1,4,97B45F;988000;99C3F2;A4DC7E,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x988000.png;tilemaps/Tilemap0x99c3f2.png
0C,12,MapForkSpring,80ACE0,,00,0060,01,01,1,1,2,98CC6B;A4CFAB,tilemaps/Tilemap0x98cc6b.png
0D,13,MapForkSummer,80ACF9,,00,0060,01,01,1,1,2,98CC6B;A4CFAB,tilemaps/Tilemap0x98cc6b.png
0E,14,MapForkFall,80AD12,,00,0060,01,01,1,1,2,98CC6B;A4CFAB,tilemaps/Tilemap0x98cc6b.png
0F,15,MapForkWinter,80AD2B,,00,0060,01,01,1,1,2,98E41D;A4CFAB,tilemaps/Tilemap0x98e41d.png
10,16,MapMountainSpring,80AD44,,00,80E0,04,04,3,1,4,9DE7CE;9E8000;9D8000;A28000,tilemaps/Tilemap0x9de7ce.png;tilemaps/Tilemap0x9e8000.png;tilemaps/Tilemap0x9d8000.png
11,17,MapMountainSummer,80AD67,,00,80E0,04,04,3,1,4,9CCBA3;9CE37D;9D8000;A28000,tilemaps/Tilemap0x9d8000.png
12,18,MapMountainFall,80AD8A,,00,80E0,04,04,3,1,4,9D991C;9DB15E;9DCE31;A28000,tilemaps/Tilemap0x9d991c.png;tilemaps/Tilemap0x9db15e.png;tilemaps/Tilemap0x9dce31.png
13,19,MapMountainWinter,80ADAD,,00,80E0,04,04,3,1,4,9E9EDC;9EB75D;9ED208;A28000,tilemaps/Tilemap0x9e9edc.png;tilemaps/Tilemap0x9eb75d.png;tilemaps/Tilemap0x9ed208.png
14,20,MapStarNightFestivalSpa,80ADD0,,00,00E0,01,01,3,1,4,9E9EDC;9EB75D;9ED208;A59E0B,tilemaps/Tilemap0x9e9edc.png;tilemaps/Tilemap0x9eb75d.png;tilemaps/Tilemap0x9ed208.png
15,21,MapHouselvl1,80ADF3,,00,0000,01,01,2,1,3,95C000;95D6E2;A49B84,
16,22,MapHouselvl2,80AE11,,00,0000,01,01,2,1,3,95C000;95D6E2;A4945C,
17,23,MapHouselvl3,80AE2F,,00,0000,02,01,2,1,3,95C000;95D6E2;A49745,
18,24,MapMayorHouse,80AE4D,,00,0000,02,02,1,1,2,95E8A3;A49E2E,
19,25,MapMayorHouseHall,80AE66,,00,0000,02,02,1,1,2,95E8A3;A49E2E,
1A,26,MapMariasRoom,80AE7F,,00,0000,02,02,1,1,2,95E8A3;A49E2E,
1B,27,MapChurch,80AE98,,00,0000,01,02,1,1,2,968000;A4A597,tilemaps/Tilemap0x968000.png
1C,28,MapFlowerShop,80AEB1,,00,0000,01,02,1,1,2,969437;A4AA99,tilemaps/Tilemap0x969437.png
1D,29,MapFlowerShopRooms,80AECA,,00,0000,01,02,1,1,2,969437;A4AA99,tilemaps/Tilemap0x969437.png
1E,30,MapBar,80AEE3,,00,0000,01,02,1,1,2,96AD11;A4AE95,tilemaps/Tilemap0x96ad11.png
1F,31,MapBarRooms,80AEFC,,00,0000,01,02,1,1,2,96AD11;A4AE95,tilemaps/Tilemap0x96ad11.png
20,32,MapRestaurant,80AF15,,00,0000,01,02,1,1,2,96C489;A4B3D1,tilemaps/Tilemap0x96c489.png
21,33,MapRestaurantRooms,80AF2E,,00,0000,01,02,1,1,2,96C489;A4B3D1,tilemaps/Tilemap0x96c489.png
22,34,MapGeneralStore,80AF47,,00,0000,01,02,1,1,2,96DC6D;A4B8E0,tilemaps/Tilemap0x96dc6d.png
23,35,MapGeneralStoreRooms,80AF60,,00,0000,01,02,1,1,2,96DC6D;A4B8E0,tilemaps/Tilemap0x96dc6d.png
24,36,MapAnimalShop,80AF79,,00,0000,01,01,1,1,2,978000;A4BCC1,tilemaps/Tilemap0x978000.png
25,37,MapWitchHouse,80AF92,,00,0000,01,01,1,1,2,979A88;A4C065,tilemaps/Tilemap0x979a88.png
26,38,MapToolShed,80AFAB,,02,0000,01,01,2,2,4,9AE02D;9B8000;A59C08;A58B49,tilemaps/Tilemap0x9ae02d.png;tilemaps/Tilemap0x9b8000.png
27,39,MapBarn,80AFCE,,00,0000,01,02,1,1,2,9CA40C;A5C4CD,tilemaps/Tilemap0x9ca40c.png
28,40,MapCoop,80AFE7,,00,0000,01,01,1,1,2,9CA40C;A5C258,tilemaps/Tilemap0x9ca40c.png
29,41,MapMountainCave,80B000,,00,0020,02,02,1,1,2,948000;A48A2D,tilemaps/Tilemap0x948000.png
2A,42,MapElfTunnel,80B019,,00,0020,01,03,1,1,2,948000;A481AE,tilemaps/Tilemap0x948000.png
2B,43,MapUnknown2B,80B032,,00,0000,01,01,1,1,2,9B9F53;A5B63B,tilemaps/Tilemap0x9b9f53.png
2C,44,MapUnknown2C,80B04B,,00,0000,01,03,1,1,2,9B86AD;A5A6A0,tilemaps/Tilemap0x9b86ad.png
2D,45,MapUnknown2D,80B064,,00,0000,01,02,3,1,4,97B45F;998000;999A74;A38000,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x998000.png;tilemaps/Tilemap0x999a74.png
2E,46,MapUnknown2E,80B087,,00,0000,01,02,3,1,4,97B45F;97CD20;97E7A2;A38000,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x97cd20.png;tilemaps/Tilemap0x97e7a2.png
2F,47,MapUnknown2F,80B0AA,,00,0000,01,02,3,1,4,97B45F;988000;989A52;A38000,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x988000.png;tilemaps/Tilemap0x989a52.png
30,48,MapUnknown30,80B0CD,HANGS GAME,00,0000,01,02,3,1,4,99DCBD;9A8000;9A9921;A38000,tilemaps/Tilemap0x99dcbd.png;tilemaps/Tilemap0x9a8000.png;tilemaps/Tilemap0x9a9921.png
31,49,MapSummitSpring,80B0F0,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5B943;A5AD17,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
32,50,MapSummitSummer,80B113,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5B943;A5AD17,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
33,51,MapSummitFall,80B136,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5B943;A5AD17,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
34,52,MapSummitWinter,80B159,,01,0020,01,02,2,2,4,9BCF8F;9C965F;A5B943;A5AD17,tilemaps/Tilemap0x9bcf8f.png;tilemaps/Tilemap0x9c965f.png
35,53,MapUnknown35,80B17C,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5B943;A5B042,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
36,54,MapUnknown36,80B19F,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5B943;A5B042,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
37,55,MapUnknown37,80B1C2,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5B042;A5B943,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
38,56,MapUnknown38,80B1E5,,01,0020,01,02,2,2,4,9BCF8F;9C965F;A5B943;A5B042,tilemaps/Tilemap0x9bcf8f.png;tilemaps/Tilemap0x9c965f.png
39,57,MapStarNightFestivalMountainTop,80B208,,01,0020,01,02,2,2,4,9BCF8F;9C965F;A5B943;A5B361,tilemaps/Tilemap0x9bcf8f.png;tilemaps/Tilemap0x9c965f.png
3A,58,MapNewYearsFestival,80B22B,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5B943;A5AD17,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
3B,59,MapUnknown3B,80B24E,,01,0020,01,02,2,2,4,9BB76D;9C8000;A5BD8A;A5AD17,tilemaps/Tilemap0x9bb76d.png;tilemaps/Tilemap0x9c8000.png
3C,60,MapUnknown3C,80B271,Intro Scene,00,0000,01,01,1,1,2,98CC6B;A68DCF,tilemaps/Tilemap0x98cc6b.png
3D,61,MapUnknown3D,80B28A,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5E253,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
3E,62,MapUnknown3E,80B2AD,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5E5CE,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
3F,63,MapUnknown3F,80B2D0,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5E977,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
40,64,MapUnknown40,80B2F3,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5ECFB,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
41,65,MapUnknown41,80B2F3,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5F671,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
42,66,MapUnknown42,80B339,,00,0000,01,01,3,1,4,97B45F;97CD20;97E7A2;A5F95C,tilemaps/Tilemap0x97b45f.png;tilemaps/Tilemap0x97cd20.png;tilemaps/Tilemap0x97e7a2.png
43,67,MapUnknown43,80B35C,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5FBCE,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
44,68,MapUnknown44,80B37F,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A68000,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
45,69,MapUnknown45,80B3A2,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A68229,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
46,70,MapUnknown46,80B3C5,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A68433,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
47,71,MapUnknown47,80B3E8,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A6867E,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
48,72,MapUnknown48,80B40B,,00,0000,01,01,3,1,4,9CCBA3;9CE37D;9D8000;A68864,tilemaps/Tilemap0x9d8000.png
49,73,MapUnknown49,80B42E,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5F059,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
4A,74,MapUnknown4A,80B451,,00,0000,01,01,3,1,4,92D3AB;938000;939E8E;A5F45A,tilemaps/Tilemap0x92d3ab.png;tilemaps/Tilemap0x938000.png;tilemaps/Tilemap0x939e8e.png
4B,75,MapUnknown4B,80B474,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A09232;A690A6,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa09232.png
4C,76,MapUnknown4C,80B49C,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A09232;A690A6,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa09232.png
4D,77,MapUnknown4D,80B4C4,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A09232;A690A6,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa09232.png
4E,78,MapUnknown4E,80B4EC,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A09232;A690A6,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa09232.png
4F,79,MapUnknown4F,80B514,,05,0000,02,02,3,1,4,9EEB3D;A08000;A088E9;A694EE,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png
50,80,MapUnknown50,80B537,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A0E682;A694EE,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa0e682.png
51,81,MapUnknown51,80B55F,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A0AB1E;A694EE,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa0ab1e.png
52,82,MapUnknown52,80B587,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A09232;A694EE,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa09232.png
53,83,MapUnknown53,80B5AF,,05,0000,02,02,3,1,4,9EEB3D;A08000;A088E9;A69996,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png
54,84,MapUnknown54,80B5D2,,05,0000,02,02,3,1,4,9EEB3D;A08000;A088E9;A69996,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png
55,85,MapUnknown55,80B5F5,,05,0000,02,02,3,1,4,9EEB3D;A08000;A088E9;A69996,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png
56,86,MapUnknown56,80B618,,05,0000,02,02,4,1,5,9EEB3D;A08000;A088E9;A0CAAF;A69996,tilemaps/Tilemap0x9eeb3d.png;tilemaps/Tilemap0xa08000.png;tilemaps/Tilemap0xa088e9.png;tilemaps/Tilemap0xa0caaf.png
57,87,LayerRain,80B640,,,,,,,,2,928000;A48000,tilemaps/Tilemap0x928000.png
58,88,LayerClouds,80B64E,,,,,,,,2,97B11A;A4C3E2,tilemaps/Tilemap0x97b11a.png
59,89,LayerSnow,80B65C,,,,,,,,2,9E9C6D;A5C955,tilemaps/Tilemap0x9e9c6d.png
5A,90,LayerHeavySnow,80B66A,,,,,,,,2,9B8441;A5A3D5,tilemaps/Tilemap0x9b8441.png
5B,91,IntroFarmScroll,80B678,,02,02,04,02,,,6,9F8000;9F946C;9FAA75;9FC04C;A5CD88;A5D44C,
5C,92,HarvestMoonLogo,80B69A,,,,,,,,1,A5D94A,
5D,93,NatsumeLogo,80B6A3,,,,,,,,2,9FEF97;A5DE84,
5E,94,MenuScreenBackgrounds,80B6B1,,02,02,04,02,,,6,9ABF97;9AC489;9ACB41;9AD357;A58000;A5970F,tilemaps/Tilemap0x9abf97.png;tilemaps/Tilemap0x9ac489.png;tilemaps/Tilemap0x9acb41.png;tilemaps/Tilemap0x9ad357.png
5F,95,MenuCharacters,80B6D3,,02,02,04,02,,,6,9ABF97;9AC489;9ACB41;9AD357;A58D8E;A5970F,tilemaps/Tilemap0x9abf97.png;tilemaps/Tilemap0x9ac489.png;tilemaps/Tilemap0x9acb41.png;tilemaps/Tilemap0x9ad357.png
