offset,dec,save_source,load_target,summary_target,notes
$0086,134,!shed_items_row_3,!shed_items_row_3,,tool shed bitfield row
$0087,135,!shed_items_row_4,!shed_items_row_4,,tool shed bitfield row
$0088,136,!dog_name_short_1,!dog_name_short_1,,dog_name character 1
$0089,137,!dog_name_short_2,!dog_name_short_2,,dog_name character 2
$008A,138,!dog_name_short_3,!dog_name_short_3,,dog_name character 3
$008B,139,!dog_name_short_4,!dog_name_short_4,,dog_name character 4
$008C,140,!horse_name_short_1,!horse_name_short_1,,horse_name character 1
$008D,141,!horse_name_short_2,!horse_name_short_2,,horse_name character 2
$008E,142,!horse_name_short_3,!horse_name_short_3,,horse_name character 3
$008F,143,!horse_name_short_4,!horse_name_short_4,,horse_name character 4
$0090,144,!kid1_name_sort_1,!kid1_name_sort_1,,kid1_name character 1
$0091,145,!kid1_name_sort_2,!kid1_name_sort_2,,kid1_name character 2
$0092,146,!kid1_name_sort_3,!kid1_name_sort_3,,kid1_name character 3
$0093,147,!kid1_name_sort_4,!kid1_name_sort_4,,kid1_name character 4
$0094,148,!kid2_name_sort_1,!kid2_name_sort_1,,kid2_name character 1
$0095,149,!kid2_name_sort_2,!kid2_name_sort_2,,kid2_name character 2
$0096,150,!kid2_name_sort_3,!kid2_name_sort_3,,kid2_name character 3
$0097,151,!kid2_name_sort_4,!kid2_name_sort_4,,kid2_name character 4
$0098,152,!chicken_array,!chicken_array,,block copy: 13 chickens x 8 bytes = 104 bytes
$0100,256,!cow_array,!cow_array,,block copy: 12 cows x 16 bytes = 192 bytes
$01C0,448,!farm_map_array[$00C0-$0EFF],!farm_map_array[$00C0-$0EFF],,block copy: farm map/tile state to end of slot
