index_hex,snes_addr,old_label,new_label,category,word_count,byte_count,text_preview
06C,B6C9B2,DATA16_B6C9B2,Text_06C_Church_AlwaysPrayGrownUpVery,Church,53,106,I always pray that I can be a grown-up very quickly.
06D,B6CA1C,DATA16_B6CA1C,Text_06D_Dialog_DateDateWalkAll,Dialog,61,122,"It's not a date, It's not a date, Just a walk:that's all,"
06E,B6CA96,DATA16_B6CA96,Text_06E_Shipping_PutCropsShippingBoxCollect,Shipping,70,140,Oh yes:put crops in the shipping box so I can collect them.
06F,B6CB22,DATA16_B6CB22,Text_06F_Animal_UseToolLoseStaminaBut,Animal,86,172,You can't use the tool when you lose your stamina but you can carry things a round.
070,B6CBCE,DATA16_B6CBCE,Text_070_Dialog_DrinkAfterWorkBest,Dialog,38,76,Well: a drink after work is the best.
071,B6CC1A,DATA16_B6CC1A,Text_071_Shipping_ThingsShipFlowersAnimalsPerishables,Shipping,117,234,Things you can't ship are flowers:animals:and perishables like cakes. Don't put those things in the box.
072,B6CD04,DATA16_B6CD04,Text_072_Shipping_EvenIfPutShippingGoods,Shipping,102,204,Even if you put shipping goods in the box at night: they won't last till the morning.So wasteful.
073,B6CDD0,DATA16_B6CDD0,Text_073_Shipping_CollectShippingGoodsEvenShed,Shipping,69,138,I collect shipping goods even in the shed so please don't worry.
074,B6CE5A,DATA16_B6CE5A,Text_074_Weather_ShallWatchWeatherForecastYoud,Weather,120,240,Shall we watch the weather forecast? You'd better put the livestock inside right after you find out it's raining.
075,B6CF4A,DATA16_B6CF4A,Text_075_Church_MuchEasierLiveIfWas,Church,78,156,It would be much easier to live if it was true that Godbrings you happiness.
076,B6CFE6,DATA16_B6CFE6,Text_076_Diary_AnythingHappenLivesCaseYoud,Diary,75,150,Anything can happen in our lives. Just in case:you'd better save money.
077,B6D07C,DATA16_B6D07C,Text_077_Romance_KnowMoneyImportantButMost,Romance,100,200,"I know money is important but the most important thingis love:you know: LOVE, Don't you think so?"
078,B6D144,DATA16_B6D144,Text_078_Shipping_WanderingPeddlerButOftenSell,Shipping,155,310,I'm a wandering peddler. But I don't often sell anything to anyone. If there's anything you wantto sell: just put them on that table over there.
079,B6D27A,DATA16_B6D27A,Text_079_Weather_FencesEasyBreakAfterRain,Weather,111,222,Fences are easy to break after rain and snow. Please make new fences afterknocking the broken fences down.
07A,B6D358,DATA16_B6D358,Text_07A_Sign_LiveMountainsHuntingAnimalsEve,Sign,123,246,I live in the mountains hunting animals. Eve always tells me to come down to the town but I won'tchange my life style.
07B,B6D44E,DATA16_B6D44E,Text_07B_Mountain_HaveHeardPowerBerryEat,Mountain,85,170,"Have you heard of ""Power Berry""? Eat it and you'll gain a little energy."
07C,B6D4F8,DATA16_B6D4F8,Text_07C_Weather_RainsMustKeepoffTopMountain,Weather,81,162,When it rains: you must keepoff the top of the mountain:because it is dangerous.
07D,B6D59A,DATA16_B6D59A,Text_07D_Mountain_SomeMushroomsPoisonousCareful,Mountain,53,106,Some mushrooms are poisonous:so be careful.
07E,B6D604,DATA16_B6D604,Text_07E_Mountain_WantFishC,Mountain,58,116,Hey:do you want to fish? Yes No<CHOICE_OR_WAIT>c
07F,B6D678,DATA16_B6D678,Text_07F_Manual_UseMyFishingRodUse,Manual,47,94,OK:you can use my fishing rod. Use Y button.
080,B6D6D6,DATA16_B6D6D6,Text_080_Shipping_PrettyGoodTastesGoodSells,Shipping,68,136,No:this is pretty good. It tastes good and sells at a high price.
081,B6D75E,DATA16_B6D75E,Text_081_Dialog_VisitUsAgain,Dialog,16,32,Visit us again.
082,B6D77E,DATA16_B6D77E,Text_082_Dialog_FineDayToday,Dialog,29,58,Hello.It's a fine day today.
083,B6D7B8,DATA16_B6D7B8,Text_083_Romance_HotEveryDayButDoing,Romance,47,94,It's been hot every day but how are you doing?
084,B6D816,DATA16_B6D816,Text_084_Romance_SomehowLoveAutumnScenery,Romance,37,74,I somehow love the autumn scenery.
085,B6D860,DATA16_B6D860,Text_085_Dialog_HopeItllSpringSoon,Dialog,27,54,Hope it'll be spring soon.
086,B6D896,DATA16_B6D896,Text_086_Church_BelieveGodC,Church,56,112,Do you believe in God? Yes No<CHOICE_OR_WAIT>c
087,B6D906,DATA16_B6D906,Text_087_Church_UnusualTheseDaysComeChurch,Church,74,148,Really? It's unusual these days. Please come to the church on Sunday.
088,B6D99A,DATA16_B6D99A,Text_088_Church_WhetherGodExistsMoreBelief,Church,77,154,"It's not whether God exists or not:it's more a ""belief"" that counts:I think."
089,B6DA34,DATA16_B6DA34,Text_089_Dialog_TakeCareYourselfnotWornDown,Dialog,69,138,Please take care of yourselfnot to be worn down by the summer heat.
08A,B6DABE,DATA16_B6DABE,Text_08A_Romance_ExcuseMeLoveKidsLove,Romance,76,152,....Excuse me: do you love kids? I love kids. Not really.<CHOICE_OR_WAIT>c
08B,B6DB56,DATA16_B6DB56,Text_08B_Romance_LoveKidsTooMyDream,Romance,67,134,I love kids too. My dream isto live with a lot of kids around me.
08C,B6DBDC,DATA16_B6DBDC,Text_08C_Dialog_Oh,Dialog,7,14,...Oh.
08D,B6DBEA,DATA16_B6DBEA,Text_08D_Dialog_PrettyColdTakeCareYourself,Dialog,70,140,It's pretty cold so please take care of yourself not tocatch a cold.
08E,B6DC76,DATA16_B6DC76,Text_08E_Church_HaveComeListenPriestC,Church,76,152,Oh:you have come to listen to the priest. Yes No<CHOICE_OR_WAIT>c
08F,B6DD0E,DATA16_B6DD0E,Text_08F_Dialog_Devout,Dialog,16,32,You are devout.
090,B6DD2E,DATA16_B6DD2E,Text_090_Animal_ThenPray,Animal,40,80,No? then:why are you here? Oh:to pray?
091,B6DD7E,DATA16_B6DD7E,Text_091_Weather_WelcomeRainHaveaLotRain,Weather,64,128,It's a welcome rain. We havea lot of rain here in spring.
092,B6DDFE,DATA16_B6DDFE,Text_092_Dialog_UumComeOvertoRanchSome,Dialog,57,114,Uum...well...can I come overto your ranch some day soon?
093,B6DE70,DATA16_B6DE70,Text_093_Dialog_LonelyLivingBigPlaceLittle,Dialog,88,176,Aren't you lonely living in that big place? A little lonely No:not at all<CHOICE_OR_WAIT>c
094,B6DF20,DATA16_B6DF20,Text_094_Dialog_UumIfNothingGGood,Dialog,50,100,Uum..well...yes: if...no: nothing....g-good-by.
095,B6DF84,DATA16_B6DF84,Text_095_Dialog_SeeSorryMeanAskAnything,Dialog,66,132,I..see...sorry:I didn't mean to ask you anything personal.
096,B6E008,DATA16_B6E008,Text_096_Dialog_GoingMakeGreatToolsLike,Dialog,47,94,"I'm going to make great tools like my dad,"
097,B6E066,DATA16_B6E066,Text_097_Sign_ItllShowcasedShopOneThese,Sign,117,234,It'll be showcased at the shop one of these days so please try it. Hum I don't want it<CHOICE_OR_WAIT>c
098,B6E150,DATA16_B6E150,Text_098_Dialog_TrustMe,Dialog,10,20,Trust me.
099,B6E164,DATA16_B6E164,Text_099_Dialog_TrustMe,Dialog,28,56,You don't trust me: do you?
09A,B6E19C,DATA16_B6E19C,Text_09A_Dialog_SeemsLittleDifferentPlanHad,Dialog,66,132,It seems a little different from the plan I had but...nobig deal.
09B,B6E220,DATA16_B6E220,Text_09B_Romance_ActingLikeGirlAllBad,Romance,71,142,Aren't I acting like a girl? No:not at all Not that bad<CHOICE_OR_WAIT>c
09C,B6E2AE,DATA16_B6E2AE,Text_09C_Dialog_Outspoken,Dialog,23,46,"How outspoken you are,"
09D,B6E2DC,DATA16_B6E2DC,Text_09D_Romance_MyDadAlwaysTellsMe,Romance,95,190,My dad always tells me to act like a girl but I wonderexactly what acting like a girl means.
09E,B6E39A,DATA16_B6E39A,Text_09E_Dialog_KnowButFeelsGoodSpring,Dialog,99,198,"Well...I don't know why but...it feels good in spring. I go like ""OK:it's show time,"""
09F,B6E460,DATA16_B6E460,Text_09F_Romance_LoveSummerThoughHot,Romance,33,66,I love summer though it's hot.
0A0,B6E4A2,DATA16_B6E4A2,Text_0A0_Dialog_ConstantEffortImportantKnowSaysuccess,Dialog,84,168,well:constant effort is important:you know. They saysuccess comes from failure.
0A1,B6E54A,DATA16_B6E54A,Text_0A1_Animal_LooksColdOutsideTurnsWhite,Animal,72,144,It looks cold outside.It turns white when you breatheout:doesn't it?
0A2,B6E5DA,DATA16_B6E5DA,Text_0A2_Dialog_HoHumBoringC,Dialog,79,158,Ho hum...it's boring: isn't it? Yes Not really<CHOICE_OR_WAIT>c
0A3,B6E678,DATA16_B6E678,Text_0A3_Diary_HumSleepyHoHum,Diary,38,76,It is:hum? I'm so sleepy... ho hum...
0A4,B6E6C4,DATA16_B6E6C4,Text_0A4_Dialog_GeeSerious,Dialog,24,48,Gee:you are so serious.
0A5,B6E6F4,DATA16_B6E6F4,Text_0A5_Manual_FeelRelaxedOutsideHaventOutfor,Manual,69,138,Yes:I feel relaxed outside...I haven't been outfor a while.
0A6,B6E77E,DATA16_B6E77E,Text_0A6_Dialog_IdeaComesOutUnderThisheat,Dialog,34,68,"No idea comes out under thisheat,"
0A7,B6E7C2,DATA16_B6E7C2,Text_0A7_Dialog_LetsBestShall,Dialog,29,58,Let's do our best:shall we?
0A8,B6E7FC,DATA16_B6E7FC,Text_0A8_Weather_MountainCoveredWithsnowNow,Weather,41,82,The mountain is covered withsnow by now.
0A9,B6E84E,DATA16_B6E84E,Text_0A9_Weather_HateRainFeelsDepressingLike,Weather,63,126,I hate rain.It feels depressing.I like when it pours.
0AA,B6E8CC,DATA16_B6E8CC,Text_0AA_Romance_MyDadTellsMeGet,Romance,164,328,...My dad tells me to get married so often.... He would be all by himself if I got married to someone... Doesn't he realize that?
0AB,B6EA14,DATA16_B6EA14,Text_0AB_Animal_LookAutomaticPuddingMakerPut,Animal,197,394,"Hello, Hey: look at this, This is the automatic pudding maker, I've put eggs and milk in here. Now all you have to dois turn it on.Do it, Push I don't want to do<CHOICE_OR_WAIT>c"
0AC,B6EB9E,DATA16_B6EB9E,Text_0AC_Dialog_SmellsWonderful,Dialog,32,64,It smells wonderful:doesn't it?
0AD,B6EBDE,DATA16_B6EBDE,Text_0AD_Dialog_SayMuchQuickerTomakePudding,Dialog,98,196,You say it's much quicker tomake pudding without the machine? Oh no...don' t you have a dream?
0AE,B6ECA2,DATA16_B6ECA2,Text_0AE_Animal_LoveSpringAllFlowersStart,Animal,52,104,I love Spring when all the flowers start to bloom.
0AF,B6ED0A,DATA16_B6ED0A,Text_0AF_Town_LikeFlowersC,Town,69,138,Hello. Do you like flowers? Yes Not really<CHOICE_OR_WAIT>c
0B0,B6ED94,DATA16_B6ED94,Text_0B0_Romance_YeahNinaLovesToo,Romance,26,52,"Yeah:Nina loves them too,"
0B1,B6EDC8,DATA16_B6EDC8,Text_0B1_Dialog_Ugh,Dialog,7,14,ugh...
0B2,B6EDD6,DATA16_B6EDD6,Text_0B2_Shipping_AutumnWinterOffSeasonUs,Shipping,81,162,Autumn to Winter is an off season for us because there's nothing to sell.
0B3,B6EE78,DATA16_B6EE78,Text_0B3_Romance_BelieveFlowerWhichBloomsWinter,Romance,113,226,Do you believe that there is a flower which blooms in Winter? Yes You're kidding?<CHOICE_OR_WAIT>c
0B4,B6EF5A,DATA16_B6EF5A,Text_0B4_Dialog_MustBeautiful,Dialog,22,44,It must be beautiful.
0B5,B6EF86,DATA16_B6EF86,Text_0B5_Sign_LetMeTellCodeForthe,Sign,82,164,"Let me tell you the code forthe flower in our shop. It is ""I like you a lot,"""
0B6,B6F02A,DATA16_B6F02A,Text_0B6_Romance_GuessHappyIfGaveFlowerto,Romance,78,156,Hey:I guess she would be happy if you gave the flowerto the girl you like.
0B7,B6F0C6,DATA16_B6F0C6,Text_0B7_Sign_MountainsSeasonBeautifulManyFruits,Sign,84,168,The mountains this season are beautiful. There are many fruits and nuts:too...
0B8,B6F16E,DATA16_B6F16E,Text_0B8_Dialog_DesertedWinterButExperienceJoysof,Dialog,82,164,It's deserted in Winter.But we can't experience the joysof Spring without Winter.
0B9,B6F212,DATA16_B6F212,Text_0B9_Sign_HerbInnerPartCaveWorks,Sign,93,186,The herb in the inner part of the cave works well for fever and headache when you boil it.
0BA,B6F2CC,DATA16_B6F2CC,Text_0BA_Sign_FlowerSoldShopRaise,Sign,51,102,The flower sold at the shop is what we raise here.
0BB,B6F332,DATA16_B6F332,Text_0BB_Shipping_CollectingFallenLeavestoMakeManure,Shipping,65,130,I'm collecting fallen leavesto make manure for the flowers.
0BC,B6F3B4,DATA16_B6F3B4,Text_0BC_Weather_PlantsAliveUnderSnowWonderful,Weather,87,174,Plants are alive under the snow.Isn't it wonderful? Wonderful So?<CHOICE_OR_WAIT>c
0BD,B6F462,DATA16_B6F462,Text_0BD_Dialog_HumanAnimalsPlantsAllAlive,Dialog,43,86,Human:animals:and plants are all alive.
0BE,B6F4B8,DATA16_B6F4B8,Text_0BE_Dialog_Great,Dialog,10,20,"So great,"
0BF,B6F4CC,DATA16_B6F4CC,Text_0BF_Festival_KnowBusyWorkingButTry,Festival,70,140,I know you are busy working but please try to come to the festival.
0C0,B6F558,DATA16_B6F558,Text_0C0_Weather_KindLikeRainyDaysLeaves,Weather,63,126,I kind of like rainy days. Leaves look happy when it rains.
0C1,B6F5D6,DATA16_B6F5D6,Text_0C1_Animal_FlowersEdibleUsedMedicinalPurposes,Animal,172,344,Flowers can be edible and used for medicinal purposes as well as making us feel comfortable.But I don't pickthem when I don't need them. I believe they want to live too.
0C2,B6F72E,DATA16_B6F72E,Text_0C2_Dialog_HeardWasSecretGardenRanch,Dialog,144,288,"I heard there was the ""Secret Garden"" in the ranch. Is it so? I want to go see it. OK I don't want to go.<CHOICE_OR_WAIT>c"
0C3,B6F84E,DATA16_B6F84E,Text_0C3_Dialog_WowHardlyWait,Dialog,23,46,Wow:I can hardly wait.
0C4,B6F87C,DATA16_B6F87C,Text_0C4_Dialog_MeanForget,Dialog,39,78,"How mean, Forget it,"
0C5,B6F8CA,DATA16_B6F8CA,Text_0C5_Dialog_AlwaysLookFine,Dialog,29,58,Hello:you always look fine.
0C6,B6F904,DATA16_B6F904,Text_0C6_Dialog_HaveLittleBirdNameP,Dialog,69,138,I have a little bird. Her name is P-chan. She sings beautifully.
0C7,B6F98E,DATA16_B6F98E,Text_0C7_Romance_LikeSweetsLoveC,Romance,65,130,Hey:do you like sweets? I love them Not really<CHOICE_OR_WAIT>c
0C8,B6FA10,DATA16_B6FA10,Text_0C8_Dialog_GoodMakingSweetsHopeCook,Dialog,79,158,Really? I'm good at making sweets.I hope I can cook you something someday.
0C9,B6FAAE,DATA16_B6FAAE,Text_0C9_Dialog_Sorry,Dialog,11,22,I'm sorry.
0CA,B6FAC4,DATA16_B6FAC4,Text_0CA_Romance_StillnessWinterMakesMeCalm,Romance,67,134,The stillness of Winter makes me calm down so I love it.
0CB,B6FB4A,DATA16_B6FB4A,Text_0CB_Romance_LikeAnimalsLoveLikeC,Romance,73,146,Hey:do you like animals? I love them I don't like them<CHOICE_OR_WAIT>c
0CC,B6FBDC,DATA16_B6FBDC,Text_0CC_Romance_LoveAnimalsToo,Romance,25,50,Yes? I love animals too.
0CD,B6FC0E,DATA16_B6FC0E,Text_0CD_Town_LyingAnimalsTakePeopleWho,Town,67,134,You are lying. animals dont take to people who don't like them.
0CE,B6FC94,DATA16_B6FC94,Text_0CE_Animal_EiBarkWildDogswhenCome,Animal,79,158,<CTRL_FFFD>ei would bark at wild dogswhen they come here. Check if the fence is broken.
0CF,B6FD32,DATA16_B6FD32,Text_0CF_Dialog_HardLookAfterAnimalsAlways,Dialog,169,338,It's hard to look after animals.We always must be careful so they dont get sick.... I feel just like a mother who is taking care of her children.
0D0,B6FE84,DATA16_B6FE84,Text_0D0_Romance_AlwaysRunningAroundLookFine,Romance,88,176,You are always running around:aren't you? You look fine even if it's cold outside.
0D1,B6FF34,DATA16_B6FF34,Text_0D1_Dialog_HopeMyDadStaysHealthy,Dialog,102,204,I hope my dad stays healthy at all times.
0D2,B78000,DATA16_B78000,Text_0D2_Dialog_MyUncleLikedMakeFriends,Dialog,87,174,My uncle liked you. Please make friends with him.OK? OK No<CHOICE_OR_WAIT>c
0D3,B780AE,DATA16_B780AE,Text_0D3_Dialog_GladExcuseHimBeingMeddlesome,Dialog,107,214,Really? I'm glad. Please excuse him for being meddlesome. I guess he gets that from my mother.
0D4,B78184,DATA16_B78184,Text_0D4_Dialog_HesStrictButBasicallyGood,Dialog,41,82,He's strict but basically a good person.
0D5,B781D6,DATA16_B781D6,Text_0D5_Dialog_TooSoakedMightCatchCold,Dialog,86,172,Oh no: you are too soaked. You might catch a cold unless you dry yourself soon.
0D6,B78282,DATA16_B78282,Text_0D6_Dialog_ComeDadLetsGoHomenow,Dialog,33,66,Oh:come on:Dad.Let's go homenow.
0D7,B782C4,DATA16_B782C4,Text_0D7_Dialog_OtherwiseMomGetMad,Dialog,47,94,Otherwise Mom will get really mad at you.
0D8,B78322,DATA16_B78322,Text_0D8_Animal_TasteMyNewCakeBaked,Animal,45,90,Will you taste my new cake when it's baked?
0D9,B7837C,DATA16_B7837C,Text_0D9_Dialog_BakedNewCakeHaveBite,Dialog,83,166,Hey:I baked a new cake. Will you have a bite? Yes No<CHOICE_OR_WAIT>c
0DA,B78422,DATA16_B78422,Text_0DA_Sign_GoodCheesecakeThinkGoodEnough,Sign,94,188,Is it good? It's a cheesecake. Do you think it's good enough to sell at the shop?
0DB,B784DE,DATA16_B784DE,Text_0DB_Romance_LookPrettyBusyHopeEverythings,Romance,66,132,You look pretty busy. I hope everything's well with you.
0DC,B78562,DATA16_B78562,Text_0DC_Dialog_CoincidenceMeetC,Dialog,76,152,Oh:what a coincidence to meet you here. Yes No<CHOICE_OR_WAIT>c
0DD,B785FA,DATA16_B785FA,Text_0DD_Dialog_TeeHee,Dialog,11,22,Tee-hee...
