index_hex,snes_addr,bank,label,category,text_preview
035,B6A03E,B6,Text_035_Dialog_HowsGoingWorkTooHard,Dialog,Hey: how's it going? Don't work too hard. Just take time.
036,B6A0CE,B6,Text_036_Animal_AskFloristFlowersAskLivestock,Animal,Ask the florist for flowers and ask the livestock delaerfor livestock. Better ask Mrs. Fortune-teller for girls.
037,B6A1C8,B6,Text_037_Church_HangAroundListenPriest,Church,Don't hang around. Listen to the priest.
038,B6A22C,B6,Text_038_Dialog_OffTodayKeepUpAll,Dialog,You are off today: aren't you? We can't keep it up all the time.
039,B6A2C0,B6,Text_039_Weather_PeopleTownTalkDifferentlyAccording,Weather,People in town talk differently according to theweather: day: and season.
03A,B6A364,B6,Text_03A_Animal_EverybodyHasDifferentIdeasHappiness,Animal,Everybody has different ideas on what happiness means:right? I guess the best thing is to do what you want to do. But it's probably not real happiness when you annoy someone or are blamed.
03B,B6A4FC,B6,Text_03B_Sign_WorkingHardHaveChatFriends,Sign,You are working so hard. You should have a chat with your friends or go to mountains... to relax once in a while.
03C,B6A604,B6,Text_03C_Church_ChurchDedicatedGodCropsSuggest,Church,This church is dedicated to the God of the crops. I suggest you pray faithfully.
03D,B6A6B2,B6,Text_03D_Dialog_LikeTakingMyTimeReading,Dialog,I like taking my time reading books.That's one of my happiest times.
03E,B6A748,B6,Text_03E_Sign_HaveHeardWaterImpSomeone,Sign,Have you heard of the water imp? Someone has seen it in the pond of the mountain.
03F,B6A7EC,B6,Text_03F_Dialog_ThinkBadThingsIfDiscovered,Dialog,Don't think it's OK to do bad things if it's not discovered. No one is perfect. We all make mistakes. That's the way we are. But it's wrong to not feel guilty about what you've done wrong.
040,B6A99A,B6,Text_040_Romance_WonderIfDaughterAnncanGet,Romance,I wonder if our daughter Anncan get married living like that.
041,B6AA16,B6,Text_041_Animal_HowsWorkGoingSomeWild,Animal,Hi: how's your work going? There are some wild dogs: so you should fix the fence.
042,B6AAC0,B6,Text_042_Church_BelieveGodExistsBelieve,Church,I believe God exists. You believe it: don't you?
043,B6AB2E,B6,Text_043_Dialog_StrangeAlwaysNowNothingAll,Weather,Hey: it's strange. She is always here by now. .....oh no: it's nothing at all.
044,B6ABF0,B6,Text_044_Dialog_TakingWalkTooImportantGet,Dialog,Hi. Are you taking a walk too? It's important to get afew days off. Working hard till late at night will drive you crazy: mentally and physically.
045,B6AD1E,B6,Text_045_Romance_HelpMyselfWorryingAboutAnn,Romance,I just can't help myself worrying about Ann so much. Mr. <CTRL_FFFD>eh: you are of the same generation as Ann. What do you think of her? ....oh: sorry. Maybe I'm a little confused.
046,B6AE86,B6,Text_046_Shop_AlwaysLookFineBagSeed,Sign,Hello. You always look fine.The bag of seed for sowing. It's convenient to buy a few bags at once.
047,B6AF4C,B6,Text_047_Dialog_GrassGrowsAutumnYoudontHave,Dialog,Grass grows in Autumn so youdon't have to mow much before Winter.
048,B6AFDA,B6,Text_048_Romance_MayEveryoneGiveKindnessEveryone,Romance,May everyone give kindness to everyone else....
049,B6B03C,B6,Text_049_Dialog_Entry,Dialog,....
04A,B6B046,B6,Text_04A_Sign_ShopClosedSaturdaysBathingInthe,Sign,What? The shop is closed on Saturdays. So I'm bathing inthe sun. Nice:huh?
04B,B6B0DC,B6,Text_04B_Weather_KindDarkRainyDaysFeels,Weather,It's kind of dark on rainy days....feels slightly lonely:doesn't it? But the rain is good when itcomes to producing crops.
04C,B6B1DE,B6,Text_04C_Dialog_CoincidenceHavingMealToday,Dialog,What a coincidence. Are you having a meal here today?
04D,B6B24A,B6,Text_04D_Dialog_EasyWorkSteadilyButWorthwhile,Dialog,It's not easy to work steadily but it's worthwhile.
04E,B6B2D2,B6,Text_04E_Church_HopeBusinessBetterBetterGod,Church,Hope business will be better:it will be better .... What? Isn't it the God of business? Oh:well.
04F,B6B3A8,B6,Text_04F_Diary_GoodBatheSunEatWork,Diary,It's good to bathe in the sun. Eat well and work hard.Good health is the foundation of happiness.
050,B6B470,B6,Text_050_Animal_EatSomethingTiredCakesBest,Animal,Eat something when you are tired. Our cakes are the best to get more energy.
051,B6B512,B6,Text_051_Dialog_HowdyYoungBoysWhatsUp,Dialog,"Howdy:young boys, What's up?....hic."
052,B6B55C,B6,Text_052_Animal_HicWorkingLikeDogOnly,Animal,...hic:working like a dog is not the only way to live.
053,B6B5CE,B6,Text_053_Dialog_MyRoutineTakeWalkSundays,Dialog,It's my routine to take a walk on Sundays so it's OK with me.
054,B6B650,B6,Text_054_Weather_StartedRainingNowGeeWas,Weather,Oh no:it started raining now...gee: I was going to work. Well:I can do nothing but stay home today.
055,B6B726,B6,Text_055_Weather_SayingMatterIfRainsWork,Weather,"What are you saying? It doesn't matter if It rains to do our work here,"
056,B6B7CC,B6,Text_056_Dialog_UlpSooooGreatShesOut,Dialog,"ulp...soooo...great, She's out.I can relax as much as I want:yeah."
057,B6B866,B6,Text_057_Church_CalmInsideChurchManyPeople,Church,You can be calm inside the church.Not many people here:you know. It's crowded on holidays though.
058,B6B932,B6,Text_058_Animal_FeltTimeWentSlowlyWas,Animal,I felt time went by slowly when I was young. Now time goes by too fast and one year seems short. It's strange:really.
059,B6BA38,B6,Text_059_Animal_HaveSympathyPeopleKindPeople,Animal,Have sympathy for people. When you are kind to people:they give you kindness in return. Animals are the same as us for sure.
05A,B6BB48,B6,Text_05A_Dialog_NecessarilyRightWrongDailyIncidents,Dialog,It's not necessarily right or wrong. Daily incidents are neither. It's up to you:really.
05B,B6BC00,B6,Text_05B_Weather_KnowConsumeYourstaminaRainyDay,Weather,I know it won't consume yourstamina on a rainy day but you should be off. Really.
05C,B6BCA6,B6,Text_05C_Animal_ToughTakeCareCowsTake,Animal,It's tough to take care of cows.Take good care of them so that they do not get sick.My note is right there so read it carefully so you can avoid any diseases.
05D,B6BDEC,B6,Text_05D_Animal_HensLayEggsPutCage,Animal,Hey:do your hens lay eggs? Put them in the cage. And feed them every day. They won't lay eggs for <CTRL_B5>days after you miss a feeding.
05E,B6BF10,B6,Text_05E_Weather_YoungBoyPutLivestockInside,Weather,"Hey:young boy, Put your livestock inside the pen before the weather gets worse,"
05F,B6BFBE,B6,Text_05F_Animal_KnowCowsGiveMoreMilk,Animal,"You know:cows give you more milk when you take good careof them with love. ..hey:are you listening to me? They will like you and good calves will be born ...listen to me:boy,"
060,B6C120,B6,Text_060_Dialog_RedoLifeMightHaveSecond,Dialog,You can't redo your life. You might not have the second chance. Think before you act.
061,B6C1DA,B6,Text_061_Church_AskingIfGotoChurchGod,Church,Are you asking if I don't goto church? God is everywhereand He is nowhere: you know. Hee-hee-hee.
062,B6C2C2,B6,Text_062_Romance_TheresUsefulBookOverAbout,Romance,There's a useful book over there: about girls:I wrote it.Better read it.
063,B6C358,B6,Text_063_Sign_AlsoMidwifeKnowMayorsDaughter,Sign,I'm also a midwife.You know:the mayor's daughter Maria and the grocery shop owner's daughter Ann I delivered them all.
064,B6C456,B6,Text_064_Dialog_GrownUpsAlwaysMakeRule,Dialog,Grown-ups always make rule telling us to do this:do that:don't do this: don't do that.What hard workit is being a child.
065,B6C550,B6,Text_065_Romance_HmmmLoveMariasSisterCantbe,Romance,Hmmm...is he in love with Maria's sister? ....it can'tbe.
066,B6C5C8,B6,Text_066_Sign_GatherManyThingsIntheMountain,Sign,We can gather many things inthe mountain.I want to sell them but they won't allow a little kid to go to the mountains alone.
067,B6C6C6,B6,Text_067_Dialog_GotDate,Dialog,"Please:please, I've got a date."
068,B6C720,B6,Text_068_Romance_YoudBetterReadBookWritten,Romance,You'd better read the book written by Mrs. Fortune-teller many times. It's pretty hard to capture a girl's heart.
069,B6C81E,B6,Text_069_Dialog_YeahWelcomeMakeYourselfatHome,Dialog,Yeah: welcome. Make yourselfat home.
06A,B6C868,B6,Text_06A_Shop_ThingsGirlsLikeFlowersSweets,Sign,Things girls like are flowers and sweets:right? I'm saving money to buy a present for Maria.
06B,B6C932,B6,Text_06B_Romance_LoveMariaWishMyBride,Romance,I love Maria.I wish she would be my bride in the future.
06C,B6C9B2,B6,Text_06C_Church_AlwaysPrayGrownUpVery,Church,I always pray that I can be a grown-up very quickly.
06D,B6CA1C,B6,Text_06D_Dialog_DateDateWalkAll,Dialog,"It's not a date, It's not a date, Just a walk:that's all,"
06E,B6CA96,B6,Text_06E_Shipping_PutCropsShippingBoxCollect,Shipping,Oh yes:put crops in the shipping box so I can collect them.
06F,B6CB22,B6,Text_06F_Animal_UseToolLoseStaminaBut,Animal,You can't use the tool when you lose your stamina but you can carry things a round.
070,B6CBCE,B6,Text_070_Dialog_DrinkAfterWorkBest,Dialog,Well: a drink after work is the best.
071,B6CC1A,B6,Text_071_Shipping_ThingsShipFlowersAnimalsPerishables,Shipping,Things you can't ship are flowers:animals:and perishables like cakes. Don't put those things in the box.
072,B6CD04,B6,Text_072_Shipping_EvenIfPutShippingGoods,Shipping,Even if you put shipping goods in the box at night: they won't last till the morning.So wasteful.
073,B6CDD0,B6,Text_073_Shipping_CollectShippingGoodsEvenShed,Shipping,I collect shipping goods even in the shed so please don't worry.
074,B6CE5A,B6,Text_074_Weather_ShallWatchWeatherForecastYoud,Weather,Shall we watch the weather forecast? You'd better put the livestock inside right after you find out it's raining.
075,B6CF4A,B6,Text_075_Church_MuchEasierLiveIfWas,Church,It would be much easier to live if it was true that Godbrings you happiness.
076,B6CFE6,B6,Text_076_Diary_AnythingHappenLivesCaseYoud,Diary,Anything can happen in our lives. Just in case:you'd better save money.
077,B6D07C,B6,Text_077_Romance_KnowMoneyImportantButMost,Romance,"I know money is important but the most important thingis love:you know: LOVE, Don't you think so?"
078,B6D144,B6,Text_078_Shipping_WanderingPeddlerButOftenSell,Shipping,I'm a wandering peddler. But I don't often sell anything to anyone. If there's anything you wantto sell: just put them on that table over there.
079,B6D27A,B6,Text_079_Weather_FencesEasyBreakAfterRain,Weather,Fences are easy to break after rain and snow. Please make new fences afterknocking the broken fences down.
07A,B6D358,B6,Text_07A_Sign_LiveMountainsHuntingAnimalsEve,Sign,I live in the mountains hunting animals. Eve always tells me to come down to the town but I won'tchange my life style.
07B,B6D44E,B6,Text_07B_Mountain_HaveHeardPowerBerryEat,Sign,"Have you heard of ""Power Berry""? Eat it and you'll gain a little energy."
07C,B6D4F8,B6,Text_07C_Weather_RainsMustKeepoffTopMountain,Weather,When it rains: you must keepoff the top of the mountain:because it is dangerous.
07D,B6D59A,B6,Text_07D_Mountain_SomeMushroomsPoisonousCareful,Sign,Some mushrooms are poisonous:so be careful.
07E,B6D604,B6,Text_07E_Mountain_WantFishC,Sign,Hey:do you want to fish? Yes No<CHOICE_OR_WAIT>c
07F,B6D678,B6,Text_07F_Manual_UseMyFishingRodUse,Manual,OK:you can use my fishing rod. Use Y button.
080,B6D6D6,B6,Text_080_Shipping_PrettyGoodTastesGoodSells,Shipping,No:this is pretty good. It tastes good and sells at a high price.
081,B6D75E,B6,Text_081_Dialog_VisitUsAgain,Dialog,Visit us again.
082,B6D77E,B6,Text_082_Dialog_FineDayToday,Dialog,Hello.It's a fine day today.
083,B6D7B8,B6,Text_083_Romance_HotEveryDayButDoing,Romance,It's been hot every day but how are you doing?
084,B6D816,B6,Text_084_Romance_SomehowLoveAutumnScenery,Romance,I somehow love the autumn scenery.
085,B6D860,B6,Text_085_Dialog_HopeItllSpringSoon,Dialog,Hope it'll be spring soon.
086,B6D896,B6,Text_086_Church_BelieveGodC,Church,Do you believe in God? Yes No<CHOICE_OR_WAIT>c
087,B6D906,B6,Text_087_Church_UnusualTheseDaysComeChurch,Church,Really? It's unusual these days. Please come to the church on Sunday.
088,B6D99A,B6,Text_088_Church_WhetherGodExistsMoreBelief,Church,"It's not whether God exists or not:it's more a ""belief"" that counts:I think."
089,B6DA34,B6,Text_089_Dialog_TakeCareYourselfnotWornDown,Dialog,Please take care of yourselfnot to be worn down by the summer heat.
08A,B6DABE,B6,Text_08A_Romance_ExcuseMeLoveKidsLove,Romance,....Excuse me: do you love kids? I love kids. Not really.<CHOICE_OR_WAIT>c
08B,B6DB56,B6,Text_08B_Romance_LoveKidsTooMyDream,Romance,I love kids too. My dream isto live with a lot of kids around me.
08C,B6DBDC,B6,Text_08C_Dialog_Oh,Dialog,...Oh.
08D,B6DBEA,B6,Text_08D_Dialog_PrettyColdTakeCareYourself,Dialog,It's pretty cold so please take care of yourself not tocatch a cold.
08E,B6DC76,B6,Text_08E_Church_HaveComeListenPriestC,Church,Oh:you have come to listen to the priest. Yes No<CHOICE_OR_WAIT>c
08F,B6DD0E,B6,Text_08F_Dialog_Devout,Dialog,You are devout.
090,B6DD2E,B6,Text_090_Animal_ThenPray,Animal,No? then:why are you here? Oh:to pray?
091,B6DD7E,B6,Text_091_Weather_WelcomeRainHaveaLotRain,Weather,It's a welcome rain. We havea lot of rain here in spring.
092,B6DDFE,B6,Text_092_Dialog_UumComeOvertoRanchSome,Dialog,Uum...well...can I come overto your ranch some day soon?
093,B6DE70,B6,Text_093_Dialog_LonelyLivingBigPlaceLittle,Dialog,Aren't you lonely living in that big place? A little lonely No:not at all<CHOICE_OR_WAIT>c
094,B6DF20,B6,Text_094_Dialog_UumIfNothingGGood,Dialog,Uum..well...yes: if...no: nothing....g-good-by.
095,B6DF84,B6,Text_095_Dialog_SeeSorryMeanAskAnything,Dialog,I..see...sorry:I didn't mean to ask you anything personal.
096,B6E008,B6,Text_096_Dialog_GoingMakeGreatToolsLike,Dialog,"I'm going to make great tools like my dad,"
097,B6E066,B6,Text_097_Sign_ItllShowcasedShopOneThese,Sign,It'll be showcased at the shop one of these days so please try it. Hum I don't want it<CHOICE_OR_WAIT>c
098,B6E150,B6,Text_098_Dialog_TrustMe,Dialog,Trust me.
099,B6E164,B6,Text_099_Dialog_TrustMe,Dialog,You don't trust me: do you?
09A,B6E19C,B6,Text_09A_Dialog_SeemsLittleDifferentPlanHad,Dialog,It seems a little different from the plan I had but...nobig deal.
09B,B6E220,B6,Text_09B_Romance_ActingLikeGirlAllBad,Romance,Aren't I acting like a girl? No:not at all Not that bad<CHOICE_OR_WAIT>c
09C,B6E2AE,B6,Text_09C_Dialog_Outspoken,Dialog,"How outspoken you are,"
09D,B6E2DC,B6,Text_09D_Romance_MyDadAlwaysTellsMe,Romance,My dad always tells me to act like a girl but I wonderexactly what acting like a girl means.
09E,B6E39A,B6,Text_09E_Dialog_KnowButFeelsGoodSpring,Dialog,"Well...I don't know why but...it feels good in spring. I go like ""OK:it's show time,"""
09F,B6E460,B6,Text_09F_Romance_LoveSummerThoughHot,Romance,I love summer though it's hot.
0A0,B6E4A2,B6,Text_0A0_Dialog_ConstantEffortImportantKnowSaysuccess,Dialog,well:constant effort is important:you know. They saysuccess comes from failure.
0A1,B6E54A,B6,Text_0A1_Animal_LooksColdOutsideTurnsWhite,Animal,It looks cold outside.It turns white when you breatheout:doesn't it?
0A2,B6E5DA,B6,Text_0A2_Dialog_HoHumBoringC,Dialog,Ho hum...it's boring: isn't it? Yes Not really<CHOICE_OR_WAIT>c
0A3,B6E678,B6,Text_0A3_Diary_HumSleepyHoHum,Diary,It is:hum? I'm so sleepy... ho hum...
0A4,B6E6C4,B6,Text_0A4_Dialog_GeeSerious,Dialog,Gee:you are so serious.
0A5,B6E6F4,B6,Text_0A5_Manual_FeelRelaxedOutsideHaventOutfor,Manual,Yes:I feel relaxed outside...I haven't been outfor a while.
0A6,B6E77E,B6,Text_0A6_Dialog_IdeaComesOutUnderThisheat,Dialog,"No idea comes out under thisheat,"
0A7,B6E7C2,B6,Text_0A7_Dialog_LetsBestShall,Dialog,Let's do our best:shall we?
0A8,B6E7FC,B6,Text_0A8_Weather_MountainCoveredWithsnowNow,Weather,The mountain is covered withsnow by now.
0A9,B6E84E,B6,Text_0A9_Weather_HateRainFeelsDepressingLike,Weather,I hate rain.It feels depressing.I like when it pours.
0AA,B6E8CC,B6,Text_0AA_Romance_MyDadTellsMeGet,Romance,...My dad tells me to get married so often.... He would be all by himself if I got married to someone... Doesn't he realize that?
0AB,B6EA14,B6,Text_0AB_Animal_LookAutomaticPuddingMakerPut,Animal,"Hello, Hey: look at this, This is the automatic pudding maker, I've put eggs and milk in here. Now all you have to dois turn it on.Do it, Push I don't want to do<CHOICE_OR_WAIT>c"
0AC,B6EB9E,B6,Text_0AC_Dialog_SmellsWonderful,Dialog,It smells wonderful:doesn't it?
0AD,B6EBDE,B6,Text_0AD_Dialog_SayMuchQuickerTomakePudding,Dialog,You say it's much quicker tomake pudding without the machine? Oh no...don' t you have a dream?
0AE,B6ECA2,B6,Text_0AE_Animal_LoveSpringAllFlowersStart,Animal,I love Spring when all the flowers start to bloom.
0AF,B6ED0A,B6,Text_0AF_Town_LikeFlowersC,Town,Hello. Do you like flowers? Yes Not really<CHOICE_OR_WAIT>c
0B0,B6ED94,B6,Text_0B0_Romance_YeahNinaLovesToo,Romance,"Yeah:Nina loves them too,"
0B1,B6EDC8,B6,Text_0B1_Dialog_Ugh,Dialog,ugh...
0B2,B6EDD6,B6,Text_0B2_Shipping_AutumnWinterOffSeasonUs,Shipping,Autumn to Winter is an off season for us because there's nothing to sell.
0B3,B6EE78,B6,Text_0B3_Romance_BelieveFlowerWhichBloomsWinter,Romance,Do you believe that there is a flower which blooms in Winter? Yes You're kidding?<CHOICE_OR_WAIT>c
0B4,B6EF5A,B6,Text_0B4_Dialog_MustBeautiful,Dialog,It must be beautiful.
0B5,B6EF86,B6,Text_0B5_Sign_LetMeTellCodeForthe,Sign,"Let me tell you the code forthe flower in our shop. It is ""I like you a lot,"""
0B6,B6F02A,B6,Text_0B6_Romance_GuessHappyIfGaveFlowerto,Romance,Hey:I guess she would be happy if you gave the flowerto the girl you like.
0B7,B6F0C6,B6,Text_0B7_Sign_MountainsSeasonBeautifulManyFruits,Sign,The mountains this season are beautiful. There are many fruits and nuts:too...
0B8,B6F16E,B6,Text_0B8_Dialog_DesertedWinterButExperienceJoysof,Dialog,It's deserted in Winter.But we can't experience the joysof Spring without Winter.
0B9,B6F212,B6,Text_0B9_Sign_HerbInnerPartCaveWorks,Sign,The herb in the inner part of the cave works well for fever and headache when you boil it.
0BA,B6F2CC,B6,Text_0BA_Sign_FlowerSoldShopRaise,Sign,The flower sold at the shop is what we raise here.
0BB,B6F332,B6,Text_0BB_Shipping_CollectingFallenLeavestoMakeManure,Shipping,I'm collecting fallen leavesto make manure for the flowers.
0BC,B6F3B4,B6,Text_0BC_Weather_PlantsAliveUnderSnowWonderful,Weather,Plants are alive under the snow.Isn't it wonderful? Wonderful So?<CHOICE_OR_WAIT>c
0BD,B6F462,B6,Text_0BD_Dialog_HumanAnimalsPlantsAllAlive,Dialog,Human:animals:and plants are all alive.
0BE,B6F4B8,B6,Text_0BE_Dialog_Great,Dialog,"So great,"
0BF,B6F4CC,B6,Text_0BF_Festival_KnowBusyWorkingButTry,Festival,I know you are busy working but please try to come to the festival.
0C0,B6F558,B6,Text_0C0_Weather_KindLikeRainyDaysLeaves,Weather,I kind of like rainy days. Leaves look happy when it rains.
0C1,B6F5D6,B6,Text_0C1_Animal_FlowersEdibleUsedMedicinalPurposes,Animal,Flowers can be edible and used for medicinal purposes as well as making us feel comfortable.But I don't pickthem when I don't need them. I believe they want to live too.
0C2,B6F72E,B6,Text_0C2_Dialog_HeardWasSecretGardenRanch,Dialog,"I heard there was the ""Secret Garden"" in the ranch. Is it so? I want to go see it. OK I don't want to go.<CHOICE_OR_WAIT>c"
0C3,B6F84E,B6,Text_0C3_Dialog_WowHardlyWait,Dialog,Wow:I can hardly wait.
0C4,B6F87C,B6,Text_0C4_Dialog_MeanForget,Dialog,"How mean, Forget it,"
0C5,B6F8CA,B6,Text_0C5_Dialog_AlwaysLookFine,Dialog,Hello:you always look fine.
0C6,B6F904,B6,Text_0C6_Dialog_HaveLittleBirdNameP,Dialog,I have a little bird. Her name is P-chan. She sings beautifully.
0C7,B6F98E,B6,Text_0C7_Romance_LikeSweetsLoveC,Romance,Hey:do you like sweets? I love them Not really<CHOICE_OR_WAIT>c
0C8,B6FA10,B6,Text_0C8_Dialog_GoodMakingSweetsHopeCook,Sign,Really? I'm good at making sweets.I hope I can cook you something someday.
0C9,B6FAAE,B6,Text_0C9_Dialog_Sorry,Dialog,I'm sorry.
0CA,B6FAC4,B6,Text_0CA_Romance_StillnessWinterMakesMeCalm,Romance,The stillness of Winter makes me calm down so I love it.
0CB,B6FB4A,B6,Text_0CB_Romance_LikeAnimalsLoveLikeC,Romance,Hey:do you like animals? I love them I don't like them<CHOICE_OR_WAIT>c
0CC,B6FBDC,B6,Text_0CC_Romance_LoveAnimalsToo,Romance,Yes? I love animals too.
0CD,B6FC0E,B6,Text_0CD_Town_LyingAnimalsTakePeopleWho,Town,You are lying. animals dont take to people who don't like them.
0CE,B6FC94,B6,Text_0CE_Animal_EiBarkWildDogswhenCome,Animal,<CTRL_FFFD>ei would bark at wild dogswhen they come here. Check if the fence is broken.
0CF,B6FD32,B6,Text_0CF_Dialog_HardLookAfterAnimalsAlways,Dialog,It's hard to look after animals.We always must be careful so they dont get sick.... I feel just like a mother who is taking care of her children.
0D0,B6FE84,B6,Text_0D0_Romance_AlwaysRunningAroundLookFine,Romance,You are always running around:aren't you? You look fine even if it's cold outside.
0D1,B6FF34,B6,Text_0D1_Dialog_HopeMyDadStaysHealthy,Dialog,I hope my dad stays healthy at all times.
