index_hex,bank,snes_addr,label,category,max_words,old_bytes,edited_words,edited_bytes,delta_words,delta_bytes,status,repoint_label,suggested_pointer_line,note
035,B6,B6A03E,Text_035_Dialog_HowsGoingWorkTooHard,Dialog,72,144,136,272,64,128,REPOINT_NEEDED,Text_Repoint_035_035_Dialog_HowsGoingWorkTooHard,        dl Text_Repoint_035_035_Dialog_HowsGoingWorkTooHard ; replaces $035 Text_035_Dialog_HowsGoingWorkTooHard,Too long for original block; needs pointer redirection and reviewed free/expanded space.
036,B6,B6A0CE,Text_036_Animal_AskFloristFlowersAskLivestock,Animal,125,250,,,,,UNCHANGED,,,
037,B6,B6A1C8,Text_037_Church_HangAroundListenPriest,Church,50,100,,,,,UNCHANGED,,,
038,B6,B6A22C,Text_038_Dialog_OffTodayKeepUpAll,Dialog,74,148,,,,,UNCHANGED,,,
039,B6,B6A2C0,Text_039_Weather_PeopleTownTalkDifferentlyAccording,Weather,82,164,,,,,UNCHANGED,,,
03A,B6,B6A364,Text_03A_Animal_EverybodyHasDifferentIdeasHappiness,Animal,204,408,,,,,UNCHANGED,,,
03B,B6,B6A4FC,Text_03B_Sign_WorkingHardHaveChatFriends,Sign,132,264,,,,,UNCHANGED,,,
03C,B6,B6A604,Text_03C_Church_ChurchDedicatedGodCropsSuggest,Church,87,174,,,,,UNCHANGED,,,
03D,B6,B6A6B2,Text_03D_Dialog_LikeTakingMyTimeReading,Dialog,75,150,,,,,UNCHANGED,,,
03E,B6,B6A748,Text_03E_Sign_HaveHeardWaterImpSomeone,Sign,82,164,,,,,UNCHANGED,,,
03F,B6,B6A7EC,Text_03F_Dialog_ThinkBadThingsIfDiscovered,Dialog,215,430,,,,,UNCHANGED,,,
040,B6,B6A99A,Text_040_Romance_WonderIfDaughterAnncanGet,Romance,62,124,,,,,UNCHANGED,,,
041,B6,B6AA16,Text_041_Animal_HowsWorkGoingSomeWild,Animal,85,170,,,,,UNCHANGED,,,
042,B6,B6AAC0,Text_042_Church_BelieveGodExistsBelieve,Church,55,110,,,,,UNCHANGED,,,
043,B6,B6AB2E,Text_043_Dialog_StrangeAlwaysNowNothingAll,Dialog,97,194,,,,,UNCHANGED,,,
044,B6,B6ABF0,Text_044_Dialog_TakingWalkTooImportantGet,Dialog,151,302,,,,,UNCHANGED,,,
045,B6,B6AD1E,Text_045_Romance_HelpMyselfWorryingAboutAnn,Romance,180,360,,,,,UNCHANGED,,,
046,B6,B6AE86,Text_046_Shop_AlwaysLookFineBagSeed,Shop,99,198,,,,,UNCHANGED,,,
047,B6,B6AF4C,Text_047_Dialog_GrassGrowsAutumnYoudontHave,Dialog,71,142,,,,,UNCHANGED,,,
048,B6,B6AFDA,Text_048_Romance_MayEveryoneGiveKindnessEveryone,Romance,49,98,,,,,UNCHANGED,,,
049,B6,B6B03C,Text_049_Dialog_Entry,Dialog,5,10,,,,,UNCHANGED,,,
04A,B6,B6B046,Text_04A_Sign_ShopClosedSaturdaysBathingInthe,Sign,75,150,,,,,UNCHANGED,,,
04B,B6,B6B0DC,Text_04B_Weather_KindDarkRainyDaysFeels,Weather,129,258,,,,,UNCHANGED,,,
04C,B6,B6B1DE,Text_04C_Dialog_CoincidenceHavingMealToday,Dialog,54,108,,,,,UNCHANGED,,,
04D,B6,B6B24A,Text_04D_Dialog_EasyWorkSteadilyButWorthwhile,Dialog,68,136,,,,,UNCHANGED,,,
04E,B6,B6B2D2,Text_04E_Church_HopeBusinessBetterBetterGod,Church,107,214,,,,,UNCHANGED,,,
04F,B6,B6B3A8,Text_04F_Diary_GoodBatheSunEatWork,Diary,100,200,,,,,UNCHANGED,,,
050,B6,B6B470,Text_050_Animal_EatSomethingTiredCakesBest,Animal,81,162,,,,,UNCHANGED,,,
051,B6,B6B512,Text_051_Dialog_HowdyYoungBoysWhatsUp,Dialog,37,74,,,,,UNCHANGED,,,
052,B6,B6B55C,Text_052_Animal_HicWorkingLikeDogOnly,Animal,57,114,,,,,UNCHANGED,,,
053,B6,B6B5CE,Text_053_Dialog_MyRoutineTakeWalkSundays,Dialog,65,130,,,,,UNCHANGED,,,
054,B6,B6B650,Text_054_Weather_StartedRainingNowGeeWas,Weather,107,214,,,,,UNCHANGED,,,
055,B6,B6B726,Text_055_Weather_SayingMatterIfRainsWork,Weather,83,166,,,,,UNCHANGED,,,
056,B6,B6B7CC,Text_056_Dialog_UlpSooooGreatShesOut,Dialog,77,154,,,,,UNCHANGED,,,
057,B6,B6B866,Text_057_Church_CalmInsideChurchManyPeople,Church,102,204,,,,,UNCHANGED,,,
058,B6,B6B932,Text_058_Animal_FeltTimeWentSlowlyWas,Animal,131,262,,,,,UNCHANGED,,,
059,B6,B6BA38,Text_059_Animal_HaveSympathyPeopleKindPeople,Animal,136,272,,,,,UNCHANGED,,,
05A,B6,B6BB48,Text_05A_Dialog_NecessarilyRightWrongDailyIncidents,Dialog,92,184,,,,,UNCHANGED,,,
05B,B6,B6BC00,Text_05B_Weather_KnowConsumeYourstaminaRainyDay,Weather,83,166,,,,,UNCHANGED,,,
05C,B6,B6BCA6,Text_05C_Animal_ToughTakeCareCowsTake,Animal,163,326,,,,,UNCHANGED,,,
05D,B6,B6BDEC,Text_05D_Animal_HensLayEggsPutCage,Animal,146,292,,,,,UNCHANGED,,,
05E,B6,B6BF10,Text_05E_Weather_YoungBoyPutLivestockInside,Weather,87,174,,,,,UNCHANGED,,,
05F,B6,B6BFBE,Text_05F_Animal_KnowCowsGiveMoreMilk,Animal,177,354,,,,,UNCHANGED,,,
060,B6,B6C120,Text_060_Dialog_RedoLifeMightHaveSecond,Dialog,93,186,,,,,UNCHANGED,,,
061,B6,B6C1DA,Text_061_Church_AskingIfGotoChurchGod,Church,116,232,,,,,UNCHANGED,,,
062,B6,B6C2C2,Text_062_Romance_TheresUsefulBookOverAbout,Romance,75,150,,,,,UNCHANGED,,,
063,B6,B6C358,Text_063_Sign_AlsoMidwifeKnowMayorsDaughter,Sign,127,254,,,,,UNCHANGED,,,
064,B6,B6C456,Text_064_Dialog_GrownUpsAlwaysMakeRule,Dialog,125,250,,,,,UNCHANGED,,,
065,B6,B6C550,Text_065_Romance_HmmmLoveMariasSisterCantbe,Romance,60,120,,,,,UNCHANGED,,,
066,B6,B6C5C8,Text_066_Sign_GatherManyThingsIntheMountain,Sign,127,254,,,,,UNCHANGED,,,
067,B6,B6C6C6,Text_067_Dialog_GotDate,Dialog,45,90,,,,,UNCHANGED,,,
068,B6,B6C720,Text_068_Romance_YoudBetterReadBookWritten,Romance,127,254,,,,,UNCHANGED,,,
069,B6,B6C81E,Text_069_Dialog_YeahWelcomeMakeYourselfatHome,Dialog,37,74,,,,,UNCHANGED,,,
06A,B6,B6C868,Text_06A_Shop_ThingsGirlsLikeFlowersSweets,Shop,101,202,,,,,UNCHANGED,,,
06B,B6,B6C932,Text_06B_Romance_LoveMariaWishMyBride,Romance,64,128,,,,,UNCHANGED,,,
06C,B6,B6C9B2,Text_06C_Church_AlwaysPrayGrownUpVery,Church,53,106,,,,,UNCHANGED,,,
06D,B6,B6CA1C,Text_06D_Dialog_DateDateWalkAll,Dialog,61,122,,,,,UNCHANGED,,,
06E,B6,B6CA96,Text_06E_Shipping_PutCropsShippingBoxCollect,Shipping,70,140,,,,,UNCHANGED,,,
06F,B6,B6CB22,Text_06F_Animal_UseToolLoseStaminaBut,Animal,86,172,,,,,UNCHANGED,,,
070,B6,B6CBCE,Text_070_Dialog_DrinkAfterWorkBest,Dialog,38,76,,,,,UNCHANGED,,,
071,B6,B6CC1A,Text_071_Shipping_ThingsShipFlowersAnimalsPerishables,Shipping,117,234,,,,,UNCHANGED,,,
072,B6,B6CD04,Text_072_Shipping_EvenIfPutShippingGoods,Shipping,102,204,,,,,UNCHANGED,,,
073,B6,B6CDD0,Text_073_Shipping_CollectShippingGoodsEvenShed,Shipping,69,138,,,,,UNCHANGED,,,
074,B6,B6CE5A,Text_074_Weather_ShallWatchWeatherForecastYoud,Weather,120,240,,,,,UNCHANGED,,,
075,B6,B6CF4A,Text_075_Church_MuchEasierLiveIfWas,Church,78,156,,,,,UNCHANGED,,,
076,B6,B6CFE6,Text_076_Diary_AnythingHappenLivesCaseYoud,Diary,75,150,,,,,UNCHANGED,,,
077,B6,B6D07C,Text_077_Romance_KnowMoneyImportantButMost,Romance,100,200,,,,,UNCHANGED,,,
078,B6,B6D144,Text_078_Shipping_WanderingPeddlerButOftenSell,Shipping,155,310,,,,,UNCHANGED,,,
079,B6,B6D27A,Text_079_Weather_FencesEasyBreakAfterRain,Weather,111,222,,,,,UNCHANGED,,,
07A,B6,B6D358,Text_07A_Sign_LiveMountainsHuntingAnimalsEve,Sign,123,246,,,,,UNCHANGED,,,
07B,B6,B6D44E,Text_07B_Mountain_HaveHeardPowerBerryEat,Mountain,85,170,,,,,UNCHANGED,,,
07C,B6,B6D4F8,Text_07C_Weather_RainsMustKeepoffTopMountain,Weather,81,162,,,,,UNCHANGED,,,
07D,B6,B6D59A,Text_07D_Mountain_SomeMushroomsPoisonousCareful,Mountain,53,106,,,,,UNCHANGED,,,
07E,B6,B6D604,Text_07E_Mountain_WantFishC,Mountain,58,116,,,,,UNCHANGED,,,
07F,B6,B6D678,Text_07F_Manual_UseMyFishingRodUse,Manual,47,94,,,,,UNCHANGED,,,
080,B6,B6D6D6,Text_080_Shipping_PrettyGoodTastesGoodSells,Shipping,68,136,,,,,UNCHANGED,,,
081,B6,B6D75E,Text_081_Dialog_VisitUsAgain,Dialog,16,32,,,,,UNCHANGED,,,
082,B6,B6D77E,Text_082_Dialog_FineDayToday,Dialog,29,58,,,,,UNCHANGED,,,
083,B6,B6D7B8,Text_083_Romance_HotEveryDayButDoing,Romance,47,94,,,,,UNCHANGED,,,
084,B6,B6D816,Text_084_Romance_SomehowLoveAutumnScenery,Romance,37,74,,,,,UNCHANGED,,,
085,B6,B6D860,Text_085_Dialog_HopeItllSpringSoon,Dialog,27,54,,,,,UNCHANGED,,,
086,B6,B6D896,Text_086_Church_BelieveGodC,Church,56,112,,,,,UNCHANGED,,,
087,B6,B6D906,Text_087_Church_UnusualTheseDaysComeChurch,Church,74,148,,,,,UNCHANGED,,,
088,B6,B6D99A,Text_088_Church_WhetherGodExistsMoreBelief,Church,77,154,,,,,UNCHANGED,,,
089,B6,B6DA34,Text_089_Dialog_TakeCareYourselfnotWornDown,Dialog,69,138,,,,,UNCHANGED,,,
08A,B6,B6DABE,Text_08A_Romance_ExcuseMeLoveKidsLove,Romance,76,152,,,,,UNCHANGED,,,
08B,B6,B6DB56,Text_08B_Romance_LoveKidsTooMyDream,Romance,67,134,,,,,UNCHANGED,,,
08C,B6,B6DBDC,Text_08C_Dialog_Oh,Dialog,7,14,,,,,UNCHANGED,,,
08D,B6,B6DBEA,Text_08D_Dialog_PrettyColdTakeCareYourself,Dialog,70,140,,,,,UNCHANGED,,,
08E,B6,B6DC76,Text_08E_Church_HaveComeListenPriestC,Church,76,152,,,,,UNCHANGED,,,
08F,B6,B6DD0E,Text_08F_Dialog_Devout,Dialog,16,32,,,,,UNCHANGED,,,
090,B6,B6DD2E,Text_090_Animal_ThenPray,Animal,40,80,,,,,UNCHANGED,,,
091,B6,B6DD7E,Text_091_Weather_WelcomeRainHaveaLotRain,Weather,64,128,,,,,UNCHANGED,,,
092,B6,B6DDFE,Text_092_Dialog_UumComeOvertoRanchSome,Dialog,57,114,,,,,UNCHANGED,,,
093,B6,B6DE70,Text_093_Dialog_LonelyLivingBigPlaceLittle,Dialog,88,176,,,,,UNCHANGED,,,
094,B6,B6DF20,Text_094_Dialog_UumIfNothingGGood,Dialog,50,100,,,,,UNCHANGED,,,
095,B6,B6DF84,Text_095_Dialog_SeeSorryMeanAskAnything,Dialog,66,132,,,,,UNCHANGED,,,
096,B6,B6E008,Text_096_Dialog_GoingMakeGreatToolsLike,Dialog,47,94,,,,,UNCHANGED,,,
097,B6,B6E066,Text_097_Sign_ItllShowcasedShopOneThese,Sign,117,234,,,,,UNCHANGED,,,
098,B6,B6E150,Text_098_Dialog_TrustMe,Dialog,10,20,,,,,UNCHANGED,,,
099,B6,B6E164,Text_099_Dialog_TrustMe,Dialog,28,56,,,,,UNCHANGED,,,
09A,B6,B6E19C,Text_09A_Dialog_SeemsLittleDifferentPlanHad,Dialog,66,132,,,,,UNCHANGED,,,
09B,B6,B6E220,Text_09B_Romance_ActingLikeGirlAllBad,Romance,71,142,,,,,UNCHANGED,,,
09C,B6,B6E2AE,Text_09C_Dialog_Outspoken,Dialog,23,46,,,,,UNCHANGED,,,
09D,B6,B6E2DC,Text_09D_Romance_MyDadAlwaysTellsMe,Romance,95,190,,,,,UNCHANGED,,,
09E,B6,B6E39A,Text_09E_Dialog_KnowButFeelsGoodSpring,Dialog,99,198,,,,,UNCHANGED,,,
09F,B6,B6E460,Text_09F_Romance_LoveSummerThoughHot,Romance,33,66,,,,,UNCHANGED,,,
0A0,B6,B6E4A2,Text_0A0_Dialog_ConstantEffortImportantKnowSaysuccess,Dialog,84,168,,,,,UNCHANGED,,,
0A1,B6,B6E54A,Text_0A1_Animal_LooksColdOutsideTurnsWhite,Animal,72,144,,,,,UNCHANGED,,,
0A2,B6,B6E5DA,Text_0A2_Dialog_HoHumBoringC,Dialog,79,158,,,,,UNCHANGED,,,
0A3,B6,B6E678,Text_0A3_Diary_HumSleepyHoHum,Diary,38,76,,,,,UNCHANGED,,,
0A4,B6,B6E6C4,Text_0A4_Dialog_GeeSerious,Dialog,24,48,,,,,UNCHANGED,,,
0A5,B6,B6E6F4,Text_0A5_Manual_FeelRelaxedOutsideHaventOutfor,Manual,69,138,,,,,UNCHANGED,,,
0A6,B6,B6E77E,Text_0A6_Dialog_IdeaComesOutUnderThisheat,Dialog,34,68,,,,,UNCHANGED,,,
0A7,B6,B6E7C2,Text_0A7_Dialog_LetsBestShall,Dialog,29,58,,,,,UNCHANGED,,,
0A8,B6,B6E7FC,Text_0A8_Weather_MountainCoveredWithsnowNow,Weather,41,82,,,,,UNCHANGED,,,
0A9,B6,B6E84E,Text_0A9_Weather_HateRainFeelsDepressingLike,Weather,63,126,,,,,UNCHANGED,,,
0AA,B6,B6E8CC,Text_0AA_Romance_MyDadTellsMeGet,Romance,164,328,,,,,UNCHANGED,,,
0AB,B6,B6EA14,Text_0AB_Animal_LookAutomaticPuddingMakerPut,Animal,197,394,,,,,UNCHANGED,,,
0AC,B6,B6EB9E,Text_0AC_Dialog_SmellsWonderful,Dialog,32,64,,,,,UNCHANGED,,,
0AD,B6,B6EBDE,Text_0AD_Dialog_SayMuchQuickerTomakePudding,Dialog,98,196,,,,,UNCHANGED,,,
0AE,B6,B6ECA2,Text_0AE_Animal_LoveSpringAllFlowersStart,Animal,52,104,,,,,UNCHANGED,,,
0AF,B6,B6ED0A,Text_0AF_Town_LikeFlowersC,Town,69,138,,,,,UNCHANGED,,,
0B0,B6,B6ED94,Text_0B0_Romance_YeahNinaLovesToo,Romance,26,52,,,,,UNCHANGED,,,
0B1,B6,B6EDC8,Text_0B1_Dialog_Ugh,Dialog,7,14,,,,,UNCHANGED,,,
0B2,B6,B6EDD6,Text_0B2_Shipping_AutumnWinterOffSeasonUs,Shipping,81,162,,,,,UNCHANGED,,,
0B3,B6,B6EE78,Text_0B3_Romance_BelieveFlowerWhichBloomsWinter,Romance,113,226,,,,,UNCHANGED,,,
0B4,B6,B6EF5A,Text_0B4_Dialog_MustBeautiful,Dialog,22,44,,,,,UNCHANGED,,,
0B5,B6,B6EF86,Text_0B5_Sign_LetMeTellCodeForthe,Sign,82,164,,,,,UNCHANGED,,,
0B6,B6,B6F02A,Text_0B6_Romance_GuessHappyIfGaveFlowerto,Romance,78,156,,,,,UNCHANGED,,,
0B7,B6,B6F0C6,Text_0B7_Sign_MountainsSeasonBeautifulManyFruits,Sign,84,168,,,,,UNCHANGED,,,
0B8,B6,B6F16E,Text_0B8_Dialog_DesertedWinterButExperienceJoysof,Dialog,82,164,,,,,UNCHANGED,,,
0B9,B6,B6F212,Text_0B9_Sign_HerbInnerPartCaveWorks,Sign,93,186,,,,,UNCHANGED,,,
0BA,B6,B6F2CC,Text_0BA_Sign_FlowerSoldShopRaise,Sign,51,102,,,,,UNCHANGED,,,
0BB,B6,B6F332,Text_0BB_Shipping_CollectingFallenLeavestoMakeManure,Shipping,65,130,,,,,UNCHANGED,,,
0BC,B6,B6F3B4,Text_0BC_Weather_PlantsAliveUnderSnowWonderful,Weather,87,174,,,,,UNCHANGED,,,
0BD,B6,B6F462,Text_0BD_Dialog_HumanAnimalsPlantsAllAlive,Dialog,43,86,,,,,UNCHANGED,,,
0BE,B6,B6F4B8,Text_0BE_Dialog_Great,Dialog,10,20,,,,,UNCHANGED,,,
0BF,B6,B6F4CC,Text_0BF_Festival_KnowBusyWorkingButTry,Festival,70,140,,,,,UNCHANGED,,,
0C0,B6,B6F558,Text_0C0_Weather_KindLikeRainyDaysLeaves,Weather,63,126,,,,,UNCHANGED,,,
0C1,B6,B6F5D6,Text_0C1_Animal_FlowersEdibleUsedMedicinalPurposes,Animal,172,344,,,,,UNCHANGED,,,
0C2,B6,B6F72E,Text_0C2_Dialog_HeardWasSecretGardenRanch,Dialog,144,288,,,,,UNCHANGED,,,
0C3,B6,B6F84E,Text_0C3_Dialog_WowHardlyWait,Dialog,23,46,,,,,UNCHANGED,,,
0C4,B6,B6F87C,Text_0C4_Dialog_MeanForget,Dialog,39,78,,,,,UNCHANGED,,,
0C5,B6,B6F8CA,Text_0C5_Dialog_AlwaysLookFine,Dialog,29,58,,,,,UNCHANGED,,,
0C6,B6,B6F904,Text_0C6_Dialog_HaveLittleBirdNameP,Dialog,69,138,,,,,UNCHANGED,,,
0C7,B6,B6F98E,Text_0C7_Romance_LikeSweetsLoveC,Romance,65,130,,,,,UNCHANGED,,,
0C8,B6,B6FA10,Text_0C8_Dialog_GoodMakingSweetsHopeCook,Dialog,79,158,,,,,UNCHANGED,,,
0C9,B6,B6FAAE,Text_0C9_Dialog_Sorry,Dialog,11,22,,,,,UNCHANGED,,,
0CA,B6,B6FAC4,Text_0CA_Romance_StillnessWinterMakesMeCalm,Romance,67,134,,,,,UNCHANGED,,,
0CB,B6,B6FB4A,Text_0CB_Romance_LikeAnimalsLoveLikeC,Romance,73,146,,,,,UNCHANGED,,,
0CC,B6,B6FBDC,Text_0CC_Romance_LoveAnimalsToo,Romance,25,50,,,,,UNCHANGED,,,
0CD,B6,B6FC0E,Text_0CD_Town_LyingAnimalsTakePeopleWho,Town,67,134,,,,,UNCHANGED,,,
0CE,B6,B6FC94,Text_0CE_Animal_EiBarkWildDogswhenCome,Animal,79,158,,,,,UNCHANGED,,,
0CF,B6,B6FD32,Text_0CF_Dialog_HardLookAfterAnimalsAlways,Dialog,169,338,,,,,UNCHANGED,,,
0D0,B6,B6FE84,Text_0D0_Romance_AlwaysRunningAroundLookFine,Romance,88,176,,,,,UNCHANGED,,,
0D1,B6,B6FF34,Text_0D1_Dialog_HopeMyDadStaysHealthy,Dialog,102,204,,,,,UNCHANGED,,,
0D2,B7,B78000,Text_0D2_Dialog_MyUncleLikedMakeFriends,Dialog,87,174,,,,,UNCHANGED,,,
0D3,B7,B780AE,Text_0D3_Dialog_GladExcuseHimBeingMeddlesome,Dialog,107,214,,,,,UNCHANGED,,,
0D4,B7,B78184,Text_0D4_Dialog_HesStrictButBasicallyGood,Dialog,41,82,,,,,UNCHANGED,,,
0D5,B7,B781D6,Text_0D5_Dialog_TooSoakedMightCatchCold,Dialog,86,172,,,,,UNCHANGED,,,
0D6,B7,B78282,Text_0D6_Dialog_ComeDadLetsGoHomenow,Dialog,33,66,,,,,UNCHANGED,,,
0D7,B7,B782C4,Text_0D7_Dialog_OtherwiseMomGetMad,Dialog,47,94,,,,,UNCHANGED,,,
0D8,B7,B78322,Text_0D8_Animal_TasteMyNewCakeBaked,Animal,45,90,,,,,UNCHANGED,,,
0D9,B7,B7837C,Text_0D9_Dialog_BakedNewCakeHaveBite,Dialog,83,166,,,,,UNCHANGED,,,
0DA,B7,B78422,Text_0DA_Sign_GoodCheesecakeThinkGoodEnough,Sign,94,188,,,,,UNCHANGED,,,
0DB,B7,B784DE,Text_0DB_Romance_LookPrettyBusyHopeEverythings,Romance,66,132,,,,,UNCHANGED,,,
0DC,B7,B78562,Text_0DC_Dialog_CoincidenceMeetC,Dialog,76,152,,,,,UNCHANGED,,,
0DD,B7,B785FA,Text_0DD_Dialog_TeeHee,Dialog,11,22,,,,,UNCHANGED,,,
0DE,B7,B78610,Text_0DE_Shop_WowCoincidenceWereWaitingMe,Shop,105,210,,,,,UNCHANGED,,,
0DF,B7,B786E2,Text_0DF_Sign_CameShopSorryButToo,Sign,76,152,,,,,UNCHANGED,,,
0E0,B7,B7877A,Text_0E0_Weather_CameRainGlad,Weather,41,82,,,,,UNCHANGED,,,
0E1,B7,B787CC,Text_0E1_Dialog_GrandPaStrict,Dialog,25,50,,,,,UNCHANGED,,,
0E2,B7,B787FE,Text_0E2_Dialog_PrettyDaringShallWashBack,Dialog,106,212,,,,,UNCHANGED,,,
0E3,B7,B788D2,Text_0E3_Dialog_Kidding,Dialog,23,46,,,,,UNCHANGED,,,
0E4,B7,B78900,Text_0E4_Dialog_HeeHee,Dialog,24,48,,,,,UNCHANGED,,,
0E5,B7,B78930,Text_0E5_Dialog_LookFineToday,Dialog,25,50,,,,,UNCHANGED,,,
0E6,B7,B78962,Text_0E6_Dialog_MyHomeMadeFruitJuice,Dialog,94,188,,,,,UNCHANGED,,,
0E7,B7,B78A1E,Text_0E7_Dialog_TeeHeeKissIfDrink,Dialog,47,94,,,,,UNCHANGED,,,
0E8,B7,B78A7C,Text_0E8_Shop_BarAhaWantSeeMe,Shop,64,128,,,,,UNCHANGED,,,
0E9,B7,B78AFC,Text_0E9_Dialog_GetCoolNight,Dialog,35,70,,,,,UNCHANGED,,,
0EA,B7,B78B42,Text_0EA_Dialog_ThanksLotToday,Dialog,24,48,,,,,UNCHANGED,,,
0EB,B7,B78B72,Text_0EB_Dialog_LikeAlone,Dialog,26,52,,,,,UNCHANGED,,,
0EC,B7,B78BA6,Text_0EC_Sign_SometimesGoMountainsGatherSome,Sign,65,130,,,,,UNCHANGED,,,
