address,label,colors_count,delays,installer_refs,jump_target,self_loop,colors
$80:E2B5,PaletteAnimScript_E2B5,2,$08,1,$E2B5,yes,$0088 $008C
$80:E2C0,PaletteAnimScript_E2C0,2,$08,1,$E2C0,yes,$009D $029F
$80:E2CB,PaletteAnimScript_E2CB,2,$08,1,$E2CB,yes,$021F $011F
$80:E2D6,PaletteAnimScript_E2D6,2,$08,1,$E2D6,yes,$0090 $009C
$80:E2E1,PaletteAnimScript_E2E1,2,$08,1,$E2E1,yes,$01DE $02BF
$80:E2EC,PaletteAnimScript_E2EC,2,$08,1,$E2EC,yes,$004F $00D0
$80:E2F7,PaletteAnimScript_E2F7,3,$10,1,$E2F7,yes,$5E0F $4A54 $7F17
$80:E305,PaletteAnimScript_E305,3,$10,1,$E305,yes,$4A54 $7F17 $5E0F
$80:E313,PaletteAnimScript_E313,3,$10,1,$E313,yes,$7F17 $5E0F $4A54
$80:E321,PaletteAnimScript_E321,3,$10,1,$E321,yes,$4213 $4257 $56FC
$80:E32F,PaletteAnimScript_E32F,3,$10,1,$E32F,yes,$4257 $56FC $4213
$80:E33D,PaletteAnimScript_E33D,3,$10,1,$E33D,yes,$56FC $4213 $4257
$80:E34B,PaletteAnimScript_E34B,3,$10,1,$E34B,yes,$3D4A $3D4A $458C
$80:E359,PaletteAnimScript_E359,3,$10,1,$E359,yes,$3D4A $458C $3D4A
$80:E367,PaletteAnimScript_E367,3,$10,1,$E367,yes,$458C $3D4A $3D4A
$80:E375,PaletteAnimScript_E375,3,$10,1,$E375,yes,$3129 $2908 $316B
$80:E383,PaletteAnimScript_E383,3,$10,1,$E383,yes,$2908 $316B $3129
$80:E391,PaletteAnimScript_E391,3,$10,1,$E391,yes,$316B $3129 $2908
$80:E39F,PaletteAnimScript_E39F,3,$10,1,$E39F,yes,$6250 $7271 $7F79
$80:E3AD,PaletteAnimScript_E3AD,3,$10,1,$E3AD,yes,$7271 $7F79 $6250
$80:E3BB,PaletteAnimScript_E3BB,3,$10,1,$E3BB,yes,$7F79 $6250 $7271
$80:E3C9,PaletteAnimScript_E3C9,3,$10,1,$E3C9,yes,$5E78 $5654 $7F19
$80:E3D7,PaletteAnimScript_E3D7,3,$10,1,$E3D7,yes,$5654 $7F19 $5E78
$80:E3E5,PaletteAnimScript_E3E5,3,$10,1,$E3E5,yes,$7F19 $5E78 $5654
$80:E3F3,PaletteAnimScript_E3F3,3,$10,1,$E3F3,yes,$3D4A $3D4A $458C
$80:E401,PaletteAnimScript_E401,3,$10,1,$E401,yes,$3D4A $458C $3D4A
$80:E40F,PaletteAnimScript_E40F,3,$10,1,$E40F,yes,$458C $3D4A $3D4A
$80:E41D,PaletteAnimScript_E41D,3,$10,1,$E41D,yes,$30E7 $30E7 $3529
$80:E42B,PaletteAnimScript_E42B,3,$10,1,$E42B,yes,$30E7 $3529 $30E7
$80:E439,PaletteAnimScript_E439,3,$10,1,$E439,yes,$3529 $30E7 $30E7
$80:E447,PaletteAnimScript_E447,3,$10,1,$E447,yes,$4A91 $62CE $6374
$80:E455,PaletteAnimScript_E455,3,$10,1,$E455,yes,$62CE $6374 $4A91
$80:E463,PaletteAnimScript_E463,3,$10,1,$E463,yes,$6374 $4A91 $62CE
$80:E471,PaletteAnimScript_E471,3,$10,1,$E471,yes,$3694 $3254 $3AFC
$80:E47F,PaletteAnimScript_E47F,3,$10,1,$E47F,yes,$3254 $3AFC $3694
$80:E48D,PaletteAnimScript_E48D,3,$10,1,$E48D,yes,$3AEC $3694 $3254
$80:E49B,PaletteAnimScript_E49B,3,$10,1,$E49B,yes,$2DCB $2DCB $360E
$80:E4A9,PaletteAnimScript_E4A9,3,$10,1,$E4A9,yes,$2DCB $360E $2DCB
$80:E4B7,PaletteAnimScript_E4B7,3,$10,1,$E4B7,yes,$360E $2DCB $2DCB
$80:E4C5,PaletteAnimScript_E4C5,3,$10,1,$E4C5,yes,$30E7 $3127 $356A
$80:E4D3,PaletteAnimScript_E4D3,3,$10,1,$E4D3,yes,$3127 $356A $30E7
$80:E4E1,PaletteAnimScript_E4E1,3,$10,1,$E4E1,yes,$356A $30E7 $3127
$80:E4EF,PaletteAnimScript_E4EF,4,$0A $10,1,$E4EF,yes,$2162 $2190 $25D2 $2190
$80:E500,PaletteAnimScript_E500,4,$0A $10,1,$E500,yes,$0E58 $129A $16DC $129A
$80:E511,PaletteAnimScript_E511,4,$0A $10,1,$E511,yes,$377D $479F $53DF $479F
$80:E522,PaletteAnimScript_E522,4,$0A $10,1,$E522,yes,$092C $116F $11B1 $116F
$80:E533,PaletteAnimScript_E533,4,$0A $10,1,$E533,yes,$0D8E $0DB1 $0DB4 $0DB1
$80:E544,PaletteAnimScript_E544,4,$0A $10,1,$E544,yes,$36D7 $3719 $377F $3719
$80:E555,PaletteAnimScript_E555,4,$0A $10,1,$E555,yes,$27DE $3FFF $53FF $3FFF
$80:E566,PaletteAnimScript_E566,4,$0A $10,1,$E566,yes,$196E $1970 $1992 $1970
$80:E577,PaletteAnimScript_E577,4,$0A $10,1,$E577,yes,$150A $1D4F $1D90 $1D4F
$80:E588,PaletteAnimScript_E588,4,$0A $10,1,$E588,yes,$0A18 $0A1C $0A9F $0A1C
$80:E599,PaletteAnimScript_E599,4,$0A $10,1,$E599,yes,$2F7C $2FBE $4BDF $2FBE
$80:E5AA,PaletteAnimScript_E5AA,4,$0A $10,1,$E5AA,yes,$090C $116E $1190 $116E
$80:E5BB,PaletteAnimScript_E5BB,4,$0A $10,1,$E5BB,yes,$1CE8 $210A $216F $210A
$80:E5CC,PaletteAnimScript_E5CC,4,$0A $10,1,$E5CC,yes,$29F3 $2A19 $327B $2A19
$80:E5DD,PaletteAnimScript_E5DD,4,$0A $10,1,$E5DD,yes,$3EB8 $3F3D $437F $3F3D
$80:E5EE,PaletteAnimScript_E5EE,4,$0A $10,1,$E5EE,yes,$1D6C $218E $25AF $218E
$80:E5FF,PaletteAnimScript_E5FF,6,$0C $0F $10,1,$E5FF,yes,$7F3B $6EB5 $5E2E $51F0 $5233 $6EB7
$80:E616,PaletteAnimScript_E616,6,$0C $0F $10,1,$E616,yes,$6EB7 $5E2E $51F0 $7F39 $51F0 $5233
$80:E62D,PaletteAnimScript_E62D,6,$0C $0F $10,1,$E62D,yes,$5E2E $51F0 $7F3B $6EB7 $7F39 $4DD1
$80:E644,PaletteAnimScript_E644,6,$0C $0F $10,1,$E644,yes,$51F0 $7F39 $6EB7 $5E2E $6EB7 $7F39
$80:E65B,PaletteAnimScript_E65B,6,$0C $0F $10,1,$E65B,yes,$41F0 $3DF1 $4211 $41F1 $4211 $3DF1
$80:E672,PaletteAnimScript_E672,6,$0C $0F $10,1,$E672,yes,$537B $42BB $3234 $3233 $3234 $42BB
$80:E689,PaletteAnimScript_E689,6,$0C $0F $10,1,$E689,yes,$42B8 $3234 $3233 $42DB $3233 $3234
$80:E6A0,PaletteAnimScript_E6A0,6,$0C $0F $10,1,$E6A0,yes,$3234 $3233 $42DB $32B8 $42DB $3233
$80:E6B7,PaletteAnimScript_E6B7,6,$0C $0F $10,1,$E6B7,yes,$3233 $42DB $32B8 $3234 $32B8 $42DB
$80:E6CE,PaletteAnimScript_E6CE,6,$0C $0F $10,1,$E6CE,yes,$21B1 $25D1 $29D1 $3234 $29D1 $25D1
$80:E6E5,PaletteAnimScript_E6E5,6,$0C $0F $10,1,$E6E5,yes,$3213 $1D8C $29CF $2E11 $29CF $1D8C
$80:E6FC,PaletteAnimScript_E6FC,6,$0C $0F $10,1,$E6FC,yes,$2DF1 $3233 $1D8C $29CF $1D8C $3233
$80:E713,PaletteAnimScript_E713,6,$0C $0F $10,1,$E713,yes,$21AF $2E11 $3233 $1D8C $3233 $2E11
$80:E72A,PaletteAnimScript_E72A,6,$0C $0F $10,1,$E72A,yes,$1D6C $29CF $2E11 $3233 $2E11 $29CF
$80:E741,PaletteAnimScript_E741,6,$0C $0F $10,1,$E741,yes,$1D4C $1D4C $214C $214C $214C $1D4C
$80:E758,PaletteAnimScript_E758,6,$0C $0F $10,1,$E758,yes,$218B $192A $1D4B $1D4B $1D4B $192A
$80:E76F,PaletteAnimScript_E76F,6,$0C $0F $10,1,$E76F,yes,$1D4B $216B $192A $1D4B $192A $216B
$80:E786,PaletteAnimScript_E786,6,$0C $0F $10,1,$E786,yes,$1D2A $1D48 $214B $192A $214B $1D48
$80:E79D,PaletteAnimScript_E79D,6,$0C $0F $10,1,$E79D,yes,$1928 $1D4B $1D4B $1D6B $1D4B $1D4B
$80:E7B4,PaletteAnimScript_E7B4,6,$0C $0F $10,1,$E7B4,yes,$7F52 $5D66 $7D86 $7E4B $7D86 $5D66
$80:E7CB,PaletteAnimScript_E7CB,6,$0C $0F $10,1,$E7CB,yes,$7E4B $4F32 $5D66 $7D86 $5D66 $7F32
$80:E7E2,PaletteAnimScript_E7E2,6,$0C $0F $10,1,$E7E2,yes,$7D86 $7E4B $7F32 $5D66 $7F32 $7E4B
$80:E7F9,PaletteAnimScript_E7F9,6,$0C $0F $10,1,$E7F9,yes,$5D66 $7D86 $7E4B $7F32 $7E4B $7D86
$80:E810,PaletteAnimScript_E810,6,$0C $0F $10,1,$E810,yes,$5D66 $6186 $6586 $69A6 $6586 $6186
$80:E827,PaletteAnimScript_E827,6,$0C $0F $10,1,$E827,yes,$3F9E $169E $1218 $1174 $1218 $169E
$80:E83E,PaletteAnimScript_E83E,6,$0C $0F $10,1,$E83E,yes,$169E $1218 $1174 $2AFA $1174 $1218
$80:E855,PaletteAnimScript_E855,6,$0C $0F $10,1,$E855,yes,$1218 $1174 $3F9E $169E $3F9E $1174
$80:E86C,PaletteAnimScript_E86C,6,$0C $0F $10,1,$E86C,yes,$1174 $267B $169E $1218 $169E $267B
$80:E883,PaletteAnimScript_E883,6,$0C $0F $10,1,$E883,yes,$1DB1 $1DB2 $1DB3 $1DB3 $1DB3 $1DB2
$80:E89A,PaletteAnimScript_E89A,6,$0C $0F $10,1,$E89A,yes,$0DB3 $09B3 $0991 $0172 $0991 $09B3
$80:E8B1,PaletteAnimScript_E8B1,6,$0C $0F $10,1,$E8B1,yes,$09B3 $0991 $0172 $0DB3 $0172 $0991
$80:E8C8,PaletteAnimScript_E8C8,6,$0C $0F $10,1,$E8C8,yes,$0991 $0172 $0DB3 $09B3 $0DB3 $0172
$80:E8DF,PaletteAnimScript_E8DF,6,$0C $0F $10,1,$E8DF,yes,$0172 $0DB3 $09B3 $0991 $09B3 $0DB3
$80:E8F6,PaletteAnimScript_E8F6,6,$0C $0F $10,1,$E8F6,yes,$194E $110C $110B $110B $110B $110C
$80:E90D,PaletteAnimScript_E90D,6,$0C $0F $10,1,$E90D,yes,$110C $110B $110B $194E $110B $110B
$80:E924,PaletteAnimScript_E924,6,$0C $0F $10,1,$E924,yes,$110B $110B $194E $110C $194E $110B
$80:E93B,PaletteAnimScript_E93B,6,$0C $0F $10,1,$E93B,yes,$110B $194E $110C $110B $110C $194E
$80:E952,PaletteAnimScript_E952,6,$0C $0F $10,1,$E952,yes,$21AC $1D8B $0D2B $0D2B $0D2B $1D8B
$80:E969,PaletteAnimScript_E969,6,$0C $0F $10,1,$E969,yes,$0D2B $0D2B $1D8B $21AC $1D8B $0D2B
$80:E980,PaletteAnimScript_E980,6,$0C $0F $10,1,$E980,yes,$32FE $21EE $29D1 $2214 $29D1 $21EE
$80:E997,PaletteAnimScript_E997,6,$0C $0F $10,1,$E997,yes,$29F5 $2E76 $21EE $29D1 $21EE $2E76
$80:E9AE,PaletteAnimScript_E9AE,6,$0C $0F $10,1,$E9AE,yes,$15F4 $3214 $2E33 $21EE $2E33 $3214
$80:E9C5,PaletteAnimScript_E9C5,6,$0C $0F $10,1,$E9C5,yes,$1DD3 $29D1 $2E34 $1DD1 $2E34 $29D1
$80:E9DC,PaletteAnimScript_E9DC,6,$0C $0F $10,1,$E9DC,yes,$25EF $25CE $25AE $25AD $25AE $25CE
$80:E9F3,PaletteAnimScript_E9F3,6,$0C $0F $10,1,$E9F3,yes,$214E $1D4F $1DB4 $1DB4 $1DB4 $1D4F
$80:EA0A,PaletteAnimScript_EA0A,6,$0C $0F $10,1,$EA0A,yes,$1DB4 $1D72 $1D72 $1D4F $1D72 $1D72
$80:EA21,PaletteAnimScript_EA21,6,$0C $0F $10,1,$EA21,yes,$377F $21B0 $161C $1A59 $161C $21B0
$80:EA38,PaletteAnimScript_EA38,6,$0C $0F $10,1,$EA38,yes,$1A59 $1A9B $21B0 $161C $21B0 $1A9B
$80:EA4F,PaletteAnimScript_EA4F,6,$0C $0F $10,1,$EA4F,yes,$161C $1A59 $1B1F $21B0 $1B1F $1A59
$80:EA66,PaletteAnimScript_EA66,6,$0C $0F $10,1,$EA66,yes,$0994 $161C $1A59 $1A9B $1A59 $161C
$80:EA7D,PaletteAnimScript_EA7D,6,$0C $0F $10,1,$EA7D,yes,$2190 $21B0 $2191 $21B1 $2191 $21B0
$80:EA94,PaletteAnimScript_EA94,6,$0C $0F $10,1,$EA94,yes,$1D4C $218E $21B0 $21B2 $21B0 $218E
$80:EAAB,PaletteAnimScript_EAAB,6,$0C $0F $10,1,$EAAB,yes,$21B2 $1D4C $218E $21B0 $218E $1D4C
$80:EAC2,PaletteAnimScript_EAC2,6,$0C $0F $10,1,$EAC2,yes,$21B0 $21B2 $1D4C $218E $1D4C $21B2
$80:EAD9,PaletteAnimScript_EAD9,6,$0C $0F $10,1,$EAD9,yes,$218E $21B0 $21B2 $1D4C $21B2 $21B0
$80:EAF0,PaletteAnimScript_EAF0,6,$0C $0F $10,1,$EAF0,yes,$1D6C $1509 $1D2C $1D4C $1D2C $1509
$80:EB07,PaletteAnimScript_EB07,6,$0C $0F $10,1,$EB07,yes,$1D4C $1D6C $1509 $1D2C $1509 $1D6C
$80:EB1E,PaletteAnimScript_EB1E,6,$0C $0F $10,1,$EB1E,yes,$1D2C $1D4C $1D6C $1509 $1D6C $1D4C
$80:EB35,PaletteAnimScript_EB35,6,$0C $0F $10,1,$EB35,yes,$1509 $1D2C $1D4C $1D6C $1D4C $1D2C
$80:EB4C,PaletteAnimScript_EB4C,4,$10,1,$EB4C,yes,$77DB $7398 $7398 $7398
$80:EB5D,PaletteAnimScript_EB5D,4,$10,1,$EB5D,yes,$7398 $7398 $77DB $7398
$80:EB6E,PaletteAnimScript_EB6E,4,$10,1,$EB6E,yes,$5F7D $4B3B $4B3B $4B3B
$80:EB7F,PaletteAnimScript_EB7F,4,$10,1,$EB7F,yes,$4B3B $4B3B $5F7D $4B3B
$80:EB90,PaletteAnimScript_EB90,4,$10,1,$EB90,yes,$3295 $2E52 $2E52 $2E52
$80:EBA1,PaletteAnimScript_EBA1,4,$10,1,$EBA1,yes,$2E52 $2E52 $3295 $2E52
$80:EBB2,PaletteAnimScript_EBB2,4,$10,1,$EBB2,yes,$314A $2D29 $2D29 $2D29
$80:EBC3,PaletteAnimScript_EBC3,4,$10,1,$EBC3,yes,$2D29 $2D29 $314A $2D29
$80:EBD4,PaletteAnimScript_EBD4,4,$10,1,$EBD4,yes,$7799 $6334 $6334 $6334
$80:EBE5,PaletteAnimScript_EBE5,4,$10,1,$EBE5,yes,$6334 $6334 $77DB $6334
$80:EBF6,PaletteAnimScript_EBF6,4,$10,1,$EBF6,yes,$677E $471C $471C $471C
$80:EC07,PaletteAnimScript_EC07,4,$10,1,$EC07,yes,$471C $471C $677E $471C
$80:EC18,PaletteAnimScript_EC18,4,$10,1,$EC18,yes,$5694 $4E31 $4E31 $4E31
$80:EC29,PaletteAnimScript_EC29,4,$10,1,$EC29,yes,$4E31 $4E31 $5694 $4E31
$80:EC3A,PaletteAnimScript_EC3A,4,$10,1,$EC3A,yes,$498C $414A $414A $414A
$80:EC4B,PaletteAnimScript_EC4B,4,$10,1,$EC4B,yes,$414A $414A $498C $414A
$80:EC5C,PaletteAnimScript_EC5C,4,$10,1,$EC5C,yes,$7376 $6334 $6334 $6334
$80:EC6D,PaletteAnimScript_EC6D,4,$10,1,$EC6D,yes,$6334 $6334 $7376 $6334
$80:EC7E,PaletteAnimScript_EC7E,4,$10,1,$EC7E,yes,$537F $42FB $42FB $42FB
$80:EC8F,PaletteAnimScript_EC8F,4,$10,1,$EC8F,yes,$42FB $42FB $537F $42FB
$80:ECA0,PaletteAnimScript_ECA0,4,$10,1,$ECA0,yes,$4671 $3E31 $3E31 $3E31
$80:ECB1,PaletteAnimScript_ECB1,4,$10,1,$ECB1,yes,$3E31 $3E31 $4671 $3E31
$80:ECC2,PaletteAnimScript_ECC2,4,$10,1,$ECC2,yes,$316A $2D49 $2D49 $2D49
$80:ECD3,PaletteAnimScript_ECD3,4,$10,1,$ECC2,no,$2D49 $2D49 $316A $2D49
$80:ECE4,PaletteAnimScript_ECE4,4,$10,1,$ECE4,yes,$779B $7377 $7377 $7377
$80:ECF5,PaletteAnimScript_ECF5,4,$10,1,$ECF5,yes,$7377 $7377 $779B $7377
$80:ED06,PaletteAnimScript_ED06,4,$10,1,$ED06,yes,$6F59 $6B37 $6B37 $6B37
$80:ED17,PaletteAnimScript_ED17,4,$10,1,$ED17,yes,$6B37 $6B37 $6F59 $6B37
$80:ED28,PaletteAnimScript_ED28,4,$10,1,$ED28,yes,$5AB5 $5273 $5273 $5273
$80:ED39,PaletteAnimScript_ED39,4,$10,1,$ED39,yes,$5273 $5273 $5AB5 $5273
$80:ED4A,PaletteAnimScript_ED4A,4,$10,1,$ED4A,yes,$4DEE $45CE $45CE $45CE
$80:ED5B,PaletteAnimScript_ED5B,4,$10,1,$ED5B,yes,$45CE $45CE $4DEE $45CE
$80:ED6C,PaletteAnimScript_ED6C,6,$0C,1,$ED6C,yes,$5185 $61E8 $6E4C $7F0C $6E4C $61E8
$80:ED83,PaletteAnimScript_ED83,6,$0C,1,$ED83,yes,$69E7 $7988 $69E7 $6167 $69E7 $7988
$80:ED9A,PaletteAnimScript_ED9A,4,$0F,1,$ED9A,yes,$7E2C $7F97 $7F53 $7EE7
$80:EDAB,PaletteAnimScript_EDAB,4,$0F,1,$EDAB,yes,$7EEF $7E2C $7F97 $7F53
$80:EDBC,PaletteAnimScript_EDBC,4,$0F,1,$EDBC,yes,$7F53 $7EEF $7E2C $7F97
$80:EDCD,PaletteAnimScript_EDCD,4,$0F,1,$EDCD,yes,$7F97 $7F53 $7EE7 $7E2C
$80:EDDE,PaletteAnimScript_EDDE,3,$0F,1,$EDDE,yes,$0070 $0E5F $03FF
$80:EDEC,PaletteAnimScript_EDEC,3,$0F,1,$EDEC,yes,$0E5F $0070 $03FF
$80:EDFA,PaletteAnimScript_EDFA,3,$0F,1,$EDFA,yes,$03FF $0E5F $0070
$80:EE08,PaletteAnimScript_EE08,3,$08,1,$EE08,yes,$000C $000A $0009
$80:EE16,PaletteAnimScript_EE16,3,$08,1,$EE16,yes,$000A $00D8 $027E
$80:EE24,PaletteAnimScript_EE24,3,$08,1,$EE24,yes,$017F $029F $00D2
$80:EE32,PaletteAnimScript_EE32,3,$08,1,$EE32,yes,$031F $035F $03FF
$80:EE40,PaletteAnimScript_EE40,3,$10,1,$EE40,yes,$2279 $229B $22DC
$80:EE4E,PaletteAnimScript_EE4E,3,$10,1,$EE4E,yes,$0854 $08DE $08DC
$80:EE5C,PaletteAnimScript_EE5C,3,$10,1,$EE5C,yes,$089D $08DE $091F
$80:EE6A,PaletteAnimScript_EE6A,3,$10,1,$EE6A,yes,$08DF $08DF $0A1F
$80:EE78,PaletteAnimScript_EE78,3,$10,1,$EE78,yes,$08DF $0A3F $0A9F
$80:EE86,PaletteAnimScript_EE86,3,$10,1,$EE86,yes,$029F $029F $031F
$80:EE94,PaletteAnimScript_EE94,3,$10,1,$EE94,yes,$035F $03DF $03FF
$80:EEA2,PaletteAnimScript_EEA2,4,$0C,1,$EEA2,yes,$0A3C $00DB $00DF $00DF
$80:EEB3,PaletteAnimScript_EEB3,4,$0C,1,$EEB3,yes,$09B3 $11FF $0A5F $125F
$80:EEC4,PaletteAnimScript_EEC4,4,$0C,1,$EEC4,yes,$0992 $0A15 $023A $133F
