group,entry,target,pass81_entry_alias,group_semantic_name,pass82_owner_domain,pass83_visual_domain,pass82_scene_role,pass83_visual_role,pass83_visual_confidence,visual_commands,visual_pointer_refs,candidate_visual_refs,ref_class_counts,direct_text_ids,text_preview_sample,pseudocode_preview
$00,12,$B38D5A,EventScript_G00_Entry012_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$01A4 $003C $80FC $B38D,$80FC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:2,,,"SetCCObjectParam(param=$01A4, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,13,$B38D67,EventScript_G00_Entry013_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$01A8 $003C $80FC $B38D,$80FC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:2,,,"SetCCObjectParam(param=$01A8, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,14,$B38D74,EventScript_G00_Entry014_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$0191 $003C $80FC $B38D,$80FC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:2,,,"SetCCObjectParam(param=$0191, value=$01) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,15,$B38D81,EventScript_G00_Entry015_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$0191 $003C $80FC $B38D,$80FC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:2,,,"SetCCObjectParam(param=$0191, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$80FC) ; Jump(target=$B38D09)"
$00,16,$B38D8E,EventScript_G00_Entry016_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$812C $8138 $B38D,$812C $8138,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$812C, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8138, d=$10) ; PlayerPos() ; Jump(target=$B38D97)"
$00,17,$B38D9B,EventScript_G00_Entry017_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_dog_pet,dog_pet_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5 SetCCObjectParam5,$8114 $8120 $B38D $8948 $B38D,$8114 $8120 $8948,bank_b3_b5_script_target_or_local_pointer:2 candidate_visual_gobj_pointer_or_asset_table:3,,,"SetCCObjectVisual(ptr=$8114, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8120, d=$10) ; Jump(target=$B38DAC) ; SetCCObjectParam5(a=$01, ptr=$8948, d=$10) ; DogRelated() ; Jump(target=$B38DAC)"
$00,18,$B38DB0,EventScript_G00_Entry018_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,state_gate_branch_router,cc_object_parameter_state_setup,medium_high_param_with_pointer_candidate,SetCCObjectParam9,$8114 $B336 $B38D,$8114,bank_b3_b5_script_target_or_local_pointer:2 candidate_visual_gobj_pointer_or_asset_table:1,,,"SetCCObjectParam9(ptr=$8114, mode=$2E) ; EnableTimeFlow() ; JumpIf018F(value=$81, target=$B33610) ; Jump(target=$B38DB8)"
$00,19,$B38DBC,EventScript_G00_Entry019_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5 SetCCObjectParam5,$8768 $8774 $B38D $8780 $B38D,$8768 $8774 $8780,bank_b3_b5_script_target_or_local_pointer:2 candidate_visual_gobj_pointer_or_asset_table:3,,,"SetCCObjectVisual(ptr=$8768, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$8774, d=$10) ; Jump(target=$B38DCD) ; SetCCObjectParam5(a=$01, ptr=$8780, d=$10) ; PlayerPos() ; Jump(target=$B38DCD)"
$00,20,$B38DD1,EventScript_G00_Entry020_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_parameter_state_setup,medium_high_param_with_pointer_candidate,SetCCObjectParam9,$812C,$812C,candidate_visual_gobj_pointer_or_asset_table:1,,,"SetCCObjectParam9(ptr=$812C, mode=$2E) ; EnableTimeFlow() ; EventCoreUNK2() ; UnknownOpcode_$81()"
$00,21,$B38DE5,EventScript_G00_Entry021_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject WaitOrSetCCCounter,$0048 $0058 $87BC $0001 $B38D,$87BC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3,,,"SpawnOrMoveCCObject(x=$0048, y=$0058, visual=$87BC, mode=$00) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38DED)"
$00,23,$B38DFC,EventScript_G00_Entry023_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_cow_livestock,cow_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual SetCCObjectParam5,$8900 $86CC $B38E,$8900 $86CC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:2,,,"SetCCObjectVisual(ptr=$8900, bank_or_mode=$00) ; SetCCObjectParam5(a=$01, ptr=$86CC, d=$10) ; CowRelated() ; Jump(target=$B38E05)"
$00,24,$B38E09,EventScript_G00_Entry024_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject SetCCObjectBoxOrAnim WaitOrSetCCCounter,$0068 $0168 $8114 $2020 $2001 $0001 $B38E,$8114,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3 mid_range_value_or_table_offset:2,,,"SpawnOrMoveCCObject(x=$0068, y=$0168, visual=$8114, mode=$00) ; SetCCObjectBoxOrAnim(a=$2020, b=$2001, c=$81, d=$10) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38E18)"
$00,25,$B38E1E,EventScript_G00_Entry025_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject SetCCObjectBoxOrAnim WaitOrSetCCCounter,$00F8 $01D8 $812C $2020 $3801 $0001 $B38E,$812C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3 mid_range_value_or_table_offset:2,,,"SpawnOrMoveCCObject(x=$00F8, y=$01D8, visual=$812C, mode=$00) ; SetCCObjectBoxOrAnim(a=$2020, b=$3801, c=$81, d=$10) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38E2D)"
$00,26,$B38E33,EventScript_G00_Entry026_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject SetCCObjectBoxOrAnim WaitOrSetCCCounter,$0108 $0168 $80FC $2020 $0801 $0001 $B38E,$80FC,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3 mid_range_value_or_table_offset:2,,,"SpawnOrMoveCCObject(x=$0108, y=$0168, visual=$80FC, mode=$00) ; SetCCObjectBoxOrAnim(a=$2020, b=$0801, c=$81, d=$10) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38E42)"
$00,27,$B38E48,EventScript_G00_Entry027_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject SetCCObjectBoxOrAnim WaitOrSetCCCounter,$01E8 $0188 $86A8 $2020 $B401 $0001 $B38E,$86A8,bank_b3_b5_script_target_or_local_pointer:2 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3 mid_range_value_or_table_offset:1,,,"SpawnOrMoveCCObject(x=$01E8, y=$0188, visual=$86A8, mode=$00) ; SetCCObjectBoxOrAnim(a=$2020, b=$B401, c=$86, d=$10) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38E57)"
$00,28,$B38E5D,EventScript_G00_Entry028_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject SetCCObjectBoxOrAnim WaitOrSetCCCounter,$00B8 $01B8 $86C0 $2020 $CC01 $0001 $B38E,$86C0,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 high_bank_pointer_or_immediate_word:1 low_immediate_param_or_small_id:3 mid_range_value_or_table_offset:1,,,"SpawnOrMoveCCObject(x=$00B8, y=$01B8, visual=$86C0, mode=$00) ; SetCCObjectBoxOrAnim(a=$2020, b=$CC01, c=$86, d=$10) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38E6C)"
$00,29,$B38E72,EventScript_G00_Entry029_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject WaitOrSetCCCounter,$0088 $0168 $8318 $0001 $B38E,$8318,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3,,,"SpawnOrMoveCCObject(x=$0088, y=$0168, visual=$8318, mode=$01) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38E7A)"
$00,31,$B38E94,EventScript_G00_Entry031_ObjectAnimalHouseUpgradeDialogHub_ObjectVisualSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectVisual,$8720 $B38E,$8720,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1,,,"SetCCObjectVisual(ptr=$8720, bank_or_mode=$00) ; EventCoreUNK3() ; Jump(target=$B38E98)"
$00,32,$B38E9C,EventScript_G00_Entry032_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject WaitOrSetCCCounter,$0078 $01C8 $836C $0001 $B38E,$836C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3,,,"SpawnOrMoveCCObject(x=$0078, y=$01C8, visual=$836C, mode=$03) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38EA4)"
$00,33,$B38EAA,EventScript_G00_Entry033_ObjectAnimalHouseUpgradeDialogHub_StateGate,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCVelocityOrDelta SetCCObjectParam WaitOrSetCCCounter,$0001 $8000 $0005 $B38E $FFE0 $01D8 $8378 $02AF $0001 $B38E,$8000 $8378,bank_b3_b5_script_target_or_local_pointer:2 candidate_visual_gobj_pointer_or_asset_table:2 high_bank_pointer_or_immediate_word:1 low_immediate_param_or_small_id:4 mid_range_value_or_table_offset:1,,,"WaitOrSetCCCounter(value=$0001) ; JumpIfEqualsValue(mem=$8000D4, value=$0005, target=$B38EAA) ; SpawnOrMoveCCObject(x=$FFE0, y=$01D8, visual=$8378, mode=$02) ; SetCCVelocityOrDelta(a=$01, b=$00, c=$40, d=$01) ; SetCCObjectParam(param=$02AF, value=$01) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38EC6)"
$00,35,$B38EE0,EventScript_G00_Entry035_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject SetCCVelocityOrDelta StopOrDisableCCSlot,$0020 $01D8 $8378,$8378,candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:2,,,"SpawnOrMoveCCObject(x=$0020, y=$01D8, visual=$8378, mode=$03) ; SetCCVelocityOrDelta(a=$FF, b=$00, c=$40, d=$01) ; EventCoreUNK1() ; StopOrDisableCCSlot()"
$00,37,$B38F03,EventScript_G00_Entry037_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject WaitOrSetCCCounter,$00D8 $0148 $86C0 $0001 $B38F,$86C0,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3,,,"SpawnOrMoveCCObject(x=$00D8, y=$0148, visual=$86C0, mode=$00) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38F0B)"
$00,38,$B38F11,EventScript_G00_Entry038_ObjectAnimalHouseUpgradeDialogHub_StateGate,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,WaitOrSetCCCounter SpawnOrMoveCCObject SetCCVelocityOrDelta SetCCObjectParam WaitOrSetCCCounter,$0001 $8000 $0005 $B38F $FFE0 $01D8 $82A0 $0274 $7F1F $0001 $B38F,$8000 $82A0,bank_b3_b5_script_target_or_local_pointer:2 candidate_visual_gobj_pointer_or_asset_table:2 high_bank_pointer_or_immediate_word:1 low_immediate_param_or_small_id:4 mid_range_value_or_table_offset:1 wram_or_runtime_cc_state_ref:1,,,"WaitOrSetCCCounter(value=$0001) ; JumpIfEqualsValue(mem=$8000D4, value=$0005, target=$B38F11) ; SpawnOrMoveCCObject(x=$FFE0, y=$01D8, visual=$82A0, mode=$02) ; SetCCVelocityOrDelta(a=$01, b=$00, c=$40, d=$01) ; SetCCObjectParam(param=$0274, value=$01) ; SetFlag(mem=$7F1F5A, bit=$0B) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38F32)"
$00,40,$B38F43,EventScript_G00_Entry040_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$0206 $003C $812C $B38D,$812C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:1 mid_range_value_or_table_offset:1,,,"SetCCObjectParam(param=$0206, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$812C) ; Jump(target=$B38DD4)"
$00,41,$B38F50,EventScript_G00_Entry041_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$0207 $003C $812C $B38D,$812C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:1 mid_range_value_or_table_offset:1,,,"SetCCObjectParam(param=$0207, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$812C) ; Jump(target=$B38DD4)"
$00,42,$B38F5D,EventScript_G00_Entry042_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$0208 $003C $812C $B38D,$812C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:1 mid_range_value_or_table_offset:1,,,"SetCCObjectParam(param=$0208, value=$01) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$812C) ; Jump(target=$B38DD4)"
$00,43,$B38F6A,EventScript_G00_Entry043_ObjectAnimalHouseUpgradeDialogHub_ObjectParamSetup,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,object_parameter_setup,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SetCCObjectParam WaitOrSetCCCounter SetCCObjectPointer,$0208 $003C $812C $B38D,$812C,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:1 mid_range_value_or_table_offset:1,,,"SetCCObjectParam(param=$0208, value=$00) ; WaitOrSetCCCounter(value=$003C) ; SetCCObjectPointer(ptr=$812C) ; Jump(target=$B38DD4)"
$00,44,$B38F77,EventScript_G00_Entry044_ObjectAnimalHouseUpgradeDialogHub_ObjectVisual,ObjectAnimalHouseUpgradeDialogHub,animal_livestock_general,general_livestock_visual_context,visual_object_setup_or_spawn,cc_object_visual_pointer_setup,high_exact_cc_visual_command,SpawnOrMoveCCObject WaitOrSetCCCounter,$0088 $0168 $8240 $0001 $B38F,$8240,bank_b3_b5_script_target_or_local_pointer:1 candidate_visual_gobj_pointer_or_asset_table:1 low_immediate_param_or_small_id:3,,,"SpawnOrMoveCCObject(x=$0088, y=$0168, visual=$8240, mode=$01) ; WaitOrSetCCCounter(value=$0001) ; Jump(target=$B38F7F)"
