group,entries,semantic_bucket_before_pass78,confidence_before_pass78,direct_dialog_cmds,unique_direct_text_ids,text_related_arg_cmds,top_text_categories,top_inferred_roles,pass78_text_anchor_confidence,recommended_next_action
$29,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$2A,16,mixed_event_script,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$2B,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$2C,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$2D,16,state_gate_or_flag_router,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$2E,16,mixed_event_script,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$2F,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$30,16,item_money_shipping_interaction,high,0,0,0,-,-,high,No direct textbox commands; use RAM/object/sprite analysis.
$31,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$32,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$33,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$34,16,mixed_event_script,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$35,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$36,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$37,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$38,16,mixed_event_script,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$39,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$3A,16,item_money_shipping_interaction,high,0,0,0,-,-,high,No direct textbox commands; use RAM/object/sprite analysis.
$3B,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$3C,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$3D,16,mixed_event_script,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$3E,16,mixed_event_script,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$3F,16,state_gate_or_flag_router,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$40,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$41,16,unknown_opcode_cluster_needs_manual_decode,low,0,0,0,-,-,low,No direct textbox commands; use RAM/object/sprite analysis.
$42,16,audio_sfx_or_tablelike_event_stub,medium,0,0,0,-,-,medium,No direct textbox commands; use RAM/object/sprite analysis.
$43,16,state_gate_or_flag_router,medium,186,67,0,Dialog:144 Romance:10 Animal:8 Sign:7 Festival:7,npc_or_event_dialogue:103 child_family_event:16 house_upgrade_context:10 event_dialogue_unknown_specific_owner:8 house_upgrade_or_family_context:8 festival_event:8,high_text_anchor,Entries can now be split/name-refined using resolved text labels and previews.
$44,16,family_romance_dialogue_matrix,high,120,55,0,Dialog:88 Sign:9 Animal:7 Festival:7 Romance:6,npc_or_event_dialogue:72 event_dialogue_unknown_specific_owner:9 ranch_livestock_context:8 festival_event:8 weather_context:7 family_romance_gift_context:6,high_text_anchor,Entries can now be split/name-refined using resolved text labels and previews.
$45,16,state_gate_or_flag_router,medium,18,6,0,Dialog:18,npc_or_event_dialogue:16 family_romance_gift_context:2,high_text_anchor,Entries can now be split/name-refined using resolved text labels and previews.
$46,16,mixed_event_script,medium,23,23,0,Dialog:8 Romance:6 Shipping:4 Sign:3 Animal:2,ranch_livestock_context:6 shipping_context:4 npc_or_event_dialogue:3 house_upgrade_or_family_context:3 livestock_cow_context:2 livestock_chicken_context:1,high_text_anchor,Entries can now be split/name-refined using resolved text labels and previews.
$47,32,mixed_event_script,medium,1,1,0,Dialog:1,npc_or_event_dialogue:1,high_text_anchor,Entries can now be split/name-refined using resolved text labels and previews.
