group,pass80_semantic_group_name,pass80_category,pass80_confidence,previous_status,entries,unique_targets,commands,pass73_bucket,pass73_confidence,dominant_classes,dominant_opcodes,top_symbols,top_text_ids,direct_dialog_cmds,unique_text_ids,reason
$0A,TableDrivenCutsceneObjectScript_FA,table_driven_scene,medium,unnamed_before_pass80,16,7,28,mixed_event_script,medium,unknown:10 script_control:8 cc_state_object:4 time_rng_palette:2 screen_transition:2 special_unknown:2,$FA:10 $4F:4 $50:4 $02:2 $08:2 $09:2 $38:2 $10:2,,,0,0,Small mixed script dominated by opcode/payload cluster FA; no direct text anchor.
$0B,MountainAnglerFishingSignDialogue,dialog_anchor,high,pass79_dialog_named,16,13,91,mixed_event_script,medium,script_control:55 screen_transition:6 cc_state_object:6 special_unknown:5 unknown:5 time_rng_palette:4,$09:37 $10:10 $38:5 $12:5 $08:3 $13:3 $1A:3 $1F:3,hour:1,Text_$012A:1,5,3,Pass79 direct-dialog anchor preserved.
$0C,TableDrivenEventScript_Opcode88Cluster,table_driven_scene,medium,unnamed_before_pass80,16,3,16,unknown_opcode_cluster_needs_manual_decode,low,unknown:14 script_control:2,$88:14 $50:2,,,0,0,Structural table-driven cluster formerly low-confidence; named by dominant byte pattern 88.
$0D,MapTransitionDestinationRouter,transition_router,medium,unnamed_before_pass80,16,3,30,mixed_event_script,medium,screen_transition:14 unknown:14 script_control:2,$06:14 $D4:14 $50:2,,,0,0,Dominant SetTransitionDestination behavior marks this as map/scene transition routing.
$0E,AudioCueMusicSequenceTable_A,audio_sequence,high,unnamed_before_pass80,16,3,648,audio_sfx_or_tablelike_event_stub,medium,audio:644 cc_state_object:2 script_control:2,$00:644 $4F:2 $50:2,,,0,0,Large audio/SFX tablelike group dominated by PlayAudioOrMusic.
$0F,TableDrivenTransitionScript_D8Cluster_A,table_driven_scene,medium,unnamed_before_pass80,16,7,22,mixed_event_script,medium,unknown:10 cc_state_object:6 script_control:6,$D8:10 $4F:6 $50:6,,,0,0,Transition-style mixed cluster dominated by D8 payload pattern.
$10,EventCore2TableDrivenSceneRouter,table_driven_scene,medium,unnamed_before_pass80,16,2,35,mixed_event_script,medium,special_unknown:15 unknown:15 script_control:4 screen_transition:1,$38:15 $88:15 $09:2 $08:1 $13:1 $10:1,,,0,0,Dominated by EventCoreUNK2-style scene routing.
$11,TableDrivenEventScript_C0Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,16,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:1,$C0:15 $50:1,,,0,0,Structural table-driven cluster named by dominant C0 pattern.
$12,EventCore3TableDrivenSceneRouter,table_driven_scene,medium,unnamed_before_pass80,16,2,31,mixed_event_script,medium,special_unknown:15 unknown:15 script_control:1,$4A:15 $89:15 $50:1,,,0,0,Dominated by EventCoreUNK3-style scene routing.
$13,TableDrivenEventScript_F2Cluster_A,table_driven_scene,medium,unnamed_before_pass80,16,2,16,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:1,$F2:15 $50:1,,,0,0,Structural table-driven cluster named by dominant F2 pattern.
$14,StateGateFlagRouter_MiscA,state_gate_router,medium,unnamed_before_pass80,16,6,42,state_gate_or_flag_router,medium,conditional:11 special_unknown:11 unknown:11 script_control:5 cc_state_object:4,$45:11 $38:11 $8D:11 $50:5 $4F:4,$8D388C:1,,0,0,Pass73 bucket state_gate_or_flag_router; top symbols/targets indicate condition-gated routing.
$15,RanchToolManualAndWorkResultDialogue,dialog_anchor,high,pass79_dialog_named,16,2,62,mixed_event_script,medium,player_camera_motion:17 unknown:16 eventcmd_51_59_extended:15 script_control:5 screen_transition:4 flags_values:2,$05:16 $58:15 $8E:15 $09:3 $08:2 $11:2 $0C:2 $07:1,,,7,6,Pass79 direct-dialog anchor preserved.
$16,CCObjectParam3SetupCluster,object_visual_setup,medium,unnamed_before_pass80,16,2,31,mixed_event_script,medium,cc_state_object:15 unknown:15 script_control:1,$25:15 $C5:15 $50:1,,,0,0,Dominated by SetCCObjectParam3-style object state setup.
$17,TableDrivenEventScript_E5Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$E5:15 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant E5 pattern.
$18,TableDrivenEventScript_B5Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,18,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:2 special_unknown:1,$B5:15 $09:1 $38:1 $10:1,,,0,0,Structural table-driven cluster named by dominant B5 pattern.
$19,TableDrivenEventScript_F3Cluster,table_driven_scene,medium,unnamed_before_pass80,16,3,16,unknown_opcode_cluster_needs_manual_decode,low,unknown:14 script_control:2,$F3:14 $50:2,,,0,0,Structural table-driven cluster named by dominant F3 pattern.
$1A,TableDrivenEventScript_D3Cluster,table_driven_scene,medium,unnamed_before_pass80,16,3,16,unknown_opcode_cluster_needs_manual_decode,low,unknown:14 script_control:2,$D3:14 $50:2,,,0,0,Structural table-driven cluster named by dominant D3 pattern.
$1B,TableDrivenEventScript_F2Cluster_B,table_driven_scene,medium,unnamed_before_pass80,16,3,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:1 audio:1,$F2:14 $50:1 $00:1 $B4:1,,,0,0,Second F2-family structural table-driven cluster.
$1C,TableDrivenEventScript_5CCluster,table_driven_scene,medium,unnamed_before_pass80,16,4,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:14 script_control:2 audio:1,$5C:13 $50:2 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant 5C pattern.
$1D,TableDrivenEventScript_9ACluster,table_driven_scene,medium,unnamed_before_pass80,16,5,21,mixed_event_script,medium,unknown:12 script_control:8 special_unknown:1,$9A:12 $09:4 $50:3 $38:1 $10:1,,,0,0,Mixed/table-driven cluster named by dominant 9A pattern.
$1E,TableDrivenEventScript_5FCluster_A,table_driven_scene,medium,unnamed_before_pass80,16,2,16,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:1,$5F:15 $50:1,,,0,0,First 5F-family structural table-driven cluster.
$1F,ChickenDogHeldItemContextCluster_A,held_item_context,medium,unnamed_before_pass80,16,4,29,mixed_event_script,medium,eventcmd_51_59_extended:13 unknown:13 script_control:3,$51:13 $9E:13 $50:3,,,0,0,Dominated by EventCmd $51 context handling after Pass71/72 naming.
$20,MolePickupEventCluster,item_object_interaction,medium,unnamed_before_pass80,16,2,31,mixed_event_script,medium,special_unknown:15 unknown:15 script_control:1,$33:15 $9F:15 $50:1,,,0,0,Dominated by PickupMole-style interaction command.
$21,TableDrivenEventScript_F8Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:2,$F8:15 $09:1 $10:1,,,0,0,Structural table-driven cluster named by dominant F8 pattern.
$22,ToolStopOrWaitInteractionCluster,tool_interaction,medium,unnamed_before_pass80,16,14,16,mixed_event_script,medium,script_control:13 unknown:3,$50:13 $9F:3,,,0,0,Dominated by ToolStopOrWait and player interaction wait flow.
$23,TableDrivenEventScript_75Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,24,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:4 screen_transition:2 special_unknown:1 audio:1 flags_values:1,$75:15 $09:3 $08:1 $38:1 $2C:1 $0C:1 $11:1 $10:1,,,0,0,Structural table-driven cluster named by dominant 75 pattern.
$24,FestivalTomorrowAnnouncementDialogues,dialog_anchor,high,pass79_dialog_named,16,5,36,mixed_event_script,medium,unknown:16 cc_state_object:8 screen_transition:4 special_unknown:4 time_rng_palette:4,$D5:12 $08:4 $1A:4 $38:4 $3A:4 $03:4 $5F:2 $7B:1,,,9,9,Pass79 direct-dialog anchor preserved.
$25,CutsceneObjectTransitionSetup,cutscene_object_transition,medium,unnamed_before_pass80,16,2,40,cutscene_object_transition_setup,medium,cc_state_object:15 unknown:15 player_camera_motion:2 screen_transition:2 script_control:2 flags_values:2,$2D:15 $B6:15 $02:1 $05:1 $07:1 $08:1 $09:1 $38:1,,,0,0,Pass73 cutscene_object_transition_setup bucket; object param setup + transition behavior.
$26,StewCookingPotEventDialogue,dialog_anchor,high,pass79_dialog_named,16,3,21,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 cc_state_object:2 eventcmd_51_59_extended:1 flags_values:1 audio:1 script_control:1,$7E:14 $4F:2 $51:1 $23:1 $00:1 $B4:1 $50:1,,,4,3,Pass79 direct-dialog anchor preserved.
$27,TableDrivenEventScript_EBCluster,table_driven_scene,medium,unnamed_before_pass80,16,5,20,unknown_opcode_cluster_needs_manual_decode,low,unknown:12 cc_state_object:4 script_control:4,$EB:12 $4F:4 $50:4,,,0,0,Structural table-driven cluster named by dominant EB pattern.
$28,CrossBankStatePointerRouter_A,state_gate_router,medium,unnamed_before_pass80,16,5,32,mixed_event_script,medium,flags_values:12 unknown:12 cc_state_object:4 script_control:4,$47:12 $C4:12 $4F:4 $50:4,$C4B8C4:1,,0,0,"Mixed cross-bank pointer/router behavior, top symbol looks like pointer/data target."
$29,TableDrivenTransitionScript_D8Cluster_B,table_driven_scene,medium,unnamed_before_pass80,16,2,18,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 script_control:2 special_unknown:1,$D8:15 $09:1 $38:1 $10:1,,,0,0,Second D8-family structural transition/table-driven cluster.
$2A,CrossBankStatePointerRouter_B,state_gate_router,medium,unnamed_before_pass80,16,2,56,mixed_event_script,medium,time_rng_palette:15 flags_values:15 unknown:15 cc_state_object:7 script_control:3 special_unknown:1,$24:15 $48:15 $C5:15 $1B:3 $13:2 $0D:2 $1A:1 $37:1,$C548C5:1,,0,0,"Mixed cross-bank pointer/router behavior, top symbol looks like pointer/data target."
$2B,TableDrivenEventScript_68Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,24,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 cc_state_object:5 script_control:3 special_unknown:1,$68:15 $13:2 $0D:2 $1A:1 $1B:1 $37:1 $41:1 $10:1,,,0,0,Structural table-driven cluster named by dominant 68 pattern.
$2C,TableDrivenEventScript_A4Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,22,unknown_opcode_cluster_needs_manual_decode,low,unknown:15 cc_state_object:4 script_control:2 special_unknown:1,$A4:15 $1A:1 $13:1 $1B:1 $0D:1 $37:1 $41:1 $10:1,,,0,0,Structural table-driven cluster named by dominant A4 pattern.
$2D,StateGateFlagRouter_C6F1,state_gate_router,medium,unnamed_before_pass80,16,2,49,state_gate_or_flag_router,medium,conditional:15 unknown:15 cc_state_object:12 script_control:4 player_camera_motion:1 screen_transition:1,$14:15 $C6:15 $0D:11 $12:2 $07:1 $09:1 $11:1 $38:1,$C6F1C6:1,,0,0,Pass73 state_gate_or_flag_router bucket with C6F1-family target pattern.
$2E,GameStateTransitionBranchCluster,transition_router,medium,unnamed_before_pass80,16,2,32,mixed_event_script,medium,unknown:16 screen_transition:15 audio:1,$11:15 $C7:15 $00:1 $B4:1,,,0,0,Mixed script dominated by ChangeGameState2; marks state transition routing.
$2F,TableDrivenEventScript_E3Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$E3:15 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant E3 pattern.
$30,ItemMoneyShippingAnimationInteraction,item_money_shipping,high,unnamed_before_pass80,16,2,257,item_money_shipping_interaction,high,items_money:210 audio:16 unknown:16 player_camera_motion:15,$3F:210 $00:16 $B4:16 $19:15,,,0,0,"Pass73 item_money_shipping_interaction bucket, dominated by animation and item/money/shipping flow."
$31,TableDrivenEventScript_5FCluster_B,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$5F:15 $00:1 $B4:1,,,0,0,Second 5F-family structural table-driven cluster.
$32,TableDrivenEventScript_76Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$76:15 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant 76 pattern.
$33,TableDrivenEventScript_EACluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$EA:15 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant EA pattern.
$34,ToolSelectedEventToolMirrorRouter_A,tool_interaction,medium,unnamed_before_pass80,16,2,34,mixed_event_script,medium,unknown:16 animals:15 flags_values:2 audio:1,$31:15 $D0:15 $47:2 $00:1 $B4:1,tool_selected_or_event_tool_mirror:1 watering_can_water_or_event_item_counter:1,,0,0,Dominant symbol tool_selected_or_event_tool_mirror indicates tool-selection routing.
$35,ToolSelectedEventToolMirrorRouter_B,tool_interaction,medium,unnamed_before_pass80,16,2,18,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 flags_values:1 audio:1,$80:15 $47:1 $00:1 $B4:1,tool_selected_or_event_tool_mirror:1,,0,0,Second tool_selected_or_event_tool_mirror routing cluster.
$36,TableDrivenEventScript_ECCluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$EC:15 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant EC pattern.
$37,ToolSelectedEventToolMirrorRouter_C,tool_interaction,medium,unnamed_before_pass80,16,2,19,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 flags_values:2 audio:1,$67:15 $47:2 $00:1 $B4:1,tool_selected_or_event_tool_mirror:1 watering_can_water_or_event_item_counter:1,,0,0,Third tool_selected_or_event_tool_mirror routing cluster.
$38,ChickenDogHeldItemContextCluster_B,held_item_context,medium,unnamed_before_pass80,16,2,32,mixed_event_script,medium,unknown:16 eventcmd_51_59_extended:15 audio:1,$51:15 $D5:15 $00:1 $B4:1,,,0,0,Dominated by EventCmd $51/held-item context family.
$39,TableDrivenEventScript_92Cluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$92:15 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant 92 pattern.
$3A,MoneyChangeInteractionCluster,item_money_shipping,high,unnamed_before_pass80,16,3,32,item_money_shipping_interaction,high,unknown:16 items_money:14 audio:2,$42:14 $DC:14 $00:2 $B4:2,,,0,0,Pass73 item_money_shipping_interaction bucket dominated by ChangeMoney.
$3B,TableDrivenEventScript_EDCluster,table_driven_scene,medium,unnamed_before_pass80,16,3,18,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:2,$ED:14 $00:2 $B4:2,,,0,0,Structural table-driven cluster named by dominant ED pattern.
$3C,B4InlineTileObjectPayloadCluster,tile_object_payload,high,unnamed_before_pass80,16,3,18,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:2,$B4:16 $00:2,,,0,0,Pass75 proved B4 inline tile/object payload class; group named accordingly.
$3D,JumpIf018FStateRouter,state_gate_router,medium,unnamed_before_pass80,16,3,32,mixed_event_script,medium,unknown:16 script_control:14 audio:2,$20:14 $FF:14 $00:2 $B4:2,,,0,0,Mixed/state router dominated by JumpIf018F.
$3E,CCObjectParam2DSetupCluster,object_visual_setup,medium,unnamed_before_pass80,16,2,32,mixed_event_script,medium,unknown:16 cc_state_object:15 audio:1,$1F:15 $E4:15 $00:1 $B4:1,,,0,0,Dominated by SetCCObjectParam2D object-state setup.
$3F,StateGateFlagRouter_E7AF,state_gate_router,medium,unnamed_before_pass80,16,2,32,state_gate_or_flag_router,medium,unknown:16 conditional:15 audio:1,$14:15 $E7:15 $00:1 $B4:1,$E7AFE6:1,,0,0,Pass73 state_gate_or_flag_router bucket with E7AF-family target pattern.
$40,TableDrivenEventScript_CFCluster,table_driven_scene,medium,unnamed_before_pass80,16,2,17,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 audio:1,$CF:15 $00:1 $B4:1,,,0,0,Structural table-driven cluster named by dominant CF pattern.
$41,ToolSelectedEventToolMirrorRouter_D,tool_interaction,medium,unnamed_before_pass80,16,2,18,unknown_opcode_cluster_needs_manual_decode,low,unknown:16 flags_values:1 audio:1,$A9:15 $47:1 $00:1 $B4:1,tool_selected_or_event_tool_mirror:1,,0,0,Fourth tool_selected_or_event_tool_mirror routing cluster.
$42,AudioCueMusicSequenceTable_B,audio_sequence,high,unnamed_before_pass80,16,3,1796,audio_sfx_or_tablelike_event_stub,medium,audio:1794 unknown:2,$00:1794 $B4:2,,,0,0,Large audio/SFX tablelike group dominated by PlayAudioOrMusic.
$43,GiftReactionHouseFamilyDialogRouter,dialog_anchor,high,pass79_dialog_named,16,6,231,state_gate_or_flag_router,medium,conditional:82 script_control:48 cc_state_object:45 dialog_text:20 unknown:15 flags_values:10,$12:48 $14:28 $15:21 $1A:20 $1C:20 $41:14 $45:14 $F1:11,$7F1F5E:15 player_house_and_event_flags:12 hour:11 old_item_on_hand_or_event_item_mirror:8 current_graphic_preset_mirror_or_scene_state:6,Text_$0212:2 Text_$0200:1 Text_$01D9:1 Text_$03B2:1 Text_$03B3:1,186,67,Pass79 direct-dialog anchor preserved.
$44,NpcGiftFestivalLivestockDialogRouter,dialog_anchor,high,pass79_dialog_named,16,6,523,family_romance_dialogue_matrix,high,conditional:172 script_control:140 dialog_text:120 cc_state_object:54 time_rng_palette:15 player_camera_motion:11,$12:132 $1C:120 $15:67 $14:45 $41:39 $16:25 $45:20 $17:15,old_item_on_hand_or_event_item_mirror:38 family_event_flags:25 season:20 current_graphic_preset_mirror_or_scene_state:10 player_house_and_event_flags:10,Text_$0212:9 Text_$0200:5 Text_$03B2:5 Text_$01BD:5 Text_$041D:5,120,55,Pass79 direct-dialog anchor preserved.
$45,FamilyCelebrationBirthdayDialogues,dialog_anchor,high,pass79_dialog_named,16,7,166,state_gate_or_flag_router,medium,script_control:52 conditional:50 cc_state_object:20 dialog_text:18 flags_values:10 unknown:10,$12:46 $14:24 $1C:18 $23:10 $A7:10 $45:8 $1A:8 $18:8,marriage_flags:20 hour:4 kid1_age:4 old_item_on_hand_or_event_item_mirror:4 kid2_age:4,Text_$01C2:8 Text_$041D:2 Text_$041E:2 Text_$01D9:2 Text_$01C0:2,18,6,Pass79 direct-dialog anchor preserved.
$46,ShippingLivestockStatusDialogues,dialog_anchor,high,pass79_dialog_named,16,14,29,mixed_event_script,medium,unknown:16 audio:13,$00:13 $B4:13 $AE:3,,,23,23,Pass79 direct-dialog anchor preserved.
$47,StewCookingPotDialogueAlias,dialog_anchor,medium,pass79_dialog_named,32,31,657,mixed_event_script,medium,eventcmd_51_59_extended:545 flags_values:50 audio:30 unknown:30 script_control:2,$58:545 $23:30 $00:30 $B4:30 $47:20 $10:2,$7F1F60:23 tool_selected_or_event_tool_mirror:4 tool_backpack_or_event_tool_mirror:2,,1,1,Pass79 direct-dialog anchor preserved with alias-level confidence.
