group,group_semantic_name,group_category,entries,entry_aliases,alias_coverage_percent,direct_text_anchor,group_semantic_structural,table_structural_alias,top_confidence,sample_aliases
$0F,TableDrivenTransitionScript_D8Cluster_A,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G0F_Entry000_TableDrivenTransitionScriptD8ClusterA_ObjectVisual | EventScript_G0F_Entry001_TableDrivenTransitionScriptD8ClusterA_ObjectVisual | EventScript_G0F_Entry002_TableDrivenTransitionScriptD8ClusterA_ObjectVisual
$10,EventCore2TableDrivenSceneRouter,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G10_Entry000_EventCore2TableDrivenSceneRouter_Transition | EventScript_G10_Entry001_EventCore2TableDrivenSceneRouter_SpecialInlineData | EventScript_G10_Entry002_EventCore2TableDrivenSceneRouter_SpecialInlineData
$11,TableDrivenEventScript_C0Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G11_Entry000_TableDrivenEventScriptC0Cluster_ToolInteraction | EventScript_G11_Entry001_TableDrivenEventScriptC0Cluster_StructuralPayload | EventScript_G11_Entry002_TableDrivenEventScriptC0Cluster_StructuralPayload
$12,EventCore3TableDrivenSceneRouter,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G12_Entry000_EventCore3TableDrivenSceneRouter_ToolInteraction | EventScript_G12_Entry001_EventCore3TableDrivenSceneRouter_SpecialInlineData | EventScript_G12_Entry002_EventCore3TableDrivenSceneRouter_SpecialInlineData
$13,TableDrivenEventScript_F2Cluster_A,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G13_Entry000_TableDrivenEventScriptF2ClusterA_ToolInteraction | EventScript_G13_Entry001_TableDrivenEventScriptF2ClusterA_StructuralPayload | EventScript_G13_Entry002_TableDrivenEventScriptF2ClusterA_StructuralPayload
$14,StateGateFlagRouter_MiscA,state_gate_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G14_Entry000_StateGateFlagRouterMiscA_ToolInteraction | EventScript_G14_Entry001_StateGateFlagRouterMiscA_ObjectVisual | EventScript_G14_Entry002_StateGateFlagRouterMiscA_ObjectVisual
$15,RanchToolManualAndWorkResultDialogue,dialog_anchor,16,16,100.000,1,15,0,medium_high_structural:15 high_text_named:1,EventScript_G15_Entry000_EveLivestockRanchLivestock | EventScript_G15_Entry001_RanchToolManualAndWorkResultDialogue_StructuralPayload | EventScript_G15_Entry002_RanchToolManualAndWorkResultDialogue_StructuralPayload
$16,CCObjectParam3SetupCluster,object_visual_setup,16,16,100.000,0,16,0,medium_structural:16,EventScript_G16_Entry000_CCObjectParam3SetupCluster_ToolInteraction | EventScript_G16_Entry001_CCObjectParam3SetupCluster_ObjectParamSetup | EventScript_G16_Entry002_CCObjectParam3SetupCluster_ObjectParamSetup
$17,TableDrivenEventScript_E5Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G17_Entry000_TableDrivenEventScriptE5Cluster_AudioCue | EventScript_G17_Entry001_TableDrivenEventScriptE5Cluster_StructuralPayload | EventScript_G17_Entry002_TableDrivenEventScriptE5Cluster_StructuralPayload
$18,TableDrivenEventScript_B5Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G18_Entry000_TableDrivenEventScriptB5Cluster_ScriptFlow | EventScript_G18_Entry001_TableDrivenEventScriptB5Cluster_StructuralPayload | EventScript_G18_Entry002_TableDrivenEventScriptB5Cluster_StructuralPayload
$19,TableDrivenEventScript_F3Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G19_Entry000_TableDrivenEventScriptF3Cluster_ToolInteraction | EventScript_G19_Entry001_TableDrivenEventScriptF3Cluster_ToolInteraction | EventScript_G19_Entry002_TableDrivenEventScriptF3Cluster_StructuralPayload
$1A,TableDrivenEventScript_D3Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G1A_Entry000_TableDrivenEventScriptD3Cluster_ToolInteraction | EventScript_G1A_Entry001_TableDrivenEventScriptD3Cluster_ToolInteraction | EventScript_G1A_Entry002_TableDrivenEventScriptD3Cluster_StructuralPayload
$1B,TableDrivenEventScript_F2Cluster_B,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G1B_Entry000_TableDrivenEventScriptF2ClusterB_ToolInteraction | EventScript_G1B_Entry001_TableDrivenEventScriptF2ClusterB_AudioCue | EventScript_G1B_Entry002_TableDrivenEventScriptF2ClusterB_StructuralPayload
$1C,TableDrivenEventScript_5CCluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G1C_Entry000_TableDrivenEventScript5CCluster_ToolInteraction | EventScript_G1C_Entry001_TableDrivenEventScript5CCluster_AudioCue | EventScript_G1C_Entry002_TableDrivenEventScript5CCluster_ToolInteraction
$1D,TableDrivenEventScript_9ACluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G1D_Entry000_TableDrivenEventScript9ACluster_ToolInteraction | EventScript_G1D_Entry001_TableDrivenEventScript9ACluster_ScriptFlow | EventScript_G1D_Entry002_TableDrivenEventScript9ACluster_ToolInteraction
$1E,TableDrivenEventScript_5FCluster_A,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G1E_Entry000_TableDrivenEventScript5FClusterA_ToolInteraction | EventScript_G1E_Entry001_TableDrivenEventScript5FClusterA_StructuralPayload | EventScript_G1E_Entry002_TableDrivenEventScript5FClusterA_StructuralPayload
$1F,ChickenDogHeldItemContextCluster_A,held_item_context,16,16,100.000,0,16,0,medium_structural:16,EventScript_G1F_Entry000_ChickenDogHeldItemContextClusterA_ToolInteraction | EventScript_G1F_Entry001_ChickenDogHeldItemContextClusterA_ToolInteraction | EventScript_G1F_Entry002_ChickenDogHeldItemContextClusterA_ToolInteraction
$20,MolePickupEventCluster,item_object_interaction,16,16,100.000,0,16,0,medium_structural:16,EventScript_G20_Entry000_MolePickupEventCluster_ToolInteraction | EventScript_G20_Entry001_MolePickupEventCluster_MolePickup | EventScript_G20_Entry002_MolePickupEventCluster_MolePickup
$21,TableDrivenEventScript_F8Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G21_Entry000_TableDrivenEventScriptF8Cluster_ScriptFlow | EventScript_G21_Entry001_TableDrivenEventScriptF8Cluster_StructuralPayload | EventScript_G21_Entry002_TableDrivenEventScriptF8Cluster_StructuralPayload
$22,ToolStopOrWaitInteractionCluster,tool_interaction,16,16,100.000,0,16,0,medium_structural:16,EventScript_G22_Entry000_ToolStopOrWaitInteractionCluster_ToolInteraction | EventScript_G22_Entry001_ToolStopOrWaitInteractionCluster_ToolInteraction | EventScript_G22_Entry002_ToolStopOrWaitInteractionCluster_ToolInteraction
$23,TableDrivenEventScript_75Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G23_Entry000_TableDrivenEventScript75Cluster_Transition | EventScript_G23_Entry001_TableDrivenEventScript75Cluster_StructuralPayload | EventScript_G23_Entry002_TableDrivenEventScript75Cluster_StructuralPayload
$24,FestivalTomorrowAnnouncementDialogues,dialog_anchor,16,16,100.000,4,12,0,medium_high_structural:12 medium_single_text_anchor:3 high_text_named:1,EventScript_G24_Entry000_EveFestivalWeather | EventScript_G24_Entry001_EveEventDialogSign | EventScript_G24_Entry002_Eve
$25,CutsceneObjectTransitionSetup,cutscene_object_transition,16,16,100.000,0,16,0,medium_structural:16,EventScript_G25_Entry000_CutsceneObjectTransitionSetup_Transition | EventScript_G25_Entry001_CutsceneObjectTransitionSetup_ObjectParamSetup | EventScript_G25_Entry002_CutsceneObjectTransitionSetup_ObjectParamSetup
$26,StewCookingPotEventDialogue,dialog_anchor,16,16,100.000,1,15,0,medium_high_structural:15 high_text_named:1,EventScript_G26_Entry000_Eve | EventScript_G26_Entry001_StewCookingPotEventDialogue_ObjectVisual | EventScript_G26_Entry002_StewCookingPotEventDialogue_StructuralPayload
$27,TableDrivenEventScript_EBCluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G27_Entry000_TableDrivenEventScriptEBCluster_ObjectVisual | EventScript_G27_Entry001_TableDrivenEventScriptEBCluster_ObjectVisual | EventScript_G27_Entry002_TableDrivenEventScriptEBCluster_ObjectVisual
$28,CrossBankStatePointerRouter_A,state_gate_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G28_Entry000_CrossBankStatePointerRouterA_ObjectVisual | EventScript_G28_Entry001_CrossBankStatePointerRouterA_ObjectVisual | EventScript_G28_Entry002_CrossBankStatePointerRouterA_ObjectVisual
$29,TableDrivenTransitionScript_D8Cluster_B,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G29_Entry000_TableDrivenTransitionScriptD8ClusterB_ScriptFlow | EventScript_G29_Entry001_TableDrivenTransitionScriptD8ClusterB_StructuralPayload | EventScript_G29_Entry002_TableDrivenTransitionScriptD8ClusterB_StructuralPayload
$2A,CrossBankStatePointerRouter_B,state_gate_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G2A_Entry000_CrossBankStatePointerRouterB_ObjectVisual | EventScript_G2A_Entry001_CrossBankStatePointerRouterB_FlagState | EventScript_G2A_Entry002_CrossBankStatePointerRouterB_FlagState
$2B,TableDrivenEventScript_68Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G2B_Entry000_TableDrivenEventScript68Cluster_ObjectVisual | EventScript_G2B_Entry001_TableDrivenEventScript68Cluster_StructuralPayload | EventScript_G2B_Entry002_TableDrivenEventScript68Cluster_StructuralPayload
$2C,TableDrivenEventScript_A4Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G2C_Entry000_TableDrivenEventScriptA4Cluster_ObjectVisual | EventScript_G2C_Entry001_TableDrivenEventScriptA4Cluster_StructuralPayload | EventScript_G2C_Entry002_TableDrivenEventScriptA4Cluster_StructuralPayload
$2D,StateGateFlagRouter_C6F1,state_gate_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G2D_Entry000_StateGateFlagRouterC6F1_Transition | EventScript_G2D_Entry001_StateGateFlagRouterC6F1_ConditionalJump | EventScript_G2D_Entry002_StateGateFlagRouterC6F1_ConditionalJump
$2E,GameStateTransitionBranchCluster,transition_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G2E_Entry000_GameStateTransitionBranchCluster_AudioCue | EventScript_G2E_Entry001_GameStateTransitionBranchCluster_Transition | EventScript_G2E_Entry002_GameStateTransitionBranchCluster_Transition
$2F,TableDrivenEventScript_E3Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G2F_Entry000_TableDrivenEventScriptE3Cluster_AudioCue | EventScript_G2F_Entry001_TableDrivenEventScriptE3Cluster_StructuralPayload | EventScript_G2F_Entry002_TableDrivenEventScriptE3Cluster_StructuralPayload
$30,ItemMoneyShippingAnimationInteraction,item_money_shipping,16,16,100.000,0,16,0,medium_high_structural:16,EventScript_G30_Entry000_ItemMoneyShippingAnimationInteraction_AudioCue | EventScript_G30_Entry001_ItemMoneyShippingAnimationInteraction_AnimationSetup | EventScript_G30_Entry002_ItemMoneyShippingAnimationInteraction_AnimationSetup
$31,TableDrivenEventScript_5FCluster_B,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G31_Entry000_TableDrivenEventScript5FClusterB_AudioCue | EventScript_G31_Entry001_TableDrivenEventScript5FClusterB_StructuralPayload | EventScript_G31_Entry002_TableDrivenEventScript5FClusterB_StructuralPayload
$32,TableDrivenEventScript_76Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G32_Entry000_TableDrivenEventScript76Cluster_AudioCue | EventScript_G32_Entry001_TableDrivenEventScript76Cluster_StructuralPayload | EventScript_G32_Entry002_TableDrivenEventScript76Cluster_StructuralPayload
$33,TableDrivenEventScript_EACluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G33_Entry000_TableDrivenEventScriptEACluster_AudioCue | EventScript_G33_Entry001_TableDrivenEventScriptEACluster_StructuralPayload | EventScript_G33_Entry002_TableDrivenEventScriptEACluster_StructuralPayload
$34,ToolSelectedEventToolMirrorRouter_A,tool_interaction,16,16,100.000,0,16,0,medium_structural:16,EventScript_G34_Entry000_ToolSelectedEventToolMirrorRouterA_Audio | EventScript_G34_Entry001_ToolSelectedEventToolMirrorRouterA_CowContext | EventScript_G34_Entry002_ToolSelectedEventToolMirrorRouterA_CowContext
$35,ToolSelectedEventToolMirrorRouter_B,tool_interaction,16,16,100.000,0,16,0,medium_structural:16,EventScript_G35_Entry000_ToolSelectedEventToolMirrorRouterB_Audio | EventScript_G35_Entry001_ToolSelectedEventToolMirrorRouterB_StructuralPayload | EventScript_G35_Entry002_ToolSelectedEventToolMirrorRouterB_StructuralPayload
$36,TableDrivenEventScript_ECCluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G36_Entry000_TableDrivenEventScriptECCluster_AudioCue | EventScript_G36_Entry001_TableDrivenEventScriptECCluster_StructuralPayload | EventScript_G36_Entry002_TableDrivenEventScriptECCluster_StructuralPayload
$37,ToolSelectedEventToolMirrorRouter_C,tool_interaction,16,16,100.000,0,16,0,medium_structural:16,EventScript_G37_Entry000_ToolSelectedEventToolMirrorRouterC_Audio | EventScript_G37_Entry001_ToolSelectedEventToolMirrorRouterC_StructuralPayload | EventScript_G37_Entry002_ToolSelectedEventToolMirrorRouterC_StructuralPayload
$38,ChickenDogHeldItemContextCluster_B,held_item_context,16,16,100.000,0,16,0,medium_structural:16,EventScript_G38_Entry000_ChickenDogHeldItemContextClusterB_AudioCue | EventScript_G38_Entry001_ChickenDogHeldItemContextClusterB_DogContext | EventScript_G38_Entry002_ChickenDogHeldItemContextClusterB_DogContext
$39,TableDrivenEventScript_92Cluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G39_Entry000_TableDrivenEventScript92Cluster_AudioCue | EventScript_G39_Entry001_TableDrivenEventScript92Cluster_StructuralPayload | EventScript_G39_Entry002_TableDrivenEventScript92Cluster_StructuralPayload
$3A,MoneyChangeInteractionCluster,item_money_shipping,16,16,100.000,0,16,0,medium_high_structural:16,EventScript_G3A_Entry000_MoneyChangeInteractionCluster_AudioCue | EventScript_G3A_Entry001_MoneyChangeInteractionCluster_AudioCue | EventScript_G3A_Entry002_MoneyChangeInteractionCluster_MoneyChange
$3B,TableDrivenEventScript_EDCluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G3B_Entry000_TableDrivenEventScriptEDCluster_AudioCue | EventScript_G3B_Entry001_TableDrivenEventScriptEDCluster_AudioCue | EventScript_G3B_Entry002_TableDrivenEventScriptEDCluster_StructuralPayload
$3C,B4InlineTileObjectPayloadCluster,tile_object_payload,16,16,100.000,0,16,0,medium_high_structural:16,EventScript_G3C_Entry000_B4InlineTileObjectPayloadCluster_AudioCue | EventScript_G3C_Entry001_B4InlineTileObjectPayloadCluster_AudioCue | EventScript_G3C_Entry002_B4InlineTileObjectPayloadCluster_StructuralPayload
$3D,JumpIf018FStateRouter,state_gate_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G3D_Entry000_JumpIf018FStateRouter_AudioCue | EventScript_G3D_Entry001_JumpIf018FStateRouter_AudioCue | EventScript_G3D_Entry002_JumpIf018FStateRouter_ConditionalJump
$3E,CCObjectParam2DSetupCluster,object_visual_setup,16,16,100.000,0,16,0,medium_structural:16,EventScript_G3E_Entry000_CCObjectParam2DSetupCluster_AudioCue | EventScript_G3E_Entry001_CCObjectParam2DSetupCluster_ObjectParamSetup | EventScript_G3E_Entry002_CCObjectParam2DSetupCluster_ObjectParamSetup
$3F,StateGateFlagRouter_E7AF,state_gate_router,16,16,100.000,0,16,0,medium_structural:16,EventScript_G3F_Entry000_StateGateFlagRouterE7AF_AudioCue | EventScript_G3F_Entry001_StateGateFlagRouterE7AF_ConditionalJump | EventScript_G3F_Entry002_StateGateFlagRouterE7AF_ConditionalJump
$40,TableDrivenEventScript_CFCluster,table_driven_scene,16,16,100.000,0,0,16,medium_structural:16,EventScript_G40_Entry000_TableDrivenEventScriptCFCluster_AudioCue | EventScript_G40_Entry001_TableDrivenEventScriptCFCluster_StructuralPayload | EventScript_G40_Entry002_TableDrivenEventScriptCFCluster_StructuralPayload
$41,ToolSelectedEventToolMirrorRouter_D,tool_interaction,16,16,100.000,0,16,0,medium_structural:16,EventScript_G41_Entry000_ToolSelectedEventToolMirrorRouterD_Audio | EventScript_G41_Entry001_ToolSelectedEventToolMirrorRouterD_StructuralPayload | EventScript_G41_Entry002_ToolSelectedEventToolMirrorRouterD_StructuralPayload
$42,AudioCueMusicSequenceTable_B,audio_sequence,16,16,100.000,0,16,0,medium_high_structural:16,EventScript_G42_Entry000_AudioCueMusicSequenceTableB_AudioCue | EventScript_G42_Entry001_AudioCueMusicSequenceTableB_AudioCue | EventScript_G42_Entry002_AudioCueMusicSequenceTableB_AudioCue
$43,GiftReactionHouseFamilyDialogRouter,dialog_anchor,16,16,100.000,5,11,0,medium_high_structural:11 high_text_named:5,EventScript_G43_Entry000_AnnEveLivestock | EventScript_G43_Entry001_AnnEveLivestock | EventScript_G43_Entry002_AnnEveLivestock
$44,NpcGiftFestivalLivestockDialogRouter,dialog_anchor,16,16,100.000,5,11,0,medium_high_structural:11 high_text_named:5,EventScript_G44_Entry000_AnnEveLivestock | EventScript_G44_Entry001_AnnEveLivestock | EventScript_G44_Entry002_AnnEveLivestock
$45,FamilyCelebrationBirthdayDialogues,dialog_anchor,16,16,100.000,2,14,0,medium_high_structural:14 high_text_named:2,EventScript_G45_Entry000_EveFamilyGift | EventScript_G45_Entry001_FamilyCelebrationBirthdayDialogues_ConditionalJump | EventScript_G45_Entry002_FamilyCelebrationBirthdayDialogues_ConditionalJump
$46,ShippingLivestockStatusDialogues,dialog_anchor,16,16,100.000,1,15,0,medium_high_structural:15 high_text_named:1,EventScript_G46_Entry000_ShippingLivestockStatusDialogues_AudioCue | EventScript_G46_Entry001_ShippingLivestockStatusDialogues_AudioCue | EventScript_G46_Entry002_ShippingLivestockStatusDialogues_AudioCue
$47,StewCookingPotDialogueAlias,dialog_anchor,32,32,100.000,1,31,0,medium_structural:31 medium_single_text_anchor:1,EventScript_G47_Entry000_StewCookingPotDialogueAlias_Audio | EventScript_G47_Entry001_StewCookingPotDialogueAlias_Audio | EventScript_G47_Entry002_StewCookingPotDialogueAlias_Audio
