group,entry,target,residual_addr,hard_group_end,pass73_category,pass74_category,reason,residual_byte,cmd_index,first_bytes_at_residual,pass75_category,pass75_reason,pass75_status,pass76_category,pass76_reason,pass76_status
$02,4,$B3B8D2,$B3B917,$B3BA39,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$F3,16,$F3 $B9 $12 $13 $B9 $4D $25 $B9 $1F $2A $BA $12 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$03,0,$B3BA59,$B3BAD6,$B3C507,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$DB,22,$DB $BA $12 $D5 $BA $1D $C3 $01 $00 $20 $00 $E7 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$09,0,$B3E623,$B3E6D2,$B3E83B,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$5C,60,$5C $1F $7F $02 $10 $1A $D8 $FF $78 $00 $50 $84 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,still_remaining_after_dynamic_target_payload_model,This residual remains after correcting EventCmd $1E/$1F to consume/read a 16-bit target payload.,needs_manual_trace
$0B,8,$B3EE1A,$B3EE51,$B3EF5A,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$EE,15,$EE $12 $4F $EE $1C $2B $01 $00 $12 $4F $EE $1C ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$0B,9,$B3EE1A,$B3EE51,$B3EF5A,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$EE,15,$EE $12 $4F $EE $1C $2B $01 $00 $12 $4F $EE $1C ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$15,0,$B48C45,$B48C70,$B48D38,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$7B,16,$7B $8C $12 $6F $8C $1F $DD $8C $12 $75 $8C $23 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$24,0,$B4A475,$B4A486,$B4A5B5,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$7B,5,$7B $02 $01 $0D $01 $00 $80 $01 $13 $1E $00 $15 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,still_remaining_after_dynamic_target_payload_model,This residual remains after correcting EventCmd $1E/$1F to consume/read a 16-bit target payload.,needs_manual_trace
$24,1,$B4A531,$B4A542,$B4A5B5,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$9B,5,$9B $02 $01 $0D $01 $00 $80 $01 $13 $1E $00 $1C ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,still_remaining_after_dynamic_target_payload_model,This residual remains after correcting EventCmd $1E/$1F to consume/read a 16-bit target payload.,needs_manual_trace
$24,2,$B4A55D,$B4A56E,$B4A5B5,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$5F,5,$5F $02 $01 $0D $01 $00 $80 $01 $13 $1E $00 $1C ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,still_remaining_after_dynamic_target_payload_model,This residual remains after correcting EventCmd $1E/$1F to consume/read a 16-bit target payload.,needs_manual_trace
$24,3,$B4A589,$B4A59A,$B4A5B5,short_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$5F,5,$5F $02 $01 $0D $01 $00 $80 $01 $13 $1E $00 $1C ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,still_remaining_after_dynamic_target_payload_model,This residual remains after correcting EventCmd $1E/$1F to consume/read a 16-bit target payload.,needs_manual_trace
$43,0,$B58020,$B58097,$B597D1,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$CD,21,$CD $84 $12 $96 $80 $15 $1E $09 $80 $02 $DE $80 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$43,1,$B584DA,$B58551,$B597D1,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$83,21,$83 $89 $12 $50 $85 $15 $1E $09 $80 $02 $91 $85 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$43,2,$B58990,$B58A12,$B597D1,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$68,25,$68 $8A $16 $1E $09 $80 $10 $17 $68 $8A $16 $1E ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
$43,4,$B59313,$B5938A,$B597D1,long_script_then_inline_residual_payload,true_in_group_inline_residual_needs_manual_trace,residual is still inside the hard owning group range; needs manual event/content analysis,$C4,21,$C4 $97 $12 $89 $93 $15 $1E $09 $80 $02 $D1 $93 ...,non_b4_inline_residual_needs_trace,true in-group residual not covered by the repeated $B4 tile/object payload pattern.,needs_manual_trace,eventcmd_1e_1f_dynamic_target_payload_closed,This residual was the low byte of the dynamic 16-bit target consumed/read by EventCmd $1E/$1F; not an opcode gap.,closed_by_payload_model
