opcode,address,symbol,status
$2F,$849810,EventCmd_2F_SetSlotShortState,covered_by_dispatch_comment
$30,$849857,EventCmd_30_ChickenRelated,covered_by_dispatch_comment
$31,$849AD4,EventCmd_31_CowRelated,covered_by_dispatch_comment
$32,$84A90F,EventCmd_32_StoreValue,covered_by_dispatch_comment
$33,$84A94C,EventCmd_33_PickupMoleRelated,covered_by_dispatch_comment
$34,$84AA5D,EventCmd_34_FishingRelated,covered_by_dispatch_comment
$35,$84AB27,EventCmd_35_PlayerPositionCheck,covered_by_dispatch_comment
$36,$84AF06,EventCmd_36_DogRelated,covered_by_dispatch_comment
$37,$84B34B,EventCmd_37_ClearAttachedObjectSlot,covered_by_dispatch_comment
$38,$84B365,EventCmd_38_WaitForFieldMenuGateFlag,covered_by_dispatch_comment
$39,$84B389,EventCmd_39_SetSlotState12,covered_by_dispatch_comment
$3A,$84B427,EventCmd_3A_SetSlotState13,covered_by_dispatch_comment
$3B,$84B4DC,EventCmd_3B_ChangeItemOnHand,covered_by_dispatch_comment
$3C,$84B503,EventCmd_3C_TransitionToHouse,covered_by_dispatch_comment
$3D,$84B52D,EventCmd_3D_TransitionToArea,covered_by_dispatch_comment
$3E,$84B556,EventCmd_3E_SetItemOnHand,covered_by_dispatch_comment
$3F,$84B57B,EventCmd_3F_DropItemAnimation,covered_by_dispatch_comment
$40,$84B58F,EventCmd_40_SetFlag5CState,covered_by_dispatch_comment
$41,$84B5A9,EventCmd_41_SetSlotState14,covered_by_dispatch_comment
$42,$84B602,EventCmd_42_ChangeMoney,covered_by_dispatch_comment
$43,$84B666,EventCmd_43_JumpIfWordValueEquals,covered_by_dispatch_comment
$44,$84B6BC,EventCmd_44_JumpIfLongValueEquals,covered_by_dispatch_comment
$45,$84B72D,EventCmd_45_JumpIfWordValueBetween,covered_by_dispatch_comment
$46,$84B79A,EventCmd_46_JumpIfLongValueBetween,covered_by_dispatch_comment
$47,$84B84C,EventCmd_47_SetByteValue,covered_by_dispatch_comment
$48,$84B889,EventCmd_48_SetLongValue,covered_by_dispatch_comment
$49,$84B8D9,EventCmd_49_SetSlotState15,covered_by_dispatch_comment
$4A,$84B93C,EventCmd_4A_GiveHeldItem08OnAButton,covered_by_dispatch_comment
$4B,$84BA10,EventCmd_4B_EditTileOnMap,covered_by_dispatch_comment
$4C,$84BA51,EventCmd_4C_SetSlotState16,covered_by_dispatch_comment
$4D,$84BA72,EventCmd_4D_SetSlotState17,covered_by_dispatch_comment
$4E,$84BB31,EventCmd_4E_ResetFlag5CState,covered_by_dispatch_comment
$4F,$84BB4B,EventCmd_4F_SetFlag60State,covered_by_dispatch_comment
$50,$84BBDA,EventCmd_50_ChickenRelated2,covered_by_dispatch_comment
$51,$84BC9C,EventCmd_51_UseChickenDogOrHeldItemContext,covered_by_dispatch_comment
$52,$84BD44,EventCmd_52_WaitForAButtonSetInteractionFlag02,covered_by_dispatch_comment
$53,$84BE0D,EventCmd_53_WaitForAButtonSetInteractionFlag04,covered_by_dispatch_comment
$54,$84BED6,EventCmd_54_StartTextBoxAndAdvanceSlot,covered_by_dispatch_comment
$55,$84BF20,EventCmd_55_JumpIfIndirectBitClear,covered_by_dispatch_comment
$56,$84BF81,EventCmd_56_StartSelectedToolAction,covered_by_dispatch_comment
$57,$84BFA0,EventCmd_57_ApplyStaminaDelta,covered_by_dispatch_comment
$58,$84BFBF,EventCmd_58_EditTileAndSetRuntimeFlag,covered_by_dispatch_comment
$59,$84C000,EventCmd_59_SetPlayerAction1C,covered_by_dispatch_comment
