group,entry,target,pass79_proposed_alias,direct_dialog_cmds,unique_text_ids,top_categories,top_roles,confidence,sample_text_labels,sample_previews
$04,4,$B3C92A,EventScript_G04_Entry004_EveEllenLivestock,18,17,Dialog:13 Weather:3 Animal:1 Romance:1,npc_or_event_dialogue:12 weather_forecast_system:3 family_romance_gift_context:2 npc_ellen_romance_or_family:1,high_text_named,Text_1C7_Dialog_WhoPlayingJokeYoungMan Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_050_Animal_EatSomethingTiredCakesBest Text_1ED_Romance_EllensBirdFlewAwayPretty Text_3BC_Dialog_GiveMe,Who are you playing a joke on:young man? | Thank you. | What? I can't take this kindof stuff.
$04,5,$B3CA98,EventScript_G04_Entry005_MariaEveFortune,12,11,Dialog:5 Romance:4 Sign:2 Weather:1,npc_or_event_dialogue:5 romance_or_marriage_dialogue:4 npc_maria_romance_or_family:1 weather_context:1 event_dialogue_unknown_specific_owner:1,high_text_named,Text_1CA_Romance_HaveGiveGirlLoveGirl Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_062_Romance_TheresUsefulBookOverAbout Text_1D1_Mountain_MariaGoWenttoExactlyNortheast Text_1DD_Weather_DirectionWhichWeatherCockWent,You have to give it to the girl you love: OK? To the gi... | Thank you. | What? I can't take this kindof stuff.
$04,6,$B3CB60,EventScript_G04_Entry006_EveLivestockChild,4,4,Dialog:3 Weather:1,npc_or_event_dialogue:2 child_family_event:1 weather_context:1,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_05E_Weather_YoungBoyPutLivestockInside,Hey: you are giving it to a wrong person. | Thank you. | What? I can't take this kindof stuff.
$04,7,$B3CBA5,EventScript_G04_Entry007_EveWeather,4,4,Dialog:3 Weather:1,npc_or_event_dialogue:3 weather_context:1,high_text_named,Text_1C8_Dialog_Come Text_3BC_Dialog_GiveMe Text_3BB_Dialog_TakeKindofStuff Text_150_Weather_ToughWeatherGloomy,"That's it, Come on, | What? Do you give it to me? | What? I can't take this kindof stuff."
$05,0,$B3CC91,EventScript_G05_Entry000_EveChildWeatherForecast,17,14,Dialog:12 Romance:3 Manual:1 Weather:1,npc_or_event_dialogue:11 npc_eve_romance_or_family:2 child_family_event:1 romance_or_marriage_dialogue:1 weather_forecast_system:1,high_text_named,Text_1C9_Dialog_GivingWrongPerson Text_3BC_Dialog_GiveMe Text_3BB_Dialog_TakeKindofStuff Text_069_Dialog_YeahWelcomeMakeYourselfatHome Text_3DD_Romance_CustomersDifferentMonthlySomePeople Text_3DE_Romance_HowsEveDoingBusinessHas,Hey: you are giving it to a wrong person. | What? Do you give it to me? | What? I can't take this kindof stuff.
$06,0,$B3D467,EventScript_G06_Entry000_EveChurchWeatherForecast,16,14,Dialog:13 Weather:3,npc_or_event_dialogue:13 weather_forecast_system:2 weather_context:1,high_text_named,Text_200_Dialog_Thank Text_3B8_Dialog_Want Text_153_Dialog_GoodLordWhatsHappeningPlace Text_400_Dialog_AhMrEdFieldAndmeadow Text_200_Dialog_Thank Text_3B9_Dialog_Trouble,Thank you. | I don't want it. | Good Lord: what's happening here? Hey: Is your place al...
$06,1,$B3D59D,EventScript_G06_Entry001_EveWeatherForecastWeather,4,4,Dialog:3 Weather:1,npc_or_event_dialogue:3 weather_forecast_system:1,high_text_named,Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_15A_Weather_YoudBetterPrayGodDamage Text_16F_Dialog_WasPrettySurprised,Thank you. | ......Th-thank you. | You'd better pray to God that there is no damage fromth...
$06,2,$B3D5E3,EventScript_G06_Entry002_EveLivestockRanchLivestock,12,11,Dialog:8 Weather:3 Romance:1,npc_or_event_dialogue:7 weather_forecast_system:3 ranch_livestock_context:1 npc_eve_romance_or_family:1,high_text_named,Text_200_Dialog_Thank Text_3B9_Dialog_Trouble Text_158_Weather_WindBlowingHarderNowLike Text_16B_Dialog_WasSurprisedRanchAlright Text_43F_Weather_UummmAnswerNowIfSunny Text_178_Dialog_AfraidTooEarly,Thank you. | I could be in trouble. | The wind is blowing harder now. I don't like hurricanes...
$06,3,$B3D6CF,EventScript_G06_Entry003_EveWeatherForecastWeather,12,11,Dialog:8 Weather:4,npc_or_event_dialogue:8 weather_context:2 weather_forecast_system:2,high_text_named,Text_200_Dialog_Thank Text_049_Dialog_Entry Text_156_Weather_SkyLooksThreateningProbablyHave Text_16F_Dialog_WasPrettySurprised Text_43E_Weather_SoundsGoodButNowiSunny Text_176_Dialog_YoureKidding,Thank you. | .... | Oh well: the sky looks threatening. We'll probably have...
$06,4,$B3D7C9,EventScript_G06_Entry004_EveLivestockRanchLivestock,15,14,Dialog:12 Weather:3,npc_or_event_dialogue:10 weather_forecast_system:3 family_romance_gift_context:1 ranch_livestock_context:1,high_text_named,Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_15E_Weather_HangingAroundKnowHurricaneComing Text_402_Dialog_SuchHardTimeHadBut Text_3BC_Dialog_GiveMe Text_051_Dialog_HowdyYoungBoysWhatsUp,Thank you. | What? I can't take this kindof stuff. | What are you hanging around here for? Don't you know a ...
$06,5,$B3D90E,EventScript_G06_Entry005_EveWeatherForecastWeather,8,7,Dialog:6 Weather:2,npc_or_event_dialogue:6 weather_forecast_system:1 weather_context:1,high_text_named,Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_15E_Weather_HangingAroundKnowHurricaneComing Text_168_Dialog_YoudBetterInspect Text_200_Dialog_Thank Text_3BA_Dialog_WhatIsThis,Thank you. | What? I can't take this kindof stuff. | What are you hanging around here for? Don't you know a ...
$06,6,$B3D99B,EventScript_G06_Entry006_EveLivestockChild,6,6,Dialog:3 Weather:2 Romance:1,npc_or_event_dialogue:3 child_family_event:1 npc_eve_romance_or_family:1 livestock_cow_context:1,high_text_named,Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_15B_Weather_SonHurricaneGettingNearHave Text_15C_Romance_KnowEvenIfYoung Text_15D_Dialog_IdiotDoingGoHomePut Text_16C_Weather_CowsSimpleKeepOutGround,Thank you. | What? I can't take this kindof stuff. | Hey:son:the hurricane is getting near. Have you put you...
$07,0,$B3DA17,EventScript_G07_Entry000_MariaEveChurch,20,18,Dialog:12 Romance:4 Sign:1 Animal:1,npc_or_event_dialogue:10 child_family_event:2 event_dialogue_unknown_specific_owner:2 romance_or_marriage_dialogue:2 npc_maria_romance_or_family:1,high_text_named,Text_200_Dialog_Thank Text_1C9_Dialog_GivingWrongPerson Text_393_Sign_MountainTopMysteriousPlaceRecommend Text_1CD_Romance_MariaDadWasWrongCome Text_2AD_Animal_StarNightFestivalSupposedPray Text_3EC_Dialog_YearComingClose,Thank you. | Hey: you are giving it to a wrong person. | The mountain top is a mysterious place. I recommend you...
$07,1,$B3DB72,EventScript_G07_Entry001_MariaEveChurch,6,6,Dialog:3 Animal:1 Romance:1 Church:1,npc_or_event_dialogue:3 event_dialogue_unknown_specific_owner:1 npc_maria_romance_or_family:1 npc_eve_romance_or_family:1 weather_context:1,high_text_named,Text_200_Dialog_Thank Text_1E0_Animal_TraditionAreaCalledBlueFeather Text_397_Dialog_DayLikeTodayGoodTothink Text_1CF_Romance_SeemsMariaFatherArguedOver Text_405_Church_EverybodyComeChurchPrayTomorrow Text_3F0_Dialog_SpringNewYearAreaSt,"Thank you. | That's a tradition in this area called ""Blue feather of... | Day like today: it's good tothink of your life a little..."
$07,2,$B3DBD5,EventScript_G07_Entry002_EveShippingWeatherForecast,13,12,Dialog:7 Weather:2 Romance:1 Animal:1,npc_or_event_dialogue:6 shop_or_purchase_context:2 weather_forecast_system:2 romance_or_marriage_dialogue:1 event_dialogue_unknown_specific_owner:1,high_text_named,Text_200_Dialog_Thank Text_1C6_Romance_SillyMarried Text_394_Animal_SaidHappyFlowerBloomsEat Text_2AE_Dialog_LookSkyItllBeautifulTomorrow Text_3EF_Manual_SpringFinallyReturningSellSeeds Text_43F_Weather_UummmAnswerNowIfSunny,Thank you. | Don't be silly:I'm married. | It is said that a happy flower blooms when you eat aber...
$07,3,$B3DCD1,EventScript_G07_Entry003_AnnEveWife,13,12,Dialog:8 Weather:3 Romance:2,npc_or_event_dialogue:8 romance_or_marriage_dialogue:2 weather_forecast_system:2 npc_ann_romance_or_family:1 weather_context:1,high_text_named,Text_200_Dialog_Thank Text_1CA_Romance_HaveGiveGirlLoveGirl Text_079_Weather_FencesEasyBreakAfterRain Text_1DC_Weather_MadeWeatherCockFormyWife Text_3EE_Dialog_PickTargetFornextYear Text_43E_Weather_SoundsGoodButNowiSunny,Thank you. | You have to give it to the girl you love: OK? To the gi... | Fences are easy to break after rain and snow. Please ma...
$07,4,$B3DDC7,EventScript_G07_Entry004_EveEllenLivestock,17,16,Dialog:11 Weather:4 Romance:1 Church:1,npc_or_event_dialogue:10 weather_forecast_system:4 npc_ellen_romance_or_family:1 family_romance_gift_context:1 event_dialogue_unknown_specific_owner:1,high_text_named,Text_200_Dialog_Thank Text_1C7_Dialog_WhoPlayingJokeYoungMan Text_395_Dialog_WorkingHardKnowFoodLazy Text_1ED_Romance_EllensBirdFlewAwayPretty Text_3EC_Dialog_YearComingClose Text_1C8_Dialog_Come,Thank you. | Who are you playing a joke on:young man? | Are you working hard? You know: No food for lazy worker...
$07,5,$B3DF0F,EventScript_G07_Entry005_MariaEveWeather,11,10,Dialog:4 Romance:2 Sign:2 Weather:2,npc_or_event_dialogue:3 romance_or_marriage_dialogue:2 weather_context:2 event_dialogue_unknown_specific_owner:2 money_context:1,high_text_named,Text_200_Dialog_Thank Text_1CA_Romance_HaveGiveGirlLoveGirl Text_398_Dialog_DieWithoutMoneyMoneyNecessary Text_1D1_Mountain_MariaGoWenttoExactlyNortheast Text_1DD_Weather_DirectionWhichWeatherCockWent Text_1E6_Romance_MmmmGirlFellDownDark,Thank you. | You have to give it to the girl you love: OK? To the gi... | You won't die without money.Money is not necessary to l...
$07,6,$B3DFCE,EventScript_G07_Entry006_EveEllenLivestock,5,5,Dialog:2 Weather:1 Romance:1 Animal:1,npc_or_event_dialogue:1 child_family_event:1 weather_context:1 npc_ellen_romance_or_family:1 event_dialogue_unknown_specific_owner:1,high_text_named,Text_200_Dialog_Thank Text_1C9_Dialog_GivingWrongPerson Text_05E_Weather_YoungBoyPutLivestockInside Text_1F0_Romance_EllenDependsLookAfter Text_146_Animal_LongWinterFinallyOverAnimals,"Thank you. | Hey: you are giving it to a wrong person. | Hey:young boy, Put your livestock inside the pen before..."
$07,7,$B3E037,EventScript_G07_Entry007_EveWeather,4,4,Dialog:3 Weather:1,npc_or_event_dialogue:3 weather_context:1,high_text_named,Text_3BC_Dialog_GiveMe Text_1C8_Dialog_Come Text_150_Weather_ToughWeatherGloomy Text_3F6_Dialog_WasGoodYearTryBest,"What? Do you give it to me? | That's it, Come on, | Hey: it's tough when the weather is gloomy."
$08,0,$B3E0DF,EventScript_G08_Entry000_EveLivestockChurch,11,10,Dialog:10 Weather:1,npc_or_event_dialogue:9 weather_forecast_system:1 ranch_livestock_context:1,high_text_named,Text_200_Dialog_Thank Text_3B9_Dialog_Trouble Text_401_Dialog_ImportantHumanOvercomeDifficulties Text_43D_Weather_ThankButAnsweryouRightNow Text_174_Dialog_HaventThoughtAboutitYet Text_16B_Dialog_WasSurprisedRanchAlright,Thank you. | I could be in trouble. | It's important for a human to overcome difficulties.
$08,1,$B3E1C9,EventScript_G08_Entry001_EveRomance,6,5,Dialog:5 Romance:1,npc_or_event_dialogue:5 npc_eve_romance_or_family:1,high_text_named,Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_411_Dialog_AllRightFeelEaseKnowing Text_200_Dialog_Thank Text_3B8_Dialog_Want Text_16D_Romance_SeemsChangesEverywhereCausedEarthquake,Thank you. | ......Th-thank you. | Are you all right? I feel ease knowing no one was hurt....
$08,2,$B3E232,EventScript_G08_Entry002_EveLivestockRanchLivestock,11,10,Dialog:9 Weather:1 Romance:1,npc_or_event_dialogue:8 ranch_livestock_context:1 weather_forecast_system:1 npc_eve_romance_or_family:1,high_text_named,Text_200_Dialog_Thank Text_3B9_Dialog_Trouble Text_16B_Dialog_WasSurprisedRanchAlright Text_43F_Weather_UummmAnswerNowIfSunny Text_178_Dialog_AfraidTooEarly Text_200_Dialog_Thank,Thank you. | I could be in trouble. | I was surprised.Is your ranch alright?
$08,3,$B3E31F,EventScript_G08_Entry003_EveWeatherForecastWeather,11,9,Dialog:10 Weather:1,npc_or_event_dialogue:10 weather_forecast_system:1,high_text_named,Text_200_Dialog_Thank Text_049_Dialog_Entry Text_16F_Dialog_WasPrettySurprised Text_43E_Weather_SoundsGoodButNowiSunny Text_176_Dialog_YoureKidding Text_200_Dialog_Thank,Thank you. | .... | Oh yes:I was pretty surprised.
$08,4,$B3E413,EventScript_G08_Entry004_EveLivestockWeatherForecast,11,10,Dialog:9 Romance:1 Weather:1,npc_or_event_dialogue:9 romance_or_marriage_dialogue:1 weather_forecast_system:1,high_text_named,Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_402_Dialog_SuchHardTimeHadBut Text_3BC_Dialog_GiveMe Text_3C9_Romance_LotThingsHappenWhileAlive Text_412_Dialog_SurpriseUsSayingSomethingDecent,"Thank you. | What? I can't take this kindof stuff. | Such a hard time you had, But experience teaches you al..."
$08,5,$B3E4ED,EventScript_G08_Entry005_Eve,6,5,Dialog:6,npc_or_event_dialogue:6,high_text_named,Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_168_Dialog_YoudBetterInspect Text_200_Dialog_Thank Text_3BA_Dialog_WhatIsThis Text_413_Dialog_WasTerrifiedWasMyFirst,Thank you. | What? I can't take this kindof stuff. | You'd better inspect here and there.
$08,6,$B3E560,EventScript_G08_Entry006_EveLivestockCow,3,3,Dialog:2 Weather:1,npc_or_event_dialogue:2 livestock_cow_context:1,high_text_named,Text_200_Dialog_Thank Text_3BB_Dialog_TakeKindofStuff Text_16C_Weather_CowsSimpleKeepOutGround,Thank you. | What? I can't take this kindof stuff. | Cows are simple. So don't keep them out on the ground w...
$08,7,$B3E59A,EventScript_G08_Entry007_EveEventDialogSign,6,4,Dialog:5 Sign:1,npc_or_event_dialogue:5 event_dialogue_unknown_specific_owner:1,high_text_named,Text_3BC_Dialog_GiveMe Text_3BB_Dialog_TakeKindofStuff Text_414_Dialog_SeeRockUpCollapsed Text_3BC_Dialog_GiveMe Text_3BB_Dialog_TakeKindofStuff Text_415_Sign_HeardMysteriousSpringMountainRemember,What? Do you give it to me? | What? I can't take this kindof stuff. | Did you see the rock up there collapsed?
$0B,8,$B3EE1A,EventScript_G0B_Entry008_EveAnglerEventDialog,2,2,Sign:2,event_dialogue_unknown_specific_owner:2,high_text_named,Text_12B_Mountain_AnglerLivePerfectFreedomBetter Text_12C_Mountain_PrepareFishingRodNextTime,I'm an angler. I live in perfect freedom. You' better f... | I'll prepare a fishing rod for you next time.
$0B,9,$B3EE1A,EventScript_G0B_Entry009_EveAnglerEventDialog,2,2,Sign:2,event_dialogue_unknown_specific_owner:2,high_text_named,Text_12B_Mountain_AnglerLivePerfectFreedomBetter Text_12C_Mountain_PrepareFishingRodNextTime,I'm an angler. I live in perfect freedom. You' better f... | I'll prepare a fishing rod for you next time.
