bank,bank_file,label,snes_addr,source_line,word_count,byte_count,terminated,text
B6,bank_B6.asm,Text_Manual_Hoe,B68B5E,212,133,266,True,"""Hoe""                       Plow the ground to make a   field.
Raise vegetables in the     field.
Try various ways to make thefield."
B6,bank_B6.asm,Text_Manual_Axe,B68C68,230,131,262,True,"""Axe""                       Split logs to make lumber.  Lumber is useful.
Focus on one point and hit. Don't enter the control pad."
B6,bank_B6.asm,Text_Manual_Hammer,B68D6E,248,172,344,True,"""Hammer""                    Breaks rocks and breaks     fences down.
Big rocks can be knocked    down when focusing on one   spot.
Don't ever enter the        control pad."
B6,bank_B6.asm,Text_Manual_Can,B68EC6,271,160,320,True,"""Watering can""              Water the crops. Once a day.No watering is necessary
on rainy days.              Dip up water at a well or a pond when it runs out."
B6,bank_B6.asm,Text_Manual_Milker,B69006,292,57,114,True,"""Milker""                    Milk cows and ship the milk."
B6,bank_B6.asm,Text_Manual_Brush,B69078,301,125,250,True,"""Brush""                     Brushing raises the cows'   level of affection.
A cow with High affection   gives a lot of milk."
B6,bank_B6.asm,Text_Manual_Bell,B69172,318,107,214,True,"""Bell""                      A tool used to herd cows.   Look at the cows carefully
and move them properly."
B6,bank_B6.asm,Text_Manual_CropSeeds,B69248,333,176,352,True,"""Vegetable seeds""           Sowing season is different. Ask the florist for the
proper season.              Seeds must be sown in the   field. They won't bud
without watering."
B6,bank_B6.asm,Text_Manual_GrassSeeds,B693A8,356,203,406,True,"""Grass seeds""               Sow the field from spring tosummer.
It grows without watering.  The Meadow must be ready forraising cows and chickens.
Grass is ready for mowing   when it turns a deep green."
B6,bank_B6.asm,Text_Manual_Paint,B6953E,383,51,102,True,"""Paint""                     Paint the house right."
B6,bank_B6.asm,Text_01A_Festival_TellMeWorkingNewYears,B695A4,391,74,148,True,No: don't tell me you are   working on New Years' Day.  Just relax today.
B6,bank_B6.asm,Text_Sign_Wood,B69638,402,85,170,True,Latest materials                     <CTRL_FFFC>dfpiece           Split logs and collect them.
B6,bank_B6.asm,Text_Sign_Fodder,B696E2,414,85,170,True,Feed                                 <CTRL_FFFC>dgpiece           Mow grass to make more feed.
B6,bank_B6.asm,Text_01D_Weather_NailedDownThedoorPrepareHurricane,B6978C,426,67,134,True,Oh yes: I've nailed down thedoor to prepare for the     hurricane.
B6,bank_B6.asm,Text_Sign_Fork,B69812,436,39,78,True, Neighbor town               Back hill
B6,bank_B6.asm,Text_Sign_Mountain_Top,B69860,442,12,24,True, to the top
B6,bank_B6.asm,Text_Sign_Hotspring,B69878,445,20,40,True,Get undressed here.
B6,bank_B6.asm,Text_Sign_Cave,B698A0,449,29,58,True,"Dangerous, Easy to collapse,"
B6,bank_B6.asm,Text_Sign_Workmans,B698DA,454,84,168,True,"workman's House Call us for annex <$0040> extension
Closed on weekends and      holidays."
B6,bank_B6.asm,Text_Bachellorete_Diary,B69982,466,56,112,False,"Found the diary,
 Read                        Not read<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_Mayor_House_Bookcase1,B699F2,474,63,126,True,"""Myths of Gods""             There are lots of difficult books."
B6,bank_B6.asm,Text_Mayor_House_Bookcase2,B69A70,483,54,108,True,"""History <$0040> Myths""           There's a lot others too."
B6,bank_B6.asm,Text_Mayor_House_Bookcase3,B69ADC,491,53,106,True,"""Simple lessons from God""   ""Happiness lies in life"""
B6,bank_B6.asm,Text_Flowershop_Rooms_Bookcase,B69B46,499,47,94,True,"""Plants""                    ""Artistic Flowers"""
B6,bank_B6.asm,Text_Bar_Bookcase,B69BA4,506,54,108,True,"""Cocktails: Best <CTRL_B3><CTRL_B2><CTRL_B2>""       ""How to make berry juice"""
B6,bank_B6.asm,Text_Restaurant_Bookcase,B69C10,514,47,94,True,"""Tasty Cakes""               ""Dishes for today"""
B6,bank_B6.asm,Text_GeneralStore_Rooms_Bookcase,B69C6E,521,55,110,True,"""Get into invention""        ""Daily life and groceries"""
B6,bank_B6.asm,Text_WitchHouse_Bookcase,B69CDC,529,92,184,True,"""Encyclopedia of fortune    telling ""
""Heart pounding             compatibility of partner"""
B6,bank_B6.asm,Text_Carpenters_Bookcase,B69D94,542,48,96,True,"""House and living""          ""We are carpenters"""
B6,bank_B6.asm,Text_Shop_Closed,B69DF4,549,15,30,True,"""We're closed"""
B6,bank_B6.asm,Text_Bar_Closed,B69E12,552,18,36,True,"""We're preparing"""
B6,bank_B6.asm,Text_Cow_Talk,B69E36,556,48,96,True,Yes:<CTRL_FFFD>ed: good girl         You look fine today.
B6,bank_B6.asm,Text_Cow_Talk_Cranky,B69E96,563,18,36,True,<CTRL_FFFD>ee looks cranky.
B6,bank_B6.asm,Text_Cow_Talk_Sick,B69EBA,567,76,152,True,"<CTRL_FFFD>ef is sick,               I've got to give ....       medicine right away,"
B6,bank_B6.asm,Text_Cow_Talk_Pregnant,B69F52,578,42,84,True,<CTRL_FFFC>ch more days for delivery.  Come on <CTRL_FFFD>eg.
B6,bank_B6.asm,Text_Elf_Cave_Door_Closed,B69FA6,585,29,58,True,I can't open it.It's locked.
B6,bank_B6.asm,Text_034_Dialog_OpenSomethingsStuck,B69FE0,590,47,94,True,I can't open it.            something's stuck.
B6,bank_B6.asm,Text_035_Dialog_HowsGoingWorkTooHard,B6A03E,597,72,144,True,Hey: how's it going?        Don't work too hard.        Just take time.
B6,bank_B6.asm,Text_036_Animal_AskFloristFlowersAskLivestock,B6A0CE,607,125,250,True,"Ask the florist for flowers and ask the livestock delaerfor livestock.
Better ask Mrs.             Fortune-teller for girls."
B6,bank_B6.asm,Text_037_Church_HangAroundListenPriest,B6A1C8,624,50,100,True,Don't hang around.          Listen to the priest.
B6,bank_B6.asm,Text_038_Dialog_OffTodayKeepUpAll,B6A22C,632,74,148,True,"You are off today:          aren't you?
We can't keep it up all the time."
B6,bank_B6.asm,Text_039_Weather_PeopleTownTalkDifferentlyAccording,B6A2C0,643,82,164,True,People in town talk         differently according to theweather: day: and season.
B6,bank_B6.asm,Text_03A_Animal_EverybodyHasDifferentIdeasHappiness,B6A364,655,204,408,True,"Everybody has different     ideas on what happiness     means:right?
I guess the best thing is   to do what you want to do.  But it's probably not
real happiness when you     annoy someone or are blamed."
B6,bank_B6.asm,Text_03B_Sign_WorkingHardHaveChatFriends,B6A4FC,682,132,264,True,"You are working so hard.    You should have a chat with your friends or go to
mountains...                to relax once in a while."
B6,bank_B6.asm,Text_03C_Church_ChurchDedicatedGodCropsSuggest,B6A604,700,87,174,True,"This church is dedicated to the God of the crops.       I suggest you pray
faithfully."
B6,bank_B6.asm,Text_03D_Dialog_LikeTakingMyTimeReading,B6A6B2,712,75,150,True,I like taking my time       reading books.That's one of my happiest times.
B6,bank_B6.asm,Text_03E_Sign_HaveHeardWaterImpSomeone,B6A748,723,82,164,True,Have you heard of the water imp? Someone has seen it in the pond of the mountain.
B6,bank_B6.asm,Text_03F_Dialog_ThinkBadThingsIfDiscovered,B6A7EC,735,215,430,True,"Don't think it's OK to do   bad things if it's not      discovered.
No one is perfect. We all   make mistakes.              That's the way we are.
But it's wrong to not feel  guilty about what you've    done wrong."
B6,bank_B6.asm,Text_040_Romance_WonderIfDaughterAnncanGet,B6A99A,763,62,124,True,I wonder if our daughter Anncan get married living like that.
B6,bank_B6.asm,Text_041_Animal_HowsWorkGoingSomeWild,B6AA16,772,85,170,True,Hi: how's your work going?  There are some wild dogs:   so you should fix the fence.
B6,bank_B6.asm,Text_042_Church_BelieveGodExistsBelieve,B6AAC0,784,55,110,True,I believe God exists.       You believe it: don't you?
B6,bank_B6.asm,Text_043_Dialog_StrangeAlwaysNowNothingAll,B6AB2E,792,97,194,True,"Hey: it's strange. She is   always here by now.
.....oh no:                 it's nothing at all."
B6,bank_B6.asm,Text_044_Dialog_TakingWalkTooImportantGet,B6ABF0,806,151,302,True,"Hi. Are you taking a walk   too? It's important to get afew days off.
Working hard till late at   night will drive you crazy: mentally and physically."
B6,bank_B6.asm,Text_045_Romance_HelpMyselfWorryingAboutAnn,B6AD1E,826,180,360,True,"I just can't help myself    worrying about Ann so much. Mr. <CTRL_FFFD>eh: you are of the
same generation as Ann.     What do you think of her?   ....oh: sorry.
Maybe I'm a little confused."
B6,bank_B6.asm,Text_046_Shop_AlwaysLookFineBagSeed,B6AE86,850,99,198,True,"Hello. You always look fine.The bag of seed for sowing. It's convenient to buy
a few bags at once."
B6,bank_B6.asm,Text_047_Dialog_GrassGrowsAutumnYoudontHave,B6AF4C,864,71,142,True,Grass grows in Autumn so youdon't have to mow much      before Winter.
B6,bank_B6.asm,Text_048_Romance_MayEveryoneGiveKindnessEveryone,B6AFDA,874,49,98,True,May everyone give kindness  to everyone else....
B6,bank_B6.asm,Text_049_Dialog_Entry,B6B03C,882,5,10,True,....
B6,bank_B6.asm,Text_04A_Sign_ShopClosedSaturdaysBathingInthe,B6B046,884,75,150,True,What? The shop is closed on Saturdays. So I'm bathing inthe sun. Nice:huh?
B6,bank_B6.asm,Text_04B_Weather_KindDarkRainyDaysFeels,B6B0DC,895,129,258,True,"It's kind of dark on rainy  days....feels slightly      lonely:doesn't it?
But the rain is good when itcomes to producing crops."
B6,bank_B6.asm,Text_04C_Dialog_CoincidenceHavingMealToday,B6B1DE,913,54,108,True,What a coincidence. Are you having a meal here today?
B6,bank_B6.asm,Text_04D_Dialog_EasyWorkSteadilyButWorthwhile,B6B24A,921,68,136,True,It's not easy to work       steadily but it's           worthwhile.
B6,bank_B6.asm,Text_04E_Church_HopeBusinessBetterBetterGod,B6B2D2,931,107,214,True,"Hope business will be       better:it will be better   ....
What? Isn't it the God of   business? Oh:well."
B6,bank_B6.asm,Text_04F_Diary_GoodBatheSunEatWork,B6B3A8,946,100,200,True,"It's good to bathe in the   sun. Eat well and work hard.Good health is the
foundation of happiness."
B6,bank_B6.asm,Text_050_Animal_EatSomethingTiredCakesBest,B6B470,960,81,162,True,Eat something when you are  tired. Our cakes are the    best to get more energy.
B6,bank_B6.asm,Text_051_Dialog_HowdyYoungBoysWhatsUp,B6B512,972,37,74,True,"Howdy:young boys, What's up?....hic."
B6,bank_B6.asm,Text_052_Animal_HicWorkingLikeDogOnly,B6B55C,978,57,114,True,...hic:working like a dog   is not the only way to live.
B6,bank_B6.asm,Text_053_Dialog_MyRoutineTakeWalkSundays,B6B5CE,987,65,130,True,It's my routine to take a   walk on Sundays so it's OK  with me.
B6,bank_B6.asm,Text_054_Weather_StartedRainingNowGeeWas,B6B650,997,107,214,True,"Oh no:it started raining    now...gee: I was going to   work.
Well:I can do nothing but   stay home today."
B6,bank_B6.asm,Text_055_Weather_SayingMatterIfRainsWork,B6B726,1012,83,166,True,"What are you saying?        It doesn't matter if It     rains to do our work here,"
B6,bank_B6.asm,Text_056_Dialog_UlpSooooGreatShesOut,B6B7CC,1024,77,154,True,"ulp...soooo...great,        She's out.I can relax as    much as
I want:yeah."
B6,bank_B6.asm,Text_057_Church_CalmInsideChurchManyPeople,B6B866,1035,102,204,True,"You can be calm inside the  church.Not many people here:you know.
It's crowded on holidays    though."
B6,bank_B6.asm,Text_058_Animal_FeltTimeWentSlowlyWas,B6B932,1049,131,262,True,"I felt time went by slowly  when I was young.           Now time goes by too fast
and one year seems short.   It's strange:really."
B6,bank_B6.asm,Text_059_Animal_HaveSympathyPeopleKindPeople,B6BA38,1067,136,272,True,"Have sympathy for people.   When you are kind to people:they give you
kindness in return.         Animals are the same as us  for sure."
B6,bank_B6.asm,Text_05A_Dialog_NecessarilyRightWrongDailyIncidents,B6BB48,1085,92,184,True,"It's not necessarily right  or wrong. Daily incidents   are neither.
It's up to you:really."
B6,bank_B6.asm,Text_05B_Weather_KnowConsumeYourstaminaRainyDay,B6BC00,1098,83,166,True,"I know it won't consume yourstamina on a rainy day but  you should be off.
Really."
B6,bank_B6.asm,Text_05C_Animal_ToughTakeCareCowsTake,B6BCA6,1110,163,326,True,"It's tough to take care of  cows.Take good care of them so that they do not
get sick.My note is right   there so read it carefully  so you can avoid any
diseases."
B6,bank_B6.asm,Text_05D_Animal_HensLayEggsPutCage,B6BDEC,1132,146,292,True,"Hey:do your hens lay eggs?  Put them in the cage.       And feed them every day.
They won't lay eggs for     <CTRL_B5>days after you miss a      feeding."
B6,bank_B6.asm,Text_05E_Weather_YoungBoyPutLivestockInside,B6BF10,1152,87,174,True,"Hey:young boy, Put your     livestock inside the pen    before the weather gets
worse,"
B6,bank_B6.asm,Text_05F_Animal_KnowCowsGiveMoreMilk,B6BFBE,1164,177,354,True,"You know:cows give you more milk when you take good careof them with love.
..hey:are you listening to  me? They will like you and  good calves will be born
...listen to me:boy,"
B6,bank_B6.asm,Text_060_Dialog_RedoLifeMightHaveSecond,B6C120,1188,93,186,True,"You can't redo your life.   You might not have the      second chance.
Think before you act."
B6,bank_B6.asm,Text_061_Church_AskingIfGotoChurchGod,B6C1DA,1201,116,232,True,"Are you asking if I don't goto church? God is everywhereand He is nowhere:
you know.                   Hee-hee-hee."
B6,bank_B6.asm,Text_062_Romance_TheresUsefulBookOverAbout,B6C2C2,1217,75,150,True,There's a useful book over  there: about girls:I wrote  it.Better read it.
B6,bank_B6.asm,Text_063_Sign_AlsoMidwifeKnowMayorsDaughter,B6C358,1228,127,254,True,"I'm also a midwife.You know:the mayor's daughter Maria  and the grocery shop
owner's daughter Ann        I delivered them all."
B6,bank_B6.asm,Text_064_Dialog_GrownUpsAlwaysMakeRule,B6C456,1245,125,250,True,"Grown-ups always make rule  telling us to do this:do    that:don't do this:
don't do that.What hard workit is being a child."
B6,bank_B6.asm,Text_065_Romance_HmmmLoveMariasSisterCantbe,B6C550,1262,60,120,True,Hmmm...is he in love with   Maria's sister? ....it can'tbe.
B6,bank_B6.asm,Text_066_Sign_GatherManyThingsIntheMountain,B6C5C8,1271,127,254,True,"We can gather many things inthe mountain.I want to sell them but they won't allow
a little kid to go to the   mountains alone."
B6,bank_B6.asm,Text_067_Dialog_GotDate,B6C6C6,1288,45,90,True,"Please:please,              I've got a date."
B6,bank_B6.asm,Text_068_Romance_YoudBetterReadBookWritten,B6C720,1295,127,254,True,"You'd better read the book  written by Mrs.             Fortune-teller many times.
It's pretty hard to capture a girl's heart."
B6,bank_B6.asm,Text_069_Dialog_YeahWelcomeMakeYourselfatHome,B6C81E,1312,37,74,True,Yeah: welcome. Make yourselfat home.
B6,bank_B6.asm,Text_06A_Shop_ThingsGirlsLikeFlowersSweets,B6C868,1318,101,202,True,"Things girls like are       flowers and sweets:right?
I'm saving money to buy a   present for Maria."
B6,bank_B6.asm,Text_06B_Romance_LoveMariaWishMyBride,B6C932,1332,64,128,True,I love Maria.I wish she     would be my bride in the    future.
B6,bank_B6.asm,Text_06C_Church_AlwaysPrayGrownUpVery,B6C9B2,1341,53,106,True,I always pray that I can be a grown-up very quickly.
B6,bank_B6.asm,Text_06D_Dialog_DateDateWalkAll,B6CA1C,1349,61,122,True,"It's not a date, It's not a date, Just a walk:that's    all,"
B6,bank_B6.asm,Text_06E_Shipping_PutCropsShippingBoxCollect,B6CA96,1358,70,140,True,Oh yes:put crops in the     shipping box so I can       collect them.
B6,bank_B6.asm,Text_06F_Animal_UseToolLoseStaminaBut,B6CB22,1368,86,172,True,"You can't use the tool when you lose your stamina but   you can carry things a
round."
B6,bank_B6.asm,Text_070_Dialog_DrinkAfterWorkBest,B6CBCE,1380,38,76,True,Well: a drink after work is the best.
B6,bank_B6.asm,Text_071_Shipping_ThingsShipFlowersAnimalsPerishables,B6CC1A,1386,117,234,True,"Things you can't ship are   flowers:animals:and         perishables like cakes.
Don't put those things in   the box."
B6,bank_B6.asm,Text_072_Shipping_EvenIfPutShippingGoods,B6CD04,1402,102,204,True,"Even if you put shipping    goods in the box at night:  they won't last till
the morning.So wasteful."
B6,bank_B6.asm,Text_073_Shipping_CollectShippingGoodsEvenShed,B6CDD0,1416,69,138,True,I collect shipping goods    even in the shed so please  don't worry.
B6,bank_B6.asm,Text_074_Weather_ShallWatchWeatherForecastYoud,B6CE5A,1426,120,240,True,"Shall we watch the weather  forecast? You'd better put  the livestock inside right
after you find out it's     raining."
B6,bank_B6.asm,Text_075_Church_MuchEasierLiveIfWas,B6CF4A,1442,78,156,True,It would be much easier to  live if it was true that Godbrings you happiness.
B6,bank_B6.asm,Text_076_Diary_AnythingHappenLivesCaseYoud,B6CFE6,1453,75,150,True,Anything can happen in our  lives. Just in case:you'd   better save money.
B6,bank_B6.asm,Text_077_Romance_KnowMoneyImportantButMost,B6D07C,1464,100,200,True,"I know money is important   but the most important thingis love:you know:
LOVE, Don't you think so?"
B6,bank_B6.asm,Text_078_Shipping_WanderingPeddlerButOftenSell,B6D144,1478,155,310,True,"I'm a wandering peddler.    But I don't often sell      anything to anyone.
If there's anything you wantto sell: just put them on   that table over there."
B6,bank_B6.asm,Text_079_Weather_FencesEasyBreakAfterRain,B6D27A,1499,111,222,True,"Fences are easy to break    after rain and snow.
Please make new fences afterknocking the broken fences  down."
B6,bank_B6.asm,Text_07A_Sign_LiveMountainsHuntingAnimalsEve,B6D358,1514,123,246,True,"I live in the mountains     hunting animals.
Eve always tells me to come down to the town but I won'tchange my life style."
B6,bank_B6.asm,Text_07B_Mountain_HaveHeardPowerBerryEat,B6D44E,1531,85,170,True,"Have you heard of           ""Power Berry""?  Eat it and  you'll gain a little energy."
B6,bank_B6.asm,Text_07C_Weather_RainsMustKeepoffTopMountain,B6D4F8,1543,81,162,True,When it rains: you must keepoff the top of the mountain:because it is dangerous.
B6,bank_B6.asm,Text_07D_Mountain_SomeMushroomsPoisonousCareful,B6D59A,1555,53,106,True,Some mushrooms are          poisonous:so be careful.
B6,bank_B6.asm,Text_07E_Mountain_WantFishC,B6D604,1563,58,116,False,"Hey:do you want to fish?
 Yes                         No<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_07F_Manual_UseMyFishingRodUse,B6D678,1572,47,94,True,OK:you can use my fishing   rod. Use Y button.
B6,bank_B6.asm,Text_080_Shipping_PrettyGoodTastesGoodSells,B6D6D6,1579,68,136,True,No:this is pretty good. It  tastes good and sells at a  high price.
B6,bank_B6.asm,Text_081_Dialog_VisitUsAgain,B6D75E,1589,16,32,True,Visit us again.
B6,bank_B6.asm,Text_082_Dialog_FineDayToday,B6D77E,1592,29,58,True,Hello.It's a fine day today.
B6,bank_B6.asm,Text_083_Romance_HotEveryDayButDoing,B6D7B8,1597,47,94,True,It's been hot every day but how are you doing?
B6,bank_B6.asm,Text_084_Romance_SomehowLoveAutumnScenery,B6D816,1604,37,74,True,I somehow love the autumn   scenery.
B6,bank_B6.asm,Text_085_Dialog_HopeItllSpringSoon,B6D860,1610,27,54,True,Hope it'll be spring soon.
B6,bank_B6.asm,Text_086_Church_BelieveGodC,B6D896,1615,56,112,False,"Do you believe in God?
 Yes                         No<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_087_Church_UnusualTheseDaysComeChurch,B6D906,1623,74,148,True,Really? It's unusual these  days. Please come to the    church on Sunday.
B6,bank_B6.asm,Text_088_Church_WhetherGodExistsMoreBelief,B6D99A,1634,77,154,True,"It's not whether God exists or not:it's more a ""belief"" that counts:I think."
B6,bank_B6.asm,Text_089_Dialog_TakeCareYourselfnotWornDown,B6DA34,1645,69,138,True,Please take care of yourselfnot to be worn down by the  summer heat.
B6,bank_B6.asm,Text_08A_Romance_ExcuseMeLoveKidsLove,B6DABE,1655,76,152,False,"....Excuse me: do you love  kids?
 I love kids.                Not really.<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_08B_Romance_LoveKidsTooMyDream,B6DB56,1666,67,134,True,I love kids too. My dream isto live with a lot of kids  around me.
B6,bank_B6.asm,Text_08C_Dialog_Oh,B6DBDC,1676,7,14,True,...Oh.
B6,bank_B6.asm,Text_08D_Dialog_PrettyColdTakeCareYourself,B6DBEA,1678,70,140,True,It's pretty cold so please  take care of yourself not tocatch a cold.
B6,bank_B6.asm,Text_08E_Church_HaveComeListenPriestC,B6DC76,1688,76,152,False,"Oh:you have come to listen  to the priest.
 Yes                         No<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_08F_Dialog_Devout,B6DD0E,1699,16,32,True,You are devout.
B6,bank_B6.asm,Text_090_Animal_ThenPray,B6DD2E,1702,40,80,True,No? then:why are you here?  Oh:to pray?
B6,bank_B6.asm,Text_091_Weather_WelcomeRainHaveaLotRain,B6DD7E,1708,64,128,True,It's a welcome rain. We havea lot of rain here in       spring.
B6,bank_B6.asm,Text_092_Dialog_UumComeOvertoRanchSome,B6DDFE,1717,57,114,True,Uum...well...can I come overto your ranch some day soon?
B6,bank_B6.asm,Text_093_Dialog_LonelyLivingBigPlaceLittle,B6DE70,1726,88,176,False,"Aren't you lonely living in that big place?
 A little lonely             No:not at all<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_094_Dialog_UumIfNothingGGood,B6DF20,1738,50,100,True,Uum..well...yes: if...no:   nothing....g-good-by.
B6,bank_B6.asm,Text_095_Dialog_SeeSorryMeanAskAnything,B6DF84,1746,66,132,True,I..see...sorry:I didn't     mean to ask you anything    personal.
B6,bank_B6.asm,Text_096_Dialog_GoingMakeGreatToolsLike,B6E008,1756,47,94,True,"I'm going to make great     tools like my dad,"
B6,bank_B6.asm,Text_097_Sign_ItllShowcasedShopOneThese,B6E066,1763,117,234,False,"It'll be showcased at the   shop one of these days so   please try it.
 Hum                         I don't want it<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_098_Dialog_TrustMe,B6E150,1779,10,20,True,Trust me.
B6,bank_B6.asm,Text_099_Dialog_TrustMe,B6E164,1782,28,56,True,You don't trust me: do you?
B6,bank_B6.asm,Text_09A_Dialog_SeemsLittleDifferentPlanHad,B6E19C,1787,66,132,True,It seems a little different from the plan I had but...nobig deal.
B6,bank_B6.asm,Text_09B_Romance_ActingLikeGirlAllBad,B6E220,1797,71,142,False,"Aren't I acting like a girl?
 No:not at all              Not that bad<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_09C_Dialog_Outspoken,B6E2AE,1807,23,46,True,"How outspoken you are,"
B6,bank_B6.asm,Text_09D_Romance_MyDadAlwaysTellsMe,B6E2DC,1811,95,190,True,"My dad always tells me to   act like a girl but I wonderexactly what acting
like a girl means."
B6,bank_B6.asm,Text_09E_Dialog_KnowButFeelsGoodSpring,B6E39A,1824,99,198,True,"Well...I don't know why     but...it feels good in      spring.
I go like ""OK:it's show     time,"""
B6,bank_B6.asm,Text_09F_Romance_LoveSummerThoughHot,B6E460,1838,33,66,True,I love summer though it's   hot.
B6,bank_B6.asm,Text_0A0_Dialog_ConstantEffortImportantKnowSaysuccess,B6E4A2,1844,84,168,True,"well:constant effort is     important:you know. They saysuccess comes from
failure."
B6,bank_B6.asm,Text_0A1_Animal_LooksColdOutsideTurnsWhite,B6E54A,1856,72,144,True,It looks cold outside.It    turns white when you breatheout:doesn't it?
B6,bank_B6.asm,Text_0A2_Dialog_HoHumBoringC,B6E5DA,1866,79,158,False,"Ho hum...it's boring:       isn't it?
 Yes                         Not really<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_0A3_Diary_HumSleepyHoHum,B6E678,1877,38,76,True,It is:hum? I'm so sleepy... ho hum...
B6,bank_B6.asm,Text_0A4_Dialog_GeeSerious,B6E6C4,1883,24,48,True,Gee:you are so serious.
B6,bank_B6.asm,Text_0A5_Manual_FeelRelaxedOutsideHaventOutfor,B6E6F4,1887,69,138,True,Yes:I feel relaxed          outside...I haven't been outfor a while.
B6,bank_B6.asm,Text_0A6_Dialog_IdeaComesOutUnderThisheat,B6E77E,1897,34,68,True,"No idea comes out under thisheat,"
B6,bank_B6.asm,Text_0A7_Dialog_LetsBestShall,B6E7C2,1903,29,58,True,Let's do our best:shall we?
B6,bank_B6.asm,Text_0A8_Weather_MountainCoveredWithsnowNow,B6E7FC,1908,41,82,True,The mountain is covered withsnow by now.
B6,bank_B6.asm,Text_0A9_Weather_HateRainFeelsDepressingLike,B6E84E,1915,63,126,True,I hate rain.It feels        depressing.I like when it   pours.
B6,bank_B6.asm,Text_0AA_Romance_MyDadTellsMeGet,B6E8CC,1924,164,328,True,"...My dad tells me to get   married so often....        He would be all by himself
if I got married to         someone...                  Doesn't he realize that?"
B6,bank_B6.asm,Text_0AB_Animal_LookAutomaticPuddingMakerPut,B6EA14,1946,197,394,False,"Hello, Hey: look at this,   This is the automatic       pudding maker,
I've put eggs and milk in   here. Now all you have to dois turn it on.Do it,
 Push                        I don't want to do<CHOICE_OR_WAIT>c"
B6,bank_B6.asm,Text_0AC_Dialog_SmellsWonderful,B6EB9E,1972,32,64,True,It smells wonderful:doesn't it?
B6,bank_B6.asm,Text_0AD_Dialog_SayMuchQuickerTomakePudding,B6EBDE,1977,98,196,True,"You say it's much quicker tomake pudding without the    machine? Oh no...don'
t you have a dream?"
B6,bank_B6.asm,Text_0AE_Animal_LoveSpringAllFlowersStart,B6ECA2,1991,52,104,True,I love Spring when all the  flowers start to bloom.
B6,bank_B6.asm,Text_0AF_Town_LikeFlowersC,B6ED0A,1999,69,138,False,"Hello. Do you like flowers?
 Yes                         Not really<CHOICE_OR_WAIT>c"
